Unnamed: 0,0,1,2,3,4,5,6
0,0,2949,-2199,-2727,-2691,-5088,-3330
1,0,-30,-635,-2384,-1880,-5238,-3517
2,0,-3105,1619,-1743,-910,-5486,-3760
3,0,-3453,3027,-1809,-483,-5623,-3736
4,0,-3097,2744,-1659,-420,-5661,-3808
5,0,-2935,1496,-1909,-462,-5707,-3811
6,0,-2778,411,-2444,-501,-5732,-3856
7,0,-2659,-488,-2903,-538,-5764,-3907
8,0,-2601,-1019,-3121,-558,-5799,-3951
9,0,-2524,-1404,-3261,-572,-5835,-3997
10,0,-2492,-1621,-3290,-587,-5870,-4043
11,0,-2431,-1765,-3343,-608,-5901,-4087
12,0,-2379,-1838,-3407,-636,-5930,-4135
13,0,-2355,-1901,-3494,-670,-5963,-4175
14,0,-2270,-1525,-3444,-705,-6001,-4206
15,0,-2492,-237,-2996,-806,-6057,-4196
16,0,-3381,1100,-2325,-1151,-6108,-4173
17,0,-5197,2456,-1856,-1725,-6133,-3992
18,0,-6134,1885,-2962,-3473,-6001,-3325
19,0,-3363,-705,-3816,-3886,-5900,-3229
20,0,-62,-1659,-3079,-3926,-5866,-3232
21,0,2500,-1972,-2031,-3858,-5789,-3259
22,0,4357,-2168,-1423,-3796,-5686,-3283
23,0,5690,-2312,-1036,-3739,-5601,-3320
24,0,6303,-2578,-955,-3659,-5516,-3375
25,0,5607,-2794,-1034,-3473,-5509,-3481
26,0,4252,-2339,-1027,-3077,-5596,-3736
27,0,1734,-605,-951,-2416,-5749,-4040
28,0,-1569,1167,-835,-1555,-5864,-4305
29,0,-3200,3175,-635,-754,-6028,-4343
30,0,-2740,2701,-478,-686,-6082,-4379
31,0,-2565,1753,-595,-660,-6103,-4363
32,0,-2353,478,-1110,-693,-6104,-4393
33,0,-2177,-502,-1654,-731,-6110,-4438
34,0,-2015,-1106,-1962,-748,-6126,-4478
35,0,-1918,-1481,-2060,-772,-6146,-4536
36,0,-1793,-2013,-2156,-798,-6182,-4630
37,0,-1723,-2057,-2183,-813,-6200,-4675
38,0,-1694,-2220,-2231,-848,-6216,-4731
39,0,-1652,-2352,-2288,-872,-6235,-4775
40,0,-1633,-2404,-2314,-886,-6255,-4816
41,0,-1611,-2321,-2256,-907,-6275,-4858
42,0,-1615,-1283,-2056,-987,-6302,-4883
43,0,-2099,193,-1647,-1222,-6369,-4791
44,0,-3384,1436,-1242,-1718,-6458,-4574
45,0,-4952,2337,-901,-2444,-6528,-4264
46,0,-4856,2284,-632,-3176,-6508,-3875
47,0,-3230,708,-1311,-3742,-6406,-3602
48,0,-442,-959,-1654,-3983,-6334,-3532
49,0,2098,-1238,-1090,-3968,-6271,-3562
50,0,4120,-1325,-568,-3911,-6183,-3575
51,0,5454,-1571,-276,-3859,-6099,-3609
52,0,5613,-2021,-551,-3757,-6048,-3699
53,0,4482,-2054,-1087,-3473,-6100,-3919
54,0,2206,-1085,-632,-2862,-6233,-4223
55,0,-999,801,224,-2023,-6302,-4572
56,0,-3041,3049,145,-1219,-6370,-4731
57,0,-2480,3153,-30,-993,-6398,-4705
58,0,-2184,2332,-254,-944,-6412,-4682
59,0,-1950,1080,-478,-979,-6424,-4715
60,0,-1760,58,-837,-999,-6430,-4750
61,0,-1601,-656,-1080,-1015,-6441,-4787
62,0,-1515,-1107,-1206,-1023,-6454,-4823
63,0,-1430,-1398,-1270,-1030,-6468,-4860
64,0,-1361,-1631,-1327,-1040,-6482,-4893
65,0,-1316,-1827,-1375,-1051,-6494,-4924
66,0,-1310,-1925,-1443,-1066,-6508,-4962
67,0,-1271,-2031,-1439,-1081,-6523,-4997
68,0,-1268,-2044,-1429,-1098,-6537,-5034
69,0,-1236,-1876,-1474,-1116,-6551,-5069
70,0,-1209,-1111,-1365,-1179,-6585,-5091
71,0,-1715,615,-994,-1383,-6661,-5050
72,0,-3379,1745,-755,-1908,-6774,-4902
73,0,-6057,1957,-682,-3603,-6823,-4018
74,0,-3939,-186,-1909,-4202,-6699,-3764
75,0,-911,-1733,-2273,-4387,-6620,-3689
76,0,1865,-2074,-1594,-4350,-6561,-3727
77,0,4052,-2287,-910,-4277,-6475,-3758
78,0,5518,-2462,-510,-4209,-6386,-3797
79,0,6343,-2640,-369,-4136,-6306,-3858
80,0,6001,-2951,-784,-3997,-6283,-4000
81,0,4986,-2519,-811,-3653,-6367,-4237
82,0,2872,-1036,-223,-3043,-6476,-4539
83,0,-332,285,160,-2289,-6545,-4879
84,0,-2686,2835,342,-1473,-6634,-5122
85,0,-2314,3071,297,-1269,-6678,-5092
86,0,-2018,2218,30,-1210,-6688,-5064
