Unnamed: 0,0,1,2,3,4,5,6
77,1,-1246,1824,2932,-8625,-8079,-6501
78,1,-281,1106,2234,-8548,-7699,-6349
79,1,1190,803,713,-8390,-7372,-6334
80,1,3174,828,-503,-8215,-7143,-6420
81,1,4926,1208,-1222,-8020,-7011,-6634
82,1,5577,2360,-1086,-7823,-7037,-6968
83,1,5460,3758,211,-7760,-7280,-7330
84,1,4578,4774,2019,-7949,-7725,-7547
85,1,3583,4780,3764,-8358,-8228,-7542
86,1,2442,4528,4699,-8849,-8616,-7376
87,1,1711,4424,5203,-9293,-8852,-7164
88,1,1986,4227,5448,-9604,-8887,-6914
89,1,2810,3880,5246,-9775,-8736,-6625
90,1,3841,2918,4505,-9839,-8500,-6395
91,1,4907,1855,3125,-9778,-8238,-6323
92,1,5989,1291,1785,-9657,-8027,-6368
93,1,7016,1105,675,-9509,-7889,-6515
94,1,7759,1443,96,-9352,-7861,-6738
95,1,7300,3227,1792,-9226,-8233,-7284
96,1,6177,3810,3393,-9420,-8640,-7392
97,1,4946,3949,4551,-9789,-9077,-7345
98,1,3870,3806,4950,-10253,-9453,-7130
99,1,3001,3791,5131,-10691,-9709,-6866
100,1,2864,3519,5644,-10999,-9787,-6602
101,1,3360,3007,5677,-11147,-9627,-6219
102,1,4361,2537,5072,-11222,-9367,-5863
103,1,5563,1684,4179,-11243,-9105,-5631
104,1,6617,918,2874,-11198,-8877,-5574
105,1,7494,515,1632,-11121,-8712,-5643
106,1,8351,302,560,-10995,-8609,-5811
107,1,8713,864,-137,-10773,-8563,-6063
108,1,8677,2284,426,-10577,-8627,-6349
109,1,8378,3430,1698,-10547,-8870,-6634
110,1,7414,3896,3204,-10712,-9287,-6802
111,1,6431,3664,4283,-11009,-9695,-6770
112,1,5119,3753,4631,-11377,-10045,-6638
113,1,4122,3779,4727,-11763,-10333,-6449
114,1,4067,3373,5195,-12329,-10481,-5761
115,1,4575,2932,5426,-12519,-10324,-5320
116,1,5451,2314,5128,-12642,-10114,-4998
117,1,6520,1372,4324,-12683,-9898,-4876
118,1,7495,482,3528,-12650,-9682,-4876
119,1,8250,-396,2426,-12565,-9477,-4951
120,1,8981,-808,1234,-12425,-9313,-5099
121,1,9546,-602,451,-12251,-9216,-5313
122,1,9830,148,303,-12088,-9234,-5565
123,1,9939,1006,1104,-11955,-9357,-5856
124,1,9533,1816,2274,-11919,-9561,-6029
125,1,8457,2192,3549,-12035,-9885,-6085
126,1,6965,2386,4566,-12263,-10236,-5990
127,1,5735,2408,4916,-12592,-10582,-5776
128,1,4775,2558,4852,-12965,-10891,-5507
129,1,4240,2689,4734,-13319,-11097,-5133
130,1,4108,2852,5091,-13623,-11134,-4612
131,1,4442,2502,5372,-13873,-10978,-4054
132,1,5381,1978,5356,-14049,-10712,-3681
133,1,6207,1150,4845,-14127,-10414,-3549
134,1,6973,308,3552,-14108,-10155,-3616
135,1,7962,-412,2294,-14022,-9992,-3840
136,1,9015,-762,1423,-13862,-9882,-4156
137,1,9880,-598,978,-13673,-9816,-4476
138,1,10338,-84,1115,-13480,-9796,-4785
139,1,10647,472,1500,-13317,-9804,-5018
140,1,10551,922,1989,-13198,-9868,-5217
141,1,10075,1518,2899,-13157,-10038,-5358
142,1,9065,2003,3735,-13230,-10320,-5405
143,1,7769,2204,4526,-13434,-10661,-5288
144,1,6523,2395,5087,-13762,-10989,-4941
145,1,5322,2422,5283,-14160,-11251,-4421
146,1,4925,2412,5445,-14520,-11337,-3869
147,1,5078,2206,5634,-14819,-11211,-3330
148,1,5714,1880,5674,-15059,-10935,-2917
149,1,6643,1005,5028,-15240,-10602,-2663
150,1,7448,-160,3659,-15292,-10335,-2677
151,1,8342,-890,2289,-15231,-10173,-2855
152,1,9314,-1242,1559,-15122,-10069,-3077
153,1,10308,-1226,1119,-14991,-9983,-3276
154,1,10541,-913,752,-14868,-9939,-3438
155,1,10783,-498,721,-14750,-9977,-3596
156,1,10707,118,1243,-14634,-10125,-3750
157,1,10113,828,2469,-14564,-10381,-3877
158,1,8985,1294,3759,-14594,-10684,-3868
159,1,7760,1590,4629,-14738,-10967,-3673
160,1,6549,1754,4964,-15001,-11226,-3294
161,1,5822,1933,4950,-15325,-11429,-2817
162,1,5461,2273,5198,-15696,-11503,-2212
