,0,1,2,3,4,5,6
0,1,6705,-2129,-1681,7056,-11163,9046
1,1,7676,-1794,-597,7426,-11305,9364
2,1,7655,-1002,744,7870,-11478,9736
3,1,6870,-194,1972,8377,-11663,10181
4,1,5563,546,2736,8976,-11901,10638
5,1,2291,2377,4316,10331,-12473,11514
6,1,1575,3181,5067,10679,-12605,11875
7,1,618,4115,5796,10470,-12533,11710
8,1,-476,4290,5349,9905,-12296,11310
9,1,-1559,3896,4483,9126,-12053,10594
10,1,-1753,3142,3733,8350,-11810,9781
11,1,-869,2375,3105,7681,-11542,9087
12,1,817,1546,2192,7100,-11262,8525
13,1,3085,415,1108,6668,-11026,8136
14,1,5202,-407,-21,6395,-10856,7899
15,1,6983,-1025,-651,6406,-10797,7980
16,1,7971,-1211,-50,6594,-10881,8201
17,1,7877,-860,1233,6972,-11057,8501
18,1,7338,-19,2769,7422,-11254,8811
19,1,6176,853,4262,7840,-11442,9092
20,1,5128,2114,5734,8130,-11568,9309
21,1,4280,2771,6581,8022,-11589,9236
22,1,3408,2522,6420,7863,-11573,9100
23,1,2520,2025,6582,7552,-11449,8712
24,1,2181,2079,6230,7159,-11223,8326
25,1,2318,1801,5597,6675,-10964,7887
26,1,3082,1225,4714,6206,-10668,7556
27,1,4324,518,3420,5792,-10364,7295
28,1,6001,-432,2029,5490,-10106,7162
29,1,7670,-1212,738,5286,-9927,7101
30,1,8946,-1828,316,5164,-9860,7034
31,1,9602,-2056,344,5293,-9930,7125
32,1,9520,-1621,874,5565,-10095,7291
33,1,8829,-858,1712,5933,-10303,7523
34,1,7669,92,2839,6336,-10539,7781
35,1,6202,929,4064,6658,-10747,7989
36,1,4885,1663,5582,6793,-10867,8125
37,1,3642,2025,6481,6727,-10871,8057
38,1,2423,2215,6658,6541,-10761,7864
39,1,1737,2094,5926,6158,-10531,7485
40,1,1784,1968,5077,5763,-10236,7185
41,1,2464,1530,4027,5347,-9901,6929
42,1,3910,801,2589,5017,-9582,6784
43,1,5634,-81,1087,4742,-9343,6672
44,1,7275,-898,66,4582,-9204,6633
45,1,8302,-1478,-390,4546,-9190,6601
46,1,8572,-1661,-121,4778,-9340,6754
47,1,7928,-887,733,5184,-9590,6950
48,1,6798,25,1621,5570,-9860,7113
49,1,5480,1156,2390,6008,-10094,7329
50,1,4377,2526,3530,6279,-10274,7473
51,1,3424,3528,4692,6242,-10282,7423
52,1,2607,3490,4962,5985,-10196,7244
53,1,1644,3422,5146,5695,-9976,7053
54,1,1273,3180,4646,5274,-9650,6814
55,1,1627,2475,3700,4854,-9313,6576
56,1,2858,1758,2126,4485,-8977,6422
57,1,4717,510,708,4163,-8731,6281
58,1,6137,-627,-470,3953,-8550,6187
59,1,7517,-1587,-1250,3949,-8497,6214
60,1,8014,-1798,-1016,4164,-8632,6365
61,1,7633,-1092,-255,4543,-8868,6577
62,1,6666,-142,888,4923,-9159,6741
63,1,5147,828,2067,5282,-9454,6862
64,1,3849,1694,3225,5548,-9664,6939
65,1,2803,2489,4378,5686,-9757,7035
66,1,1942,2970,4546,5564,-9692,6981
67,1,1189,3006,4319,5283,-9502,6854
68,1,800,2698,4028,4935,-9233,6693
69,1,993,2324,3609,4573,-8963,6459
70,1,1705,1826,3098,4248,-8683,6193
71,1,2901,1048,1847,3999,-8412,5995
72,1,4557,78,763,3812,-8204,5872
73,1,5955,-464,-372,3697,-8041,5850
74,1,7137,-1201,-1169,3607,-7988,5888
75,1,7633,-1603,-969,3696,-8088,5936
76,1,7152,-1316,-477,4005,-8310,6160
77,1,5912,-574,739,4354,-8614,6335
78,1,4451,314,1765,4715,-8896,6520
79,1,3268,1368,2698,4989,-9089,6707
80,1,2405,2088,3601,5079,-9161,6791
81,1,1601,2741,4064,4988,-9143,6666
82,1,753,2916,4230,4746,-8951,6525
83,1,274,2865,3917,4398,-8660,6368
84,1,393,2426,3234,4053,-8363,6138
85,1,1079,1686,2416,3729,-8066,5873
86,1,2572,518,1220,3466,-7767,5694
87,1,4334,-470,122,3283,-7549,5539
88,1,5881,-1168,-978,3169,-7384,5444
89,1,7318,-1667,-1719,3170,-7335,5473
90,1,7907,-1862,-1676,3243,-7402,5571
91,1,7850,-1719,-1333,3457,-7536,5772
92,1,6974,-1286,-601,3713,-7767,5937
93,1,5587,-486,372,4087,-8087,6086
94,1,3960,933,1724,4473,-8403,6257
95,1,2879,2181,2959,4637,-8578,6328
96,1,2088,2434,3416,4628,-8595,6305
97,1,1204,2757,3600,4573,-8529,6256
98,1,510,2836,3485,4369,-8324,6175
99,1,99,2820,3066,4077,-8034,6098
100,1,393,2404,2564,3759,-7723,5942
101,1,1443,1603,1676,3469,-7412,5776
102,1,2931,640,447,3221,-7133,5609
103,1,4462,-120,-837,3043,-6901,5532
104,1,6041,-1093,-1860,2926,-6776,5487
105,1,7052,-1791,-2184,2955,-6808,5564
106,1,7034,-1837,-1962,3147,-6983,5724
107,1,6270,-1218,-1260,3450,-7257,5906
108,1,4847,-81,-138,3771,-7581,6053
109,1,3462,790,990,4041,-7855,6207
110,1,2300,1597,2031,4248,-8065,6323
111,1,1494,1961,2110,4318,-8176,6353
112,1,1070,1450,956,4340,-8250,6357
113,1,721,961,10,4439,-8329,6418
114,1,267,927,-471,4638,-8425,6574
115,1,-181,1107,-886,4833,-8529,6682
116,1,-464,929,-1218,4979,-8596,6773
117,1,-503,888,-1762,5131,-8608,6958
118,1,-644,667,-2254,5219,-8630,7056
119,1,-758,393,-2641,5294,-8663,7129
120,1,-770,154,-2915,5368,-8692,7207
121,1,-845,9,-3107,5426,-8727,7250
122,1,-873,-148,-3274,5476,-8759,7292
123,1,-886,-217,-3408,5542,-8783,7364
124,1,-897,-301,-3498,5581,-8804,7415
125,1,-904,-366,-3554,5615,-8830,7453
126,1,-898,-406,-3605,5650,-8856,7489
127,1,-899,-460,-3631,5695,-8886,7528
128,1,-893,-460,-3651,5740,-8911,7576
129,1,-885,-479,-3669,5776,-8944,7600
130,1,-883,-482,-3657,5811,-8979,7623
131,1,-849,-534,-3637,5843,-9009,7648
132,1,-841,-578,-3641,5876,-9036,7679
133,1,-826,-600,-3613,5913,-9067,7709
134,1,-810,-621,-3589,5950,-9094,7741
135,1,-814,-630,-3586,5987,-9123,7776
136,1,-794,-646,-3579,6025,-9152,7813
137,1,-780,-646,-3550,6064,-9184,7846
138,1,-780,-656,-3506,6100,-9214,7875
139,1,-778,-682,-3490,6133,-9242,7906
140,1,-778,-687,-3483,6170,-9268,7938
141,1,-764,-704,-3480,6204,-9294,7972
142,1,-749,-709,-3472,6241,-9322,8004
143,1,-733,-716,-3444,6277,-9350,8037
144,1,-731,-719,-3412,6314,-9379,8068
145,2,-5609,2142,-915,5747,-9248,7208
146,2,-4371,1210,-3455,5462,-8799,6938
147,2,-1544,-52,-4829,5160,-8488,6741
148,2,1719,-1744,-5423,4970,-8325,6724
149,2,4151,-2583,-5292,5085,-8397,6840
150,2,4697,-2249,-3903,5461,-8682,7156
151,2,4295,-1249,-1863,5923,-9031,7434
152,2,3253,442,545,6380,-9327,7763
153,2,2549,1911,2251,6634,-9499,7935
154,2,2048,2754,3768,6634,-9521,7883
155,2,1435,3022,4308,6479,-9406,7762
156,2,816,3290,4426,6200,-9176,7566
157,2,693,2860,3837,5822,-8866,7297
158,2,1308,2166,2833,5455,-8525,7099
159,2,2619,1016,1510,5110,-8214,6904
160,2,4611,-383,-218,4826,-7980,6697
161,2,7353,-2187,-2166,4783,-7916,6740
162,2,7401,-2079,-1763,5003,-8107,6899
163,2,6213,-1593,-797,5391,-8431,7133
164,2,4404,-251,991,5853,-8828,7372
165,2,3013,765,2996,6134,-9063,7590
166,2,2086,2202,4211,6218,-9133,7647
167,2,1369,3024,4596,6097,-9025,7566
168,2,570,3015,4516,5821,-8786,7417
169,2,309,2868,3917,5484,-8462,7244
170,2,836,2149,2934,5131,-8137,7056
171,2,2101,1052,1717,4838,-7837,6886
172,2,3770,49,239,4622,-7608,6745
173,2,5404,-793,-923,4483,-7462,6734
174,2,6654,-1631,-1528,4415,-7457,6746
175,2,6875,-1963,-1409,4509,-7582,6808
176,2,6277,-1798,-587,4797,-7855,7008
177,2,4761,-846,585,5196,-8202,7245
178,2,3363,464,2075,5547,-8463,7517
179,2,2404,2084,3005,5755,-8580,7743
180,2,1716,2807,3465,5732,-8590,7750
181,2,932,3370,3696,5553,-8452,7687
182,2,294,3151,3506,5235,-8213,7482
183,2,384,2918,3082,4916,-7934,7261
184,2,951,2450,2597,4607,-7641,7017
185,2,2013,1617,1385,4339,-7358,6813
186,2,3411,334,128,4101,-7115,6626
187,2,4949,-855,-810,3914,-6926,6559
188,2,6353,-1812,-1458,3798,-6811,6547
189,2,7271,-2609,-1427,3806,-6818,6588
190,2,7482,-2755,-1047,3966,-6949,6710
191,2,5846,-1201,285,4540,-7449,7061
192,2,4507,-141,1068,4841,-7732,7234
193,2,3175,855,2049,5108,-7959,7402
194,2,2096,1871,2838,5238,-8067,7514
195,2,1179,2714,3588,5170,-8035,7499
196,2,392,2731,3415,4969,-7885,7341
197,2,-207,2702,3093,4726,-7676,7154
198,2,-191,2241,2737,4452,-7419,6901
199,2,525,1599,2202,4207,-7155,6659
200,2,1618,769,1316,3988,-6892,6441
201,2,3157,-195,59,3800,-6635,6317
202,2,4790,-1357,-1070,3675,-6459,6274
203,2,6142,-2154,-1686,3634,-6395,6295
204,2,6908,-2494,-1475,3644,-6391,6306
205,2,7229,-2402,-910,3756,-6481,6417
206,2,6963,-1937,-287,3923,-6643,6528
207,2,6337,-1229,264,4128,-6843,6666
208,2,5161,-411,929,4368,-7078,6819
209,2,3800,315,1547,4602,-7323,6937
210,2,2728,1112,2266,4777,-7490,7047
211,2,1804,1887,3211,4837,-7544,7144
212,2,969,2354,3024,4739,-7500,7058
213,2,198,2519,2890,4589,-7359,6923
214,2,-212,2340,2561,4378,-7154,6747
215,2,-234,1949,2281,4148,-6913,6532
216,2,1531,565,789,3682,-6343,6223
217,2,3254,-772,-461,3481,-6104,6063
218,2,4779,-1677,-1567,3402,-5964,5999
219,2,6069,-2354,-1959,3344,-5886,5940
220,2,6948,-2784,-1797,3372,-5921,5983
221,2,6967,-2692,-1232,3490,-6039,6087
222,2,6501,-2215,-686,3649,-6204,6234
223,2,5695,-1555,-9,3831,-6422,6365
224,2,4492,-895,769,4036,-6665,6490
225,2,3194,-102,1398,4265,-6897,6645
226,2,2063,681,2199,4440,-7074,6790
227,2,1130,1398,2537,4459,-7157,6755
228,2,214,1423,2880,4396,-7120,6641
229,2,-569,1519,2856,4244,-6926,6586
230,2,-920,1726,2581,4021,-6671,6450
231,2,-479,1352,1949,3784,-6395,6242
232,2,526,768,1332,3611,-6155,6041
233,2,1673,123,319,3479,-5929,5915
234,2,3188,-590,-319,3350,-5735,5855
235,2,4668,-1364,-1246,3224,-5574,5830
236,2,5641,-1995,-1649,3165,-5520,5841
237,2,6126,-2448,-1440,3194,-5564,5901
238,2,6097,-2329,-1003,3314,-5708,6033
239,2,5353,-1733,-213,3503,-5928,6188
240,2,4190,-880,424,3719,-6163,6348
241,2,3079,-109,1111,3913,-6394,6479
242,2,2109,562,1849,4070,-6578,6583
243,2,1163,1195,2511,4162,-6708,6617
244,2,292,1480,2710,4163,-6702,6589
245,2,-563,1819,2997,4042,-6573,6489
246,2,-1219,1764,2738,3872,-6363,6296
247,2,-1289,1420,2229,3694,-6092,6115
248,2,-612,1123,1396,3515,-5802,5986
249,2,637,260,467,3327,-5535,5833
250,2,2444,-721,-581,3178,-5307,5711
251,2,4222,-1518,-1793,3084,-5147,5641
252,2,5385,-2139,-2385,3035,-5080,5618
253,2,6190,-2669,-2634,3046,-5104,5648
254,2,6215,-2630,-2156,3142,-5252,5750
255,2,5466,-2170,-1270,3316,-5484,5912
256,2,4321,-1411,-431,3521,-5749,6071
257,2,3071,-701,221,3727,-6004,6229
258,2,1729,14,757,3929,-6245,6371
259,2,808,192,506,4111,-6438,6518
260,2,-35,384,230,4304,-6638,6610
261,2,-751,722,-437,4468,-6827,6668
262,2,-1126,523,-1211,4576,-6967,6663
263,2,-1354,242,-1800,4700,-7042,6788
264,2,-1530,58,-2470,4843,-7068,7030
265,2,-1572,-213,-3030,4948,-7085,7226
266,2,-1711,-553,-3475,5023,-7126,7312
267,2,-1768,-802,-3811,5087,-7175,7365
268,2,-1815,-1041,-4082,5136,-7226,7387
269,2,-1820,-1212,-4297,5190,-7273,7424
270,2,-1848,-1331,-4434,5242,-7320,7459
271,2,-1861,-1431,-4513,5287,-7361,7491
272,2,-1857,-1527,-4564,5326,-7400,7520
273,2,-1842,-1588,-4598,5364,-7441,7539
274,2,-1834,-1634,-4624,5402,-7478,7565
275,2,-1811,-1655,-4621,5441,-7516,7597
276,2,-1798,-1695,-4604,5476,-7555,7614
277,2,-1783,-1715,-4566,5512,-7593,7641
278,2,-1748,-1715,-4542,5549,-7631,7670
279,2,-1718,-1707,-4512,5588,-7672,7689
280,2,-1704,-1690,-4468,5626,-7713,7712
