,0,1,2,3,4,5,6
0,0,-3631,-433,-4888,467,-3386,-368
1,0,-4214,-1805,-3363,376,-3366,-619
2,0,-5489,-2331,-1489,447,-3159,-696
3,0,-6667,-1933,-1507,644,-2763,-727
4,0,-6002,-1029,-2937,799,-2312,-513
5,0,-3962,-654,-5023,815,-1968,-442
6,0,-1645,-456,-6081,803,-1900,-402
7,0,-132,-368,-5732,794,-2112,-336
8,0,-48,80,-4328,835,-2517,-280
9,0,-768,315,-3108,909,-2963,-267
10,0,-1812,326,-2029,1017,-3379,-225
11,0,-2715,289,-1620,1114,-3688,-240
12,0,-2975,202,-1914,1099,-3851,-346
13,0,-3036,72,-2519,1070,-3914,-390
14,0,-2977,69,-3321,1070,-3953,-386
15,0,-3005,48,-3979,1086,-3995,-377
16,0,-3068,-13,-4445,1119,-4038,-322
17,0,-3054,-168,-4803,1142,-4085,-280
18,0,-3040,-345,-5057,1177,-4139,-266
19,0,-3019,-478,-5261,1228,-4196,-253
20,0,-3022,-509,-5444,1270,-4250,-252
21,0,-2997,-563,-5603,1299,-4299,-246
22,0,-2986,-545,-5731,1320,-4351,-238
23,0,-2948,-574,-5804,1322,-4406,-263
24,0,-2931,-613,-5834,1319,-4462,-288
25,0,-2897,-657,-5856,1311,-4514,-312
26,0,-2867,-705,-5889,1299,-4563,-334
27,0,-2830,-732,-5905,1286,-4610,-352
28,0,-2787,-755,-5915,1280,-4659,-368
29,0,-2746,-747,-5894,1280,-4707,-382
30,0,-2710,-731,-5860,1279,-4757,-392
31,0,-2676,-727,-5837,1278,-4802,-398
32,0,-2642,-697,-5803,1275,-4849,-411
33,0,-2608,-684,-5771,1274,-4896,-423
34,0,-2568,-649,-5729,1275,-4943,-439
35,0,-2532,-634,-5694,1274,-4989,-455
36,0,-2498,-608,-5673,1274,-5035,-469
37,0,-2468,-595,-5651,1274,-5081,-481
38,0,-2433,-604,-5629,1275,-5127,-491
39,0,-2399,-626,-5610,1274,-5173,-502
40,0,-2361,-629,-5590,1276,-5219,-513
41,0,-2322,-624,-5572,1277,-5266,-527
42,0,-2290,-606,-5558,1279,-5312,-538
43,1,-6108,6120,-5432,318,-6676,1055
44,1,-6488,3569,-5635,-1154,-6667,1005
45,1,-4191,-933,-6493,-1960,-6313,261
46,1,-2141,-2727,-7421,-1785,-6063,57
47,1,193,-2525,-9120,-1373,-5854,-197
48,1,3436,-706,-11222,-845,-5719,-230
49,1,6562,2495,-11721,-632,-5897,-121
50,1,8019,3088,-8793,-960,-6206,60
51,1,7593,436,-4571,-1474,-6238,235
52,1,7301,-3350,-4019,-1679,-5879,309
53,1,6834,-6156,-5012,-1553,-5505,178
54,1,6985,-6255,-7402,-1181,-5236,55
55,1,7733,-4709,-9874,-796,-5119,-124
56,1,9275,-825,-11391,-345,-5240,54
57,1,10054,2201,-8910,-392,-5582,322
58,1,9050,1549,-4337,-880,-5744,641
59,1,7730,-2810,-3038,-1264,-5367,702
60,1,7026,-6271,-4525,-1173,-4923,627
61,1,6811,-6340,-7155,-752,-4600,509
62,1,7435,-3962,-9981,-298,-4443,360
63,1,8980,622,-11296,39,-4644,521
64,1,9241,3206,-7984,-163,-5012,783
65,1,7832,1074,-3976,-757,-5091,948
66,1,7023,-3628,-3958,-1095,-4708,851
67,1,6020,-6491,-5773,-894,-4319,764
68,1,5942,-6475,-8327,-471,-4047,696
69,1,6814,-4550,-10819,18,-3912,742
70,1,8229,-1128,-12337,357,-4028,902
71,1,9354,1334,-10333,333,-4344,1120
72,1,8845,1974,-5867,-41,-4513,1422
73,1,7660,-1302,-3609,-519,-4233,1460
74,1,6844,-5366,-4732,-622,-3771,1387
75,1,6479,-6884,-7150,-315,-3449,1335
76,1,6958,-5813,-9467,136,-3302,1369
77,1,8245,-3362,-11238,585,-3318,1589
78,1,9126,-305,-10932,758,-3557,1807
79,1,9137,884,-7740,517,-3772,1916
80,1,8174,-1053,-4375,26,-3641,1939
81,1,7134,-5237,-4228,-228,-3206,1900
82,1,6538,-7348,-8532,233,-2668,1848
83,1,7279,-5799,-10560,557,-2656,1847
84,1,8022,-2284,-11265,927,-2831,2092
85,1,8596,805,-9443,912,-3065,2290
86,1,8718,1259,-6008,577,-3158,2490
87,1,7886,-1579,-3117,166,-2884,2468
88,1,6950,-4866,-3644,-42,-2431,2442
89,1,6452,-7379,-6333,36,-2098,2347
90,1,6034,-7306,-8960,400,-1986,2346
91,1,6604,-5020,-10849,825,-2068,2535
92,1,7510,-1561,-10856,1035,-2274,2750
93,1,8160,728,-8413,859,-2464,2946
94,1,7436,-740,-4456,354,-2394,2990
95,1,6157,-5000,-3539,-11,-1977,2784
96,1,4927,-8346,-5171,-22,-1551,2713
97,1,3947,-9402,-7464,250,-1292,2682
98,1,3818,-8042,-10132,669,-1244,2702
99,1,4679,-4576,-12287,1099,-1368,2836
100,1,5903,-253,-12406,1276,-1643,3043
101,1,6250,1876,-9272,1020,-1894,3211
102,1,5889,-308,-4924,492,-1815,3254
103,1,5091,-4680,-3734,142,-1378,3127
104,1,3733,-7498,-4912,123,-971,3098
105,1,2927,-8785,-7475,318,-689,3097
106,1,3185,-8384,-10119,668,-614,3070
107,1,4407,-5857,-11938,1075,-758,3305
108,1,5818,-2196,-11858,1235,-994,3550
109,1,7207,-236,-8715,1044,-1149,3795
110,1,6655,-380,-4899,617,-1071,3915
111,1,5117,-3992,-3450,253,-724,3736
112,1,3974,-7617,-4930,224,-325,3658
113,1,3394,-8204,-7569,515,-113,3711
114,1,4036,-6971,-10188,877,-77,3848
115,1,5145,-3844,-11900,1171,-232,4077
116,1,6364,-567,-10660,1164,-453,4312
117,1,7084,-307,-7067,832,-482,4418
118,1,6000,-2617,-4177,412,-254,4448
119,1,4827,-6536,-3777,130,132,4322
120,1,3680,-9211,-5046,131,447,4279
121,1,2910,-9722,-7092,328,626,4281
122,1,3069,-9020,-9310,608,649,4221
123,1,4581,-6591,-11141,876,509,4333
124,1,5884,-3077,-11364,1004,338,4540
125,1,6801,-1018,-9786,840,179,4653
126,1,6239,-662,-6048,431,176,4769
127,1,4553,-3588,-3453,3,449,4593
128,1,3193,-7822,-3672,-204,851,4440
129,1,1668,-9785,-5154,-56,1156,4446
130,1,1262,-9450,-7862,250,1365,4516
131,1,2079,-7832,-10978,575,1381,4683
132,1,3532,-5244,-12556,778,1176,4863
133,1,4537,-2003,-10728,762,874,4947
134,1,4858,-1831,-6122,395,852,4885
135,1,4039,-5046,-3523,-29,1215,4736
136,1,2754,-8550,-3725,-213,1655,4664
