,0,1,2,3,4,5,6
0,0,-1314,-2609,-1197,126,-7258,-645
1,0,-2960,-4413,-259,-9,-7443,-730
2,0,-2435,-3228,-1221,-91,-7386,-760
3,0,-2164,-2240,-2009,-39,-7417,-884
4,0,-2195,-1123,-2529,77,-7499,-876
5,0,-2222,-318,-2603,68,-7541,-831
6,0,-2761,530,-1391,-138,-7481,-776
7,0,-2658,975,522,-421,-7211,-727
8,0,-3885,1524,1323,-742,-6812,-850
9,0,-5032,2276,1425,-917,-6369,-878
10,0,-4619,2053,-269,-1152,-5848,-775
11,0,-2550,830,-3119,-1285,-5414,-743
12,0,318,-673,-4760,-1335,-5238,-768
13,0,2509,-1703,-5108,-1340,-5237,-823
14,0,4059,-1790,-5278,-1232,-5360,-908
15,0,4963,-1667,-4626,-1113,-5604,-978
16,0,4868,-1215,-3053,-1002,-5907,-1055
17,0,4233,-1123,-1863,-893,-6205,-1124
18,0,3202,-677,-1305,-680,-6536,-1120
19,0,1600,145,-1082,-370,-6910,-1061
20,0,-102,1459,-854,9,-7299,-897
21,0,-960,1775,-550,201,-7598,-808
22,0,-1628,2064,-342,525,-7750,-504
23,0,-1374,1983,-1163,551,-7754,-400
24,0,-1542,1420,-1982,434,-7748,-541
25,0,-2203,338,-1692,374,-7730,-663
26,0,-3357,-1228,-1438,269,-7560,-971
27,0,-4125,-1922,-1234,355,-7327,-1414
28,0,-4168,-2628,-1283,477,-7161,-2015
29,0,-2987,-3391,-2349,755,-7093,-2676
30,0,-2424,-2117,-2872,1290,-7190,-3389
31,0,-766,466,-1811,1905,-7475,-3635
32,0,1997,2031,-1387,2063,-7470,-3451
33,0,4212,2376,-1747,1953,-7319,-3387
34,0,5573,2300,-1991,1845,-7231,-3167
35,0,5600,2111,-2170,1670,-7200,-2831
36,0,5095,1190,-2273,1318,-7237,-2461
37,0,4310,-332,-1771,1001,-7414,-1992
38,0,2399,-1809,-717,686,-7735,-1585
39,0,451,-2709,-324,513,-8070,-1307
40,0,-743,-2780,-645,384,-8331,-1223
41,0,-1410,-2339,-500,255,-8537,-1250
42,0,-1463,-1924,-1128,138,-8565,-1310
43,0,-1441,-926,-1683,-26,-8555,-1462
44,0,-1759,-638,-811,-210,-8490,-1567
45,0,-2330,-146,197,-296,-8260,-1655
46,0,-3194,985,1065,-339,-7915,-1646
47,0,-3727,1541,932,-491,-7481,-1564
48,0,-3453,1569,703,-690,-7024,-1463
49,0,-2201,715,-924,-934,-6547,-1450
50,0,62,-307,-3448,-1021,-6212,-1551
51,0,2528,-1097,-4858,-1037,-6109,-1603
52,0,4352,-1525,-5657,-998,-6111,-1712
53,0,5441,-1506,-5921,-877,-6243,-1794
54,0,5468,-1001,-5430,-724,-6549,-1817
55,0,4566,-394,-3710,-598,-6981,-1851
56,0,3063,112,-1866,-402,-7479,-1825
57,0,1132,526,-242,-167,-7963,-1861
58,0,-408,1148,365,221,-8337,-1754
59,0,-952,1554,228,422,-8549,-1693
60,0,-1170,1599,-240,508,-8657,-1620
61,0,-1218,919,-955,511,-8702,-1568
62,0,-1451,807,-1317,462,-8703,-1621
63,0,-2233,176,-1476,124,-8610,-1834
64,0,-2839,-756,-1604,-56,-8418,-2096
65,0,-3024,-2007,-1834,24,-8213,-2476
66,0,-3113,-2725,-1885,312,-8067,-3027
67,0,-2641,-3228,-1795,607,-7997,-3767
68,0,-2083,-3017,-1954,1034,-7981,-4475
69,0,-300,-881,-1878,1618,-7968,-4898
70,0,1888,1365,-1274,1887,-7935,-5089
71,0,4064,2893,-1271,2039,-7883,-4862
72,0,5372,2965,-1825,1964,-7804,-4621
73,0,5779,2818,-2544,1808,-7793,-4246
74,0,5884,1949,-2496,1575,-7939,-3811
75,0,4559,836,-1457,1419,-8279,-3326
76,0,2451,-444,-96,1152,-8661,-3000
77,0,654,-1623,437,910,-9000,-2760
78,0,-498,-2036,418,756,-9272,-2653
79,0,-1022,-1917,171,522,-9465,-2728
80,0,-838,-1803,-185,457,-9504,-2711
81,0,-917,-687,-416,208,-9497,-2873
82,0,-1400,361,206,-21,-9425,-2933
83,0,-2358,870,1110,-409,-9189,-2974
84,0,-3335,1315,1825,-571,-8804,-2868
85,0,-3199,1975,1990,-664,-8331,-2704
86,0,-2546,1837,993,-844,-7829,-2631
87,0,-694,1416,-1199,-951,-7402,-2611
88,0,1881,614,-3289,-981,-7164,-2598
89,0,4045,-73,-4530,-972,-7120,-2646
90,0,5355,-360,-5192,-892,-7221,-2751
91,0,5658,-112,-4920,-735,-7480,-2879
92,0,4757,682,-3342,-525,-7884,-2974
93,0,3216,1496,-1441,-292,-8363,-3056
94,0,1233,2139,546,10,-8825,-3155
95,0,-352,2459,1417,325,-9176,-3231
96,0,-885,2564,1351,551,-9363,-3246
97,0,-869,2191,666,621,-9434,-3203
98,0,-849,2068,-156,673,-9458,-3164
99,0,-823,1744,-1118,577,-9470,-3234
100,0,-802,1679,-1852,573,-9498,-3227
101,0,-784,1504,-2324,504,-9529,-3277
102,0,-794,1423,-2613,498,-9560,-3281
103,0,-781,1340,-2864,482,-9586,-3282
104,0,-730,1195,-3075,470,-9614,-3291
105,0,-728,1180,-3149,471,-9646,-3289
106,0,-718,1131,-3185,475,-9676,-3283
107,0,-702,1099,-3205,456,-9703,-3285
108,0,-665,1075,-3271,452,-9732,-3284
109,0,-635,1049,-3233,446,-9763,-3286
110,0,-634,1011,-3207,440,-9793,-3290
111,0,-621,1025,-3203,435,-9822,-3294
112,0,-601,1034,-3262,426,-9855,-3300
113,0,-573,1040,-3290,414,-9886,-3299
114,0,-573,1003,-3189,404,-9916,-3303
115,0,-548,999,-3127,397,-9945,-3303
116,0,-558,975,-3104,386,-9974,-3304
117,0,-555,977,-3050,381,-10004,-3305
118,0,-561,994,-3026,380,-10033,-3304
119,0,-530,988,-3038,371,-10065,-3307
120,0,-498,998,-3112,364,-10093,-3310
121,0,-496,1002,-3100,358,-10124,-3309
122,0,-498,968,-3046,341,-10151,-3314
123,0,-482,955,-3041,330,-10175,-3318
124,0,-485,975,-3033,322,-10204,-3320
125,0,-463,970,-2981,315,-10234,-3324
126,1,5240,4026,995,-1466,-10872,-8825
127,1,5882,3203,766,-1548,-11042,-8145
128,1,5693,1744,1134,-1718,-11401,-7358
129,1,4084,-258,2350,-1951,-11873,-6655
130,1,1797,-1752,2903,-2204,-12334,-6202
131,1,228,-2415,2824,-2471,-12636,-6138
132,1,-447,-2313,3760,-2558,-12749,-6301
133,1,-355,-1620,3584,-3009,-12656,-6093
134,1,-700,-572,4299,-3329,-12509,-5852
135,1,-1142,269,5104,-3259,-12192,-5255
136,1,-1486,716,5336,-3324,-11779,-4720
137,1,-1441,901,5068,-3291,-11316,-4402
138,1,-1217,939,4001,-3089,-10814,-4042
139,1,110,600,1218,-2952,-10338,-3674
140,1,2810,-460,-2338,-2900,-10062,-3520
141,1,5157,-1271,-4382,-2834,-10042,-3625
142,1,6263,-1272,-4918,-2840,-10211,-4098
143,1,6168,-820,-4022,-2804,-10570,-4613
144,1,4955,511,-1497,-2713,-10992,-5165
145,1,3628,1281,943,-2715,-11414,-5750
146,1,1558,1945,3064,-2572,-11764,-6386
147,1,249,2340,3763,-2291,-11987,-6756
148,1,-93,2381,3576,-1886,-12111,-6885
149,1,-176,1936,3397,-1235,-12146,-6834
150,1,-237,2002,2785,-1102,-12137,-6697
151,1,-1282,1778,2604,-2045,-12077,-6705
152,1,-2475,-224,1590,-2938,-11825,-6618
153,1,-2131,-1088,1551,-2783,-11510,-6815
154,1,-1735,-1913,1530,-3038,-11208,-7822
155,1,-1560,-1950,1103,-2912,-10855,-9055
156,1,-515,-1171,429,-2822,-10499,-10251
157,1,824,1013,1633,-2715,-10372,-11104
158,1,5789,3839,2084,-1777,-10362,-10605
159,1,7028,3668,1523,-1735,-10410,-10210
160,1,7245,3181,1352,-1686,-10557,-9656
161,1,7101,1990,1238,-1845,-10754,-9104
162,1,6570,501,1545,-1869,-11064,-8540
163,1,5018,-819,2532,-1926,-11438,-8105
164,1,3158,-1891,3036,-2145,-11782,-7811
165,1,1844,-2217,2865,-2185,-12043,-7719
166,1,810,-1710,2615,-2181,-12219,-7871
167,1,342,-1689,2546,-2310,-12251,-7890
168,1,385,-435,1963,-2582,-12249,-7862
169,1,258,398,1991,-3008,-12245,-7830
170,1,-92,1035,2699,-3322,-12187,-7645
171,1,-827,1302,3601,-3534,-12020,-7239
172,1,-1760,2321,4340,-3349,-11748,-6463
173,1,-2266,2830,4450,-3318,-11377,-5583
174,1,-1402,2152,2646,-3394,-10947,-4843
175,1,1028,1409,330,-3364,-10596,-4567
176,1,3516,637,-943,-3307,-10414,-4415
177,1,5360,185,-2125,-3240,-10360,-4469
178,1,6700,74,-2472,-3145,-10462,-4625
179,1,7358,153,-1606,-3134,-10655,-4966
180,1,6815,926,-27,-2986,-10918,-5318
181,1,5489,1363,1745,-2980,-11213,-5745
182,1,3977,1503,3094,-2928,-11486,-6158
183,1,2261,1743,3793,-2621,-11704,-6473
184,1,1262,2206,3746,-2111,-11822,-6653
185,1,926,2468,3107,-1649,-11874,-6607
186,1,711,2455,2605,-1381,-11898,-6540
187,1,191,2322,2383,-1326,-11896,-6432
188,1,-705,1827,2222,-1900,-11825,-6338
189,1,-1768,640,2206,-2649,-11601,-6409
190,1,-1787,-405,1919,-2865,-11288,-6760
191,1,-1049,-1294,1402,-3102,-10982,-7705
192,1,-222,-1585,733,-3218,-10713,-8998
193,1,389,-656,514,-3409,-10505,-10312
194,1,1804,802,1400,-3358,-10450,-11100
195,1,4373,1969,2127,-3121,-10392,-11206
196,1,6234,2945,1921,-2845,-10346,-10972
197,1,7199,3171,1409,-2642,-10409,-10521
198,1,7427,2824,1039,-2524,-10574,-9958
199,1,7217,1587,1001,-2732,-10816,-9463
200,1,6241,245,1705,-2722,-11141,-8921
201,1,4565,-1054,2706,-2820,-11478,-8471
202,1,3017,-2077,3110,-2936,-11761,-8122
203,1,1818,-2037,2938,-2955,-11978,-7989
204,1,988,-1556,2619,-3238,-12143,-8070
205,1,460,-1537,2507,-3707,-12231,-8142
206,1,548,-391,1708,-3926,-12220,-8173
207,1,474,442,1590,-4101,-12251,-8217
208,1,252,1101,1988,-4373,-12256,-8160
209,1,-306,965,2942,-4727,-12170,-7933
210,1,-987,2174,4094,-4485,-11968,-7308
211,1,-1968,2257,4594,-4418,-11633,-6608
212,1,-2080,2587,4209,-4095,-11200,-5777
213,1,-806,2058,2240,-3929,-10754,-5127
214,1,1646,1589,-337,-3773,-10441,-4856
215,1,4125,828,-1730,-3708,-10349,-4805
216,1,6029,317,-2187,-3705,-10379,-4989
217,1,7067,426,-1884,-3659,-10520,-5284
218,1,7081,1036,-725,-3645,-10753,-5677
219,1,6000,1491,955,-3678,-11068,-6128
220,1,4295,1814,2677,-3697,-11363,-6655
221,1,2503,2275,3661,-3443,-11580,-7065
222,1,1419,2785,3566,-2920,-11716,-7285
223,1,774,3145,3250,-2595,-11802,-7409
224,1,394,2879,2994,-2092,-11828,-7287
225,1,319,2922,2206,-1972,-11827,-7135
226,1,-206,2644,1504,-2585,-11809,-7171
227,1,-1074,1215,1133,-3210,-11747,-7182
228,1,-1556,-1119,679,-3253,-11550,-7421
229,1,-2604,-2558,758,-2941,-11197,-8296
230,1,-3880,-2769,1080,-2654,-10756,-9497
231,1,-3761,-1368,796,-2123,-10324,-10344
232,1,-1153,1307,575,-1322,-10057,-10652
233,1,2138,3340,443,-1046,-9932,-10719
234,1,4835,4557,233,-939,-9908,-10588
235,1,6462,4608,162,-884,-10013,-10337
236,1,6876,4056,26,-850,-10188,-9909
237,1,6566,2782,393,-1009,-10463,-9444
238,1,5962,1107,1152,-1197,-10781,-9039
239,1,4377,-212,2210,-1318,-11136,-8727
240,1,2709,-1282,2747,-1497,-11452,-8491
241,1,1316,-1865,2738,-1723,-11700,-8368
242,1,717,-1573,2328,-1996,-11861,-8377
243,1,264,-2162,2404,-2586,-11975,-8464
244,1,298,-1222,1961,-2875,-11946,-8536
245,1,116,-24,2554,-3174,-11941,-8523
246,1,-435,1533,3455,-3264,-11856,-8182
247,1,-1964,2878,3928,-3486,-11727,-7466
248,1,-3529,2730,3762,-3650,-11460,-6467
249,1,-3288,2557,2881,-3621,-11050,-5506
250,1,-1143,1899,607,-3568,-10616,-4984
251,1,1683,1252,-1085,-3504,-10354,-4809
252,1,4396,645,-2321,-3460,-10255,-4755
253,1,6372,480,-3161,-3447,-10298,-4923
254,1,7449,563,-2815,-3427,-10496,-5204
255,1,6905,1067,-1188,-3433,-10795,-5616
256,1,5439,1518,639,-3450,-11124,-6050
257,1,3622,1694,2290,-3406,-11427,-6567
258,1,1653,2183,3239,-3026,-11658,-7008
259,1,600,3101,3391,-2345,-11789,-7204
260,1,314,3084,3240,-2013,-11850,-7247
261,1,290,3253,2650,-1319,-11863,-6955
262,1,-96,3004,2072,-1623,-11837,-6990
263,1,-751,2116,1674,-2221,-11779,-6968
264,1,-1290,469,1219,-2715,-11616,-7027
265,1,-1798,-1184,1000,-2525,-11357,-7398
266,1,-2607,-2392,1000,-2316,-10978,-8331
267,1,-2877,-2490,918,-2102,-10564,-9483
268,1,-2680,-556,957,-1831,-10209,-10548
269,1,-130,2051,1471,-1291,-10049,-11041
270,1,2890,3828,2019,-654,-10023,-10925
271,1,5194,4707,1885,-596,-10022,-10699
272,1,6529,4610,1551,-655,-10102,-10325
273,1,7071,3775,1272,-832,-10255,-9896
274,1,6895,2624,1446,-771,-10484,-9363
275,1,6026,1379,2135,-816,-10804,-8857
276,1,4429,-104,3001,-1064,-11160,-8401
277,1,2893,-1465,3170,-1373,-11461,-8000
278,1,1658,-1872,2781,-1683,-11716,-7809
279,1,868,-1788,2355,-2104,-11919,-7928
280,1,413,-1921,2432,-2116,-12050,-7959
281,1,372,-678,1892,-2083,-12044,-7989
282,1,246,170,1558,-2411,-12048,-8174
283,1,-126,507,1979,-3039,-12012,-8392
284,1,-872,846,2957,-3260,-11874,-8307
285,1,-2361,1198,3754,-2903,-11635,-7556
286,1,-3753,1713,3524,-2629,-11333,-6450
287,1,-3458,2020,2278,-2653,-10952,-5384
288,1,-1012,1030,63,-2775,-10552,-4768
289,1,1916,557,-1323,-2699,-10278,-4589
290,1,4473,335,-2652,-2676,-10182,-4556
291,1,6314,100,-3258,-2702,-10264,-4750
292,1,6955,300,-2664,-2686,-10479,-5079
293,1,6475,801,-1013,-2640,-10769,-5498
294,1,5223,1352,771,-2512,-11084,-5936
295,1,3218,1836,2311,-2281,-11379,-6459
296,1,1251,2613,3039,-1721,-11596,-6888
297,1,328,3237,3091,-1233,-11724,-7137
298,1,106,3033,2827,-857,-11788,-7226
299,1,-23,3057,2350,-237,-11805,-6980
300,1,-306,2564,1824,-613,-11771,-6944
301,1,-1012,1650,1442,-1285,-11689,-6891
302,1,-1303,92,1101,-1663,-11500,-6988
303,1,-1943,-856,1468,-1487,-11251,-7322
304,1,-2408,-1447,1750,-1277,-10909,-7900
305,1,-2040,-1561,1153,-870,-10455,-8671
306,1,-954,-126,596,-866,-10014,-9757
307,1,421,1548,1027,-636,-9885,-10557
308,1,5438,4871,1748,28,-9841,-10363
309,1,6732,4694,1442,2,-9927,-9986
310,1,6928,3924,1133,-76,-10084,-9507
311,1,6520,2685,1239,-253,-10359,-8952
312,1,5588,1176,1718,-442,-10694,-8443
313,1,4007,-334,2460,-610,-11078,-8050
314,1,2135,-1284,2810,-738,-11432,-7822
315,1,820,-1779,2591,-938,-11684,-7788
316,1,252,-2955,2831,-1145,-11817,-7863
317,1,267,-1819,2477,-1146,-11786,-7930
318,1,-84,-465,3183,-1355,-11743,-7940
319,1,-1115,1036,3927,-1363,-11617,-7561
320,1,-2559,1841,4029,-1616,-11404,-6918
321,1,-3453,2280,3945,-1784,-11124,-6048
322,1,-3262,2410,3165,-1944,-10781,-5028
323,1,-1540,1736,1322,-2171,-10401,-4304
324,1,1217,685,-1131,-2307,-10116,-3987
325,1,3882,-407,-2497,-2434,-10009,-3942
326,1,5912,-1180,-3082,-2494,-10014,-4116
327,1,6980,-1405,-3121,-2472,-10101,-4424
328,1,7251,-926,-2799,-2339,-10279,-4797
329,1,6688,84,-1516,-2120,-10577,-5206
330,1,5218,926,365,-1952,-10935,-5737
331,1,2979,1429,2288,-1791,-11259,-6349
332,1,1080,2165,3366,-1432,-11507,-6777
333,1,349,2382,3418,-1260,-11666,-7023
334,1,77,1987,3228,-777,-11769,-6909
335,1,39,1932,2884,-206,-11764,-6683
336,1,-575,1735,2339,-603,-11720,-6642
337,1,-1128,618,1756,-1466,-11607,-6666
338,1,-1532,-1100,1393,-1722,-11381,-6924
339,1,-2044,-2486,1182,-1511,-11035,-7622
340,1,-2456,-2647,994,-1181,-10620,-8656
341,1,-2278,-1838,716,-644,-10248,-9619
342,1,-476,961,739,325,-10004,-10022
343,1,2159,2529,1061,558,-9869,-10180
344,1,4767,4240,986,805,-9825,-10045
345,1,6435,4570,1072,771,-9881,-9805
346,1,6823,4316,716,671,-9991,-9395
347,1,6684,3265,591,526,-10217,-8886
348,1,6084,1637,908,357,-10557,-8421
349,1,4546,404,2148,397,-10956,-8098
350,1,2784,-733,2778,304,-11327,-7978
351,1,1227,-1434,3032,179,-11619,-8045
352,1,448,-1465,2807,-32,-11781,-8170
353,1,123,-1076,2722,-140,-11863,-8201
354,1,221,-667,2483,-454,-11834,-8205
355,1,-156,102,3117,-191,-11745,-8072
356,1,-1382,1183,3717,-30,-11580,-7514
357,1,-2395,2199,3702,-314,-11356,-6702
358,1,-2759,2699,3672,-750,-11059,-5832
359,1,-2133,2554,2954,-1010,-10686,-4940
360,1,-253,1685,1359,-1199,-10305,-4255
361,1,2456,494,-952,-1349,-10022,-3925
362,1,4619,-441,-2307,-1400,-9915,-3820
363,1,6497,-1344,-2948,-1426,-9887,-3894
364,1,7975,-1223,-2995,-1262,-10107,-4606
365,1,7234,-156,-1941,-946,-10400,-5013
366,1,5904,1503,-336,-432,-10728,-5473
367,1,3753,2480,1813,-124,-11076,-6067
368,1,1680,2812,3327,106,-11366,-6557
369,1,736,2701,3400,288,-11527,-6859
370,1,274,2185,3172,784,-11631,-6921
371,1,74,2282,2679,1487,-11659,-6682
372,1,181,2180,1547,1245,-11645,-6670
373,1,176,2092,626,1124,-11651,-6694
374,1,152,1999,92,1094,-11666,-6696
375,1,134,1924,-267,1032,-11682,-6699
376,1,131,1877,-482,954,-11696,-6703
377,1,185,1818,-741,911,-11710,-6695
378,1,200,1770,-890,875,-11725,-6699
379,1,204,1764,-951,867,-11741,-6691
380,1,237,1756,-1044,853,-11756,-6676
381,1,247,1734,-1157,837,-11772,-6667
382,1,216,1670,-1144,823,-11789,-6657
383,1,215,1602,-1137,811,-11803,-6651
384,1,228,1549,-1081,817,-11820,-6639
385,1,224,1556,-1056,818,-11834,-6630
386,1,208,1522,-1058,819,-11847,-6611
387,1,213,1465,-1078,810,-11862,-6610
388,1,225,1483,-1063,812,-11878,-6602
389,1,207,1415,-1061,811,-11893,-6597
390,1,194,1414,-1041,799,-11907,-6592
391,1,203,1358,-1062,791,-11922,-6580
392,1,212,1353,-1071,791,-11936,-6574
393,1,218,1341,-1037,792,-11951,-6558
394,1,211,1339,-1008,799,-11965,-6546
395,1,226,1340,-1021,794,-11982,-6536
396,1,222,1331,-1033,791,-11996,-6532
397,1,232,1296,-1003,795,-12011,-6519
398,1,218,1319,-1007,798,-12025,-6514
399,1,219,1329,-988,791,-12039,-6501
400,2,6363,4377,1937,-1540,-10995,-10455
401,2,7072,3612,1484,-1557,-11190,-9790
402,2,7295,1831,1613,-1665,-11487,-9139
403,2,6206,380,2347,-1552,-11860,-8572
404,2,4248,-481,2889,-1472,-12317,-8168
405,2,2014,-1763,3108,-1753,-12747,-8106
406,2,398,-1933,3555,-1792,-12984,-8335
407,2,382,-2149,3506,-2427,-12958,-8402
408,2,-86,-1022,4049,-2626,-12912,-8140
409,2,-1585,368,5351,-2824,-12732,-7631
410,2,-3341,596,5207,-2805,-12378,-6546
411,2,-4544,1435,4592,-2416,-11979,-5082
412,2,-3697,1303,2043,-2559,-11511,-3925
413,2,-327,281,-1135,-2752,-11155,-3521
414,2,2906,-735,-2604,-2763,-11043,-3405
415,2,5459,-1364,-3056,-2810,-11055,-3623
416,2,6756,-1227,-2889,-2785,-11192,-3985
417,2,6901,-611,-2204,-2688,-11456,-4422
418,2,5920,547,-763,-2411,-11819,-4979
419,2,4202,1113,1179,-2273,-12177,-5823
420,2,1473,2400,3158,-1894,-12497,-6663
421,2,210,2013,3825,-2126,-12661,-7377
422,2,-157,1835,3875,-1161,-12766,-7472
423,2,-330,1945,3928,-123,-12772,-7114
424,2,-1118,235,3642,-1127,-12610,-6987
425,2,-1709,-1715,3185,-1274,-12258,-7166
426,2,-2397,-3097,2726,-1429,-11826,-7975
427,2,-2873,-3865,2608,-1510,-11400,-9124
428,2,-2694,-2524,2124,-1157,-10985,-10153
429,2,-792,169,1739,-262,-10677,-10758
430,2,2295,2727,1692,317,-10558,-10881
431,2,4954,4087,1719,424,-10532,-10778
432,2,7062,4597,1403,417,-10555,-10535
433,2,7832,4425,1091,362,-10653,-10172
434,2,7665,3602,799,360,-10853,-9625
435,2,7018,2112,1247,384,-11153,-9005
436,2,5860,726,2059,532,-11555,-8482
437,2,3741,-607,3080,661,-12012,-8188
438,2,1592,-1641,3495,868,-12393,-8142
439,2,206,-1651,3943,891,-12618,-8329
440,2,335,-2765,4120,-225,-12553,-8494
441,2,-187,-900,4783,-131,-12456,-8188
442,2,-1199,482,5211,-668,-12243,-7526
443,2,-2509,1370,5358,-933,-11942,-6574
444,2,-3459,1968,4989,-1061,-11556,-5383
445,2,-2236,1383,2829,-1262,-11095,-4340
446,2,245,233,191,-1294,-10727,-3712
447,2,3018,-873,-1808,-1275,-10550,-3474
448,2,5260,-1595,-2525,-1290,-10548,-3578
449,2,6564,-1788,-2758,-1256,-10648,-3922
450,2,6725,-944,-2401,-1029,-10885,-4414
451,2,5687,205,-905,-717,-11237,-5023
452,2,3829,1210,1322,-361,-11621,-5773
453,2,1777,1995,3032,197,-11948,-6534
454,2,97,2916,3950,971,-12163,-7090
455,2,-289,3132,4040,1434,-12279,-7015
456,2,-134,1828,3574,1637,-12252,-6736
457,2,-908,1224,3538,1202,-12132,-6592
