,0,1,2,3,4,5,6
0,0,-2673,-2240,414,4734,-4743,15346
1,0,-2641,-2230,354,4761,-4770,15339
2,0,-2618,-2275,312,4784,-4793,15334
3,0,-2605,-2314,298,4812,-4821,15334
4,0,-2597,-2342,321,4848,-4857,15334
5,0,-2605,-2320,352,4886,-4895,15331
6,0,-2611,-2162,359,4918,-4927,15320
7,0,-2894,-598,166,4835,-4844,15333
8,0,-2729,1467,-465,4403,-4410,15496
9,0,-2236,323,-722,3954,-3963,15546
10,0,-1696,-699,-460,3725,-3732,15609
11,0,-38,-574,-431,3599,-3600,15679
12,0,1125,-525,-120,3516,-3517,15700
13,0,1886,-839,362,3533,-3536,15673
14,0,2121,-1011,447,3700,-3714,15535
15,0,1820,-624,404,3997,-4024,15401
16,0,754,-309,466,4396,-4416,15473
17,0,-611,286,179,4799,-4800,15680
18,0,-1374,352,-140,5095,-26327,15830
19,0,-1527,-69,-298,5216,-26211,16056
20,0,-1742,-586,-198,5276,-26154,16248
21,0,-2030,-1149,189,5328,-26102,16384
22,0,-2276,-1678,502,5376,-26054,16423
23,0,-2413,-2159,517,5425,-26002,16461
24,0,-2522,-2518,474,5465,-25960,16489
25,0,-2590,-2862,478,5505,-25920,16514
26,0,-2657,-3085,541,5553,-25871,16536
27,0,-2663,-3209,577,5607,-25817,16549
28,0,-2669,-3320,591,5656,-25767,16553
29,0,-2681,-3374,573,5701,-25722,16561
30,0,-2696,-3463,550,5786,-25637,16559
31,0,-2679,-3514,535,5827,-25596,16554
32,0,-2662,-3550,525,5868,-25554,16547
33,0,-2640,-3575,516,5911,-25512,16542
34,0,-2630,-3590,519,5952,-25471,16536
35,0,-2613,-3593,519,5992,-25430,16533
36,0,-2600,-3602,515,6034,-25388,16528
37,0,-2583,-3621,514,6075,-25347,16523
38,0,-2553,-3603,511,6116,-25305,16523
39,0,-2520,-3591,509,6158,-25263,16523
40,0,-2503,-3590,497,6199,-25223,16522
41,0,-2478,-3592,507,6239,-25183,16521
42,0,-2457,-3575,513,6278,-25143,16520
43,0,-2431,-3550,506,6317,-25103,16518
44,0,-2405,-3522,498,6355,-25065,16516
45,0,-2381,-3521,485,6392,-25029,16516
46,0,-2356,-3499,491,6428,-24992,16520
47,0,-2328,-3486,483,6467,-24953,16516
48,0,-2300,-3441,468,6505,-24915,16517
49,1,5111,773,1206,6553,-25046,16992
50,1,6477,25,1999,6307,-25302,16983
51,1,7221,-740,2733,6215,-25395,16968
52,1,7946,-1360,2912,6245,-25351,16906
53,1,7916,-1145,2809,6353,-25232,16874
54,1,7618,146,2539,6506,-25075,16902
55,1,7355,1357,2354,6419,-25166,16913
56,1,7517,1527,2512,6146,-25440,16887
57,1,7513,700,2573,5867,-25714,16824
58,1,7607,-587,2670,5694,-25877,16748
59,1,8274,-1289,2702,5672,-25890,16695
60,1,8975,-1202,2640,5771,-25781,16663
61,1,9751,-356,2659,5891,-25653,16632
62,1,9818,841,2937,5897,-25613,16460
63,1,9320,1266,2620,5825,-25661,16313
64,1,8882,1891,2669,5723,-25725,16032
65,1,8702,2290,2818,5582,-5590,15599
66,1,8834,1841,2189,5370,-5404,15142
67,1,9126,1057,1665,5171,-5216,14730
68,1,9460,-311,1310,5032,-5073,14424
69,1,9814,-1143,845,4998,-5023,14228
70,1,9539,-1539,-176,5093,-5102,14095
71,1,8949,-261,-1310,5204,-5201,14075
72,1,8476,152,-1831,5079,-5080,14086
73,1,8527,-489,-2038,4878,-4898,14150
74,1,8775,-1426,-1613,4725,-4761,14298
75,1,9023,-1757,-781,4671,-4714,14521
76,1,9067,-1303,295,4695,-4741,14773
77,1,8945,-190,1280,4729,-4773,15018
78,1,8515,-83,2270,4724,-4763,15208
79,1,8223,391,2197,4738,-4766,15368
80,1,7923,1098,2040,4733,-4758,15454
81,1,7544,1258,1835,4664,-4680,15555
82,1,7662,1526,1742,4573,-4580,15643
83,1,7845,1917,1519,4382,-27036,15736
84,1,7927,1776,1284,4116,-27313,15806
85,1,7862,985,1306,3880,-27562,15879
86,1,7821,221,1445,3736,-27719,15937
87,1,7837,-433,1712,3709,-27756,15989
88,1,7473,-269,1870,3745,-27721,16000
89,1,6679,-88,1704,3805,-27652,15960
90,1,5948,255,1455,3843,-27616,15982
91,1,5463,529,1257,3737,-27731,16022
92,1,5079,359,1322,3547,-27928,16049
93,1,5181,-200,1552,3362,-28113,16038
94,1,5859,-638,1789,3241,-28228,16001
95,1,6753,-935,1850,3222,-28235,15938
96,1,7348,-855,1933,3269,-28173,15857
97,1,7698,-370,1967,3337,-28094,15802
98,1,8006,231,2614,3346,-28072,15724
99,1,7842,385,2234,3274,-3284,15640
100,1,7326,560,2290,3183,-3209,15528
101,1,6981,1028,2550,3094,-3133,15406
102,1,6823,1239,2474,2914,-2966,15226
103,1,6885,973,1809,2695,-2768,14932
104,1,6997,249,1439,2504,-2592,14626
105,1,7175,-602,1020,2373,-2465,14346
106,1,7430,-1519,562,2316,-2397,14124
107,1,7648,-2049,-101,2332,-2387,13983
108,1,7769,-1802,-1291,2382,-2411,13918
109,1,7418,-1328,-2098,2396,-2419,13887
110,1,7262,-1335,-2457,2311,-2344,13885
111,1,7391,-1620,-2552,2159,-2208,13931
112,1,7557,-2226,-2221,2028,-2097,14028
113,1,7518,-2505,-1501,1970,-2058,14188
114,1,7309,-2183,-503,1991,-2087,14407
115,1,7147,-1413,492,2051,-2152,14608
116,1,6698,-729,1180,2092,-2197,14776
117,1,6572,41,1878,2094,-2188,14976
118,1,6873,666,1932,2020,-2122,14994
119,1,7201,986,1814,1793,-1904,14990
120,1,7160,789,1245,1504,-1624,15014
121,1,6862,467,1038,1269,-1391,15064
122,1,6441,-283,1517,1114,-1239,15092
123,1,5958,-1410,1986,1078,-1206,15088
124,1,5254,-1769,2160,1182,-1298,15130
125,1,4526,-1119,1882,1297,-1405,15147
126,1,3762,-297,1542,1235,-1337,15183
127,1,3518,-674,1771,1032,-1148,15138
128,1,3777,-1288,1989,845,-980,15057
129,1,4372,-2004,2067,746,-888,15009
130,1,5224,-2338,2093,791,-936,14958
131,1,5875,-1816,1621,933,-1069,14947
132,1,6312,-1094,1298,1045,-1167,14970
133,1,6439,-298,1333,1088,-1206,14939
134,1,6316,345,1274,1036,-1151,14898
135,1,5706,896,1658,906,-1023,14743
136,1,5292,1143,1342,731,-849,14524
137,1,5349,772,985,553,-668,14261
138,1,5544,381,625,388,-497,13993
139,1,5858,-499,322,262,-361,13774
140,1,6006,-1788,39,213,-295,13604
141,1,6039,-2880,-471,284,-335,13540
142,1,5848,-2249,-1339,429,-449,13593
143,1,5427,-1368,-1806,443,-459,13596
144,1,5441,-1356,-2100,296,-328,13608
145,1,5470,-1839,-2063,115,-173,13661
146,1,5736,-2591,-1558,-17,-65,13774
147,1,5924,-2808,-746,-78,-21,13942
148,1,5888,-2267,-47,-64,-44,14152
149,1,5732,-1632,534,-14,-108,14304
150,1,5394,-1098,1263,43,-178,14438
151,1,5308,-299,1410,62,-199,14592
152,1,5601,349,1463,28,-176,14609
153,1,5786,503,1409,-136,-28,14561
154,1,5890,331,1110,-370,189,14552
155,1,5899,-16,952,-569,376,14577
156,1,5517,-235,924,-691,493,14616
157,1,5154,-739,1067,-743,543,14637
158,1,4420,-1248,1215,-721,525,14651
159,1,3599,-1414,1151,-608,426,14692
160,1,3127,-724,917,-530,358,14722
161,1,2610,-66,821,-605,433,14751
162,1,2304,-372,847,-803,613,14700
163,1,2400,-1042,954,-985,779,14643
164,1,3003,-1817,1216,-1082,872,14595
165,1,3781,-1967,1163,-1042,835,14552
166,1,4615,-1471,735,-918,716,14499
167,1,5098,-1047,513,-810,624,14505
168,1,5417,-331,1094,-736,563,14507
169,1,5338,198,925,-774,606,14472
170,1,4654,576,1597,-871,713,14367
171,1,4286,928,1531,-994,856,14250
172,1,4224,939,1091,-1139,1017,14059
173,1,4158,440,632,-1262,1163,13878
174,1,4203,-282,102,-1345,1275,13669
175,1,4394,-1133,-552,-1375,1343,13560
176,1,4312,-1799,-1207,-1307,1311,13518
177,1,4069,-1434,-1880,-1197,1224,13526
178,1,3874,-1043,-2394,-1206,1234,13505
179,1,3975,-888,-2658,-1353,1362,13532
180,1,4092,-1513,-2407,-1532,1508,13568
181,1,4227,-2222,-1796,-1653,1596,13652
182,1,4259,-2343,-1006,-1686,1603,13797
183,1,4213,-1775,-268,-1630,1526,13976
184,1,4085,-884,297,-1546,1419,14115
185,1,3814,-235,1076,-1508,1363,14220
186,1,4002,331,1110,-1507,1343,14270
187,1,4356,719,1193,-1584,1399,14225
188,1,4681,781,871,-1783,1579,14205
189,1,4602,694,523,-2031,1799,14172
190,1,4300,86,727,-2218,1962,14164
191,1,3941,-509,875,-2298,2037,14204
192,1,3440,-1151,937,-2299,2041,14236
193,1,2981,-1673,963,-2215,1971,14280
194,1,2370,-1007,765,-2087,1865,14365
195,1,1866,-288,637,-2050,1832,14389
196,1,1534,-145,623,-2157,1925,14360
197,1,1431,-446,685,-2305,2060,14330
198,1,1765,-943,680,-2432,2175,14279
199,1,2343,-1386,873,-2485,2224,14235
200,1,2845,-1356,821,-2451,2194,14199
201,1,3396,-1014,762,-2353,2110,14196
202,1,3985,-468,721,-2261,2034,14212
203,1,4253,-375,1092,-2246,2033,14216
204,1,3974,-259,890,-2252,2039,14182
205,1,3500,15,900,-2276,2068,14134
206,1,3223,329,1195,-2288,2092,14095
207,1,3090,850,1509,-2359,2190,14057
208,1,3115,926,1203,-2505,2353,13881
209,1,3123,555,883,-2641,2507,13683
210,1,3319,-145,654,-2735,2626,13510
211,1,3691,-1169,446,-2782,2703,13351
212,1,3829,-2036,98,-2736,2692,13241
213,1,3757,-2225,-525,-2609,2603,13239
214,1,3433,-1402,-1303,-2488,2508,13277
215,1,3033,-1186,-1671,-2499,2523,13285
216,1,3052,-1143,-1928,-2624,2631,13280
217,1,3138,-1430,-1736,-2775,2757,13283
218,1,3271,-2018,-1316,-2898,2852,13317
219,1,3443,-2181,-752,-2938,2865,13403
220,1,3510,-1921,-327,-2902,2803,13531
221,1,3537,-992,233,-2819,2695,13663
222,1,3363,-303,688,-2783,2629,13749
223,1,3134,-31,1168,-2812,2631,13764
224,1,2925,170,985,-2832,2630,13765
225,1,2804,310,884,-2879,2664,13760
226,1,3188,198,915,-2953,2726,13754
227,1,3695,372,869,-3097,2853,13768
228,1,3777,499,520,-3307,3024,13705
229,1,3477,422,418,-3523,3198,13638
230,1,3353,-320,758,-3730,3372,13585
231,1,3332,-1383,1216,-3867,3492,13572
232,1,3128,-2277,1514,-3857,3485,13611
233,1,2283,-2150,1307,-3687,3336,13691
234,1,1473,-1562,1083,-3503,3176,13773
235,1,1165,-887,1229,-3442,3123,13818
236,1,884,-29,1104,-3509,3179,13802
237,1,599,-117,980,-3698,3345,13740
238,1,657,-873,1044,-3882,3511,13669
239,1,1168,-1758,1053,-3977,3597,13596
240,1,1814,-2191,1092,-3936,3568,13581
241,1,2462,-1941,971,-3768,3432,13635
242,1,3109,-965,661,-3579,3278,13730
243,1,3374,-215,801,-3479,3198,13772
244,1,3250,206,784,-3482,3211,13780
245,1,2689,549,931,-3505,3248,13754
246,1,2335,1085,1250,-3536,3302,13718
247,1,2260,1451,1201,-3649,3449,13637
248,1,2261,1282,929,-3807,3632,13453
249,1,2329,723,631,-3923,3778,13238
250,1,2642,-24,172,-3981,3868,13084
251,1,2776,-1181,-211,-3941,3863,12933
252,1,2571,-1941,-621,-3801,3767,12924
253,1,2432,-1502,-1222,-3637,3646,13020
