,0,1,2,3,4,5,6
0,31,-3737,-1208,-6413,1356,-4791,1491
1,31,-3696,-1179,-6398,1360,-4848,1455
2,31,-3672,-1155,-6391,1370,-4900,1451
3,31,-3619,-1178,-6394,1380,-4951,1455
4,31,-3563,-1181,-6364,1389,-5003,1463
5,31,-3556,-1179,-6292,1397,-5060,1454
6,31,-3465,-1179,-6211,1411,-5117,1443
7,31,-3433,-1088,-6128,1431,-5176,1433
8,31,-3392,-1018,-6043,1438,-5232,1417
9,31,-3359,-968,-6020,1446,-5282,1420
10,31,-3804,-225,-5188,1408,-5316,1412
11,31,-4829,681,-2824,1145,-5167,1386
12,31,-6068,1301,-1839,771,-4800,1276
13,31,-6381,1021,-1632,537,-4378,933
14,31,-5523,799,-2082,523,-4010,657
15,31,-3801,868,-3335,607,-3674,473
16,31,-1355,751,-4881,707,-3424,432
17,31,886,710,-6208,787,-3364,557
18,31,2338,536,-6266,807,-3538,652
19,31,2213,-89,-4635,809,-3999,777
20,31,1304,-839,-1923,842,-4476,766
21,31,456,-1085,974,873,-4739,735
22,31,-292,-1360,2716,894,-4690,665
23,31,-1144,-1548,3405,907,-4434,522
24,31,-1653,-1001,2400,939,-4081,400
25,31,784,-296,-2739,978,-3401,224
26,31,2602,-168,-4182,1046,-3285,337
27,31,3767,-281,-4824,1073,-3363,471
28,31,3736,-230,-4427,1109,-3681,611
29,31,2579,-643,-2238,1126,-4181,668
30,31,1133,-1117,16,1127,-4571,646
31,31,469,-2014,2127,1102,-4704,512
32,31,-398,-1910,3285,1150,-4599,459
33,31,-1389,-1786,3332,1205,-4330,373
34,31,-1578,-1049,2075,1227,-3979,280
35,31,-681,-579,-81,1216,-3611,183
36,31,1068,-319,-2555,1251,-3305,132
37,31,2849,-92,-4308,1312,-3177,221
38,31,3860,-121,-5039,1350,-3262,386
39,31,4031,-300,-4428,1354,-3598,477
40,31,2900,-700,-2455,1364,-4058,487
41,31,1682,-1186,110,1401,-4420,480
42,31,881,-1444,2261,1391,-4542,429
43,31,34,-1542,3233,1433,-4434,394
44,31,-786,-1150,3297,1446,-4167,331
45,31,-1028,-709,2226,1422,-3798,267
46,31,-208,-415,5,1395,-3412,176
47,31,1289,-218,-2512,1426,-3102,87
48,31,3185,82,-4746,1471,-2984,128
49,31,4135,-46,-5189,1504,-3088,296
50,31,3992,-93,-4658,1517,-3475,391
51,31,2619,-435,-2314,1537,-3980,418
52,31,1224,-667,346,1547,-4340,452
53,31,474,-1260,2466,1480,-4415,330
54,31,-519,-1366,3676,1465,-4247,328
55,31,-994,-1123,3499,1457,-3916,250
56,31,-840,-457,1668,1480,-3556,138
57,31,413,164,-1063,1507,-3251,-37
58,31,2071,236,-3454,1560,-3075,-164
59,31,3095,402,-4111,1630,-3038,-126
60,31,3401,458,-4914,1680,-3152,21
61,31,2653,317,-4384,1649,-3625,91
62,31,646,-163,-1603,1659,-4268,153
63,31,-1108,-1119,1329,1583,-4668,41
64,31,-2079,-2307,3000,1582,-4621,-5
65,31,-2705,-1873,3298,1632,-4310,-31
66,31,-2573,-745,2157,1676,-3895,-141
67,31,-1590,23,339,1719,-3504,-282
68,31,-97,316,-1665,1756,-3204,-315
69,31,1798,87,-3000,1722,-3038,-277
70,31,3472,-748,-3752,1624,-2991,-338
71,31,4514,-1903,-3483,1540,-3050,-433
72,31,5293,-2819,-2538,1518,-3090,-549
73,31,5710,-3023,-2179,1537,-3081,-637
74,31,5959,-2860,-2246,1555,-3057,-721
75,31,6233,-2810,-2265,1569,-3011,-777
76,31,6395,-2952,-2183,1576,-2934,-813
77,31,6618,-2884,-2401,1586,-2849,-819
78,31,6584,-3083,-2238,1562,-2794,-861
79,31,6928,-3266,-2508,1574,-2694,-921
80,31,6891,-2286,-2818,1655,-2612,-792
81,31,6427,-1809,-4173,1648,-2645,-637
82,31,5101,-1362,-4791,1564,-2937,-533
83,31,3533,-1738,-3284,1447,-3382,-479
84,31,1517,-2634,-37,1384,-3695,-448
85,31,253,-3747,2197,1381,-3688,-499
86,31,-780,-3239,2867,1462,-3446,-561
87,31,-1350,-1912,1319,1560,-3085,-616
88,31,-703,-1047,-581,1617,-2711,-640
89,31,729,-347,-2884,1680,-2405,-639
90,31,2500,-41,-4416,1708,-2284,-575
91,31,3312,26,-5215,1681,-2439,-448
92,31,2550,29,-4627,1657,-2902,-338
93,31,662,-137,-2990,1685,-3511,-271
94,31,-1156,-242,-619,1779,-4025,-213
95,31,-2486,-194,1752,1775,-4200,-221
96,31,-3440,-191,2662,1761,-3997,-211
97,31,-4261,106,2823,1746,-3627,-319
98,31,-4383,824,1616,1767,-3233,-415
99,31,-3508,1211,-626,1766,-2845,-528
100,31,-1589,1267,-3485,1807,-2522,-617
101,31,386,1286,-5283,1846,-2393,-475
102,31,1376,669,-5060,1800,-3059,-234
103,31,-198,-131,-2433,1821,-3669,-142
104,31,-1518,-17,470,1956,-4114,-52
105,31,-2370,-314,2560,1939,-4156,-157
106,31,-3464,-671,3389,1934,-3918,-278
107,31,-3945,-334,2553,1995,-3573,-406
108,31,-3567,291,498,2067,-3217,-467
109,31,-2275,686,-1937,2090,-2854,-483
110,31,120,668,-4157,2123,-2578,-547
111,31,1967,845,-5304,2163,-2495,-444
112,31,2945,885,-5684,2180,-2677,-289
113,31,2329,620,-4489,2161,-3125,-208
114,31,718,174,-2592,2136,-3683,-160
115,31,-856,-432,-982,2159,-4177,-110
116,31,-1912,-218,-395,2253,-4536,-34
117,31,-2405,-158,-619,2327,-4773,-32
118,31,-2783,45,-1387,2403,-4918,9
119,31,-3024,200,-2159,2456,-4990,95
120,31,-3112,323,-2868,2491,-5022,192
121,31,-3149,392,-3494,2499,-5049,238
122,31,-3196,367,-4031,2492,-5086,249
123,31,-3190,354,-4411,2497,-5136,263
124,31,-3180,357,-4672,2511,-5195,281
