,0,1,2,3,4,5,6
0,0,-6021,1187,-4265,-25698,-8775,-2031
1,0,-5057,5573,-6463,-24911,-9195,-2300
2,0,-5940,8275,-6772,-24712,-10032,-2581
3,0,-6485,10009,-3747,-25450,-11001,-2482
4,0,-7163,5588,-2208,-27988,-11030,-1736
5,0,-5762,2912,-3240,-28924,-10613,-1230
6,0,-2240,1388,-4994,-29438,-10396,-1172
7,0,1341,331,-5022,-29293,-10421,-1085
8,0,3952,-175,-3977,-28776,-10593,-1316
9,0,4293,419,-2045,-27857,-10855,-1877
10,0,2829,1413,-598,-26678,-11104,-2725
11,0,282,2569,-376,-25193,-11234,-3525
12,0,-1386,3449,-756,-23916,-11241,-4141
13,0,-986,3557,-1112,-23206,-11267,-4049
14,0,-367,3457,-1581,-23144,-11305,-3902
15,0,169,2887,-1663,-23198,-11357,-3790
16,0,224,2456,-1531,-23143,-11437,-3567
17,0,64,1978,-1296,-23345,-11525,-3312
18,0,237,1157,-1217,-23851,-11562,-3186
19,0,670,712,-1141,-24104,-11553,-3132
20,0,973,839,-1249,-24148,-11538,-3188
21,0,1039,1013,-1243,-24093,-11547,-3288
22,0,1075,1246,-1250,-23992,-11564,-3357
23,0,1079,1360,-1240,-23910,-11585,-3416
24,0,1148,1417,-1219,-23837,-11614,-3428
25,0,1160,1320,-1170,-23828,-11640,-3445
26,0,1153,1207,-1129,-23829,-11660,-3467
27,0,1123,1076,-1080,-23850,-11669,-3472
28,0,1131,970,-1118,-23859,-11668,-3448
29,0,1144,906,-1207,-23856,-11666,-3430
30,0,1172,880,-1251,-23841,-11671,-3453
31,0,1167,891,-1285,-23812,-11678,-3477
32,0,1151,888,-1315,-23792,-11688,-3478
33,0,1158,842,-1331,-23783,-11701,-3463
34,0,1167,799,-1315,-23768,-11717,-3467
35,0,1164,763,-1280,-23759,-11729,-3469
36,0,1167,736,-1267,-23754,-11737,-3465
37,0,1161,725,-1279,-23748,-11744,-3450
38,0,1160,718,-1297,-23746,-11751,-3446
39,0,1168,708,-1309,-23741,-11760,-3441
40,0,1174,693,-1319,-23740,-11769,-3437
41,0,1175,676,-1326,-23735,-11779,-3437
42,0,1173,665,-1322,-23721,-11790,-3444
43,1,6779,283,-535,-28406,-9873,571
44,1,4692,-104,571,-28213,-10248,-63
45,1,5691,368,1444,-27858,-10375,-153
46,1,6679,55,1746,-27954,-10278,45
47,1,7520,-106,2061,-27930,-10179,258
48,1,7990,-31,2221,-27778,-10075,579
49,1,8524,334,2202,-27465,-9997,1083
50,1,8789,1332,1353,-26994,-9982,1749
51,1,9245,2136,93,-26672,-9990,2271
52,1,9808,2745,-819,-26403,-10030,2562
53,1,9845,3432,-1700,-26232,-10055,2408
54,1,9587,5013,-2756,-25852,-10088,2273
55,1,9467,5314,-3250,-25661,-10048,2164
56,1,8548,5527,-4051,-25446,-10049,2059
57,1,7306,6014,-4790,-25245,-10125,2144
58,1,6479,5500,-5318,-25205,-10158,2263
59,1,5860,5157,-5786,-25167,-10192,2351
60,1,5451,5152,-6024,-25178,-10213,2456
61,1,5343,6578,-6236,-25442,-10155,2576
62,1,5960,6376,-5070,-26523,-9890,2477
63,1,7425,5280,-3372,-27607,-9494,2430
64,1,8892,3624,-1808,-28230,-9216,2239
65,1,9145,2114,-771,-28486,-9138,1821
66,1,6854,924,-523,-28459,-9424,1277
67,1,6942,329,265,-28319,-9558,1104
68,1,7175,-496,987,-28398,-9496,1063
69,1,7466,-1138,2065,-28412,-9440,1025
70,1,7570,-1612,2571,-28472,-9346,967
71,1,7712,-1984,2569,-28518,-9251,919
72,1,7694,-2124,2392,-28543,-9161,920
73,1,7601,-2274,2282,-28485,-9042,1106
74,1,7497,-1967,1998,-28074,-8902,1697
75,1,7921,-715,1219,-27668,-8858,2334
76,1,8251,457,169,-27379,-8885,2748
77,1,8345,1413,-1002,-27131,-8924,2920
78,1,7877,2603,-2393,-26804,-8977,3009
79,1,7290,3804,-3813,-26449,-9052,3077
80,1,6963,4795,-4503,-26136,-9135,3132
81,1,6709,5173,-5108,-26023,-9154,3118
82,1,6089,5158,-5534,-25995,-9179,3202
83,1,5430,4558,-6167,-26018,-9204,3262
84,1,4958,4302,-6374,-26003,-9232,3347
85,1,4692,4106,-6594,-26022,-9225,3456
86,1,4454,4075,-6736,-26035,-9228,3566
87,1,4448,4842,-6810,-26173,-9174,3659
88,1,5267,6077,-6250,-26726,-8990,3785
89,1,6336,5678,-4929,-27668,-8644,3819
90,1,7878,4198,-3555,-28516,-8281,3650
91,1,8502,2566,-2545,-28883,-8183,3235
92,1,7147,1386,-1591,-28987,-8357,2702
93,1,6995,696,-782,-28800,-8565,2511
94,1,7307,-116,-380,-28892,-8494,2472
95,1,7740,-726,505,-28925,-8429,2511
96,1,7859,-1211,1296,-29010,-8337,2501
97,1,7712,-1648,1587,-29051,-8192,2591
98,1,7524,-1852,1464,-28981,-8029,2870
99,1,7844,-1571,934,-28765,-7926,3332
100,1,8461,-660,300,-28417,-7928,3762
101,1,8748,657,-662,-27987,-7985,4103
102,1,8502,2015,-1978,-27549,-8075,4308
103,1,7821,3040,-3090,-27178,-8168,4373
104,1,6969,4032,-4101,-26915,-8235,4419
105,1,6331,4222,-4988,-26830,-8265,4448
106,1,5852,3958,-5638,-26819,-8272,4504
107,1,5355,4015,-6113,-26832,-8273,4616
108,1,5559,4984,-6218,-26976,-8232,4769
109,1,5505,6288,-6284,-27513,-8024,4919
110,1,6199,5810,-5311,-28462,-7623,4745
111,1,7717,4101,-4302,-29266,-7295,4254
112,1,7136,2045,-4088,-29511,-7313,3732
113,1,5806,588,-2543,-29541,-7739,3249
114,1,6408,-554,-1347,-29477,-7733,3271
115,1,6944,-1586,-439,-29522,-7673,3221
116,1,7181,-1979,521,-29558,-7590,3210
117,1,7354,-2544,932,-29649,-7476,3182
118,1,7427,-2977,1014,-29671,-7368,3217
119,1,7296,-3167,1062,-29640,-7248,3365
120,1,7414,-2860,1143,-29511,-7128,3673
121,1,7712,-1976,878,-29298,-7048,4091
122,1,8127,-848,122,-29052,-7021,4503
123,1,8316,269,-867,-28821,-7037,4797
124,1,8162,1383,-1895,-28574,-7097,4990
125,1,7896,2392,-2812,-28333,-7149,5129
126,1,6840,3348,-4470,-27917,-7271,5244
127,1,6113,3534,-5141,-27798,-7324,5281
128,1,5575,3485,-5686,-27727,-7346,5354
129,1,4992,3337,-6165,-27709,-7354,5457
130,1,4459,2991,-6534,-27713,-7363,5543
131,1,4104,2711,-6786,-27699,-7379,5619
132,1,3882,2637,-6954,-27667,-7397,5702
133,1,3760,2571,-7111,-27650,-7408,5784
134,1,3613,2406,-7234,-27642,-7421,5859
135,1,3462,2279,-7304,-27623,-7435,5932
136,1,3376,2610,-7272,-27634,-7420,6003
137,1,3308,3240,-7226,-27798,-7336,6023
