,0,1,2,3,4,5,6
0,0,-6045,1629,-3833,-1730,-415,-5098
1,0,-7139,583,-1964,-1788,-829,-4932
2,0,-6769,-555,-787,-1751,-834,-4758
3,0,-7211,-1243,-27,-1658,-586,-4721
4,0,-8895,-2041,20,-1444,-128,-4786
5,0,-9734,-2209,-686,-1144,490,-4727
6,0,-8212,-1605,-2171,-862,1122,-4679
7,0,-5728,-23,-4659,-642,1634,-4677
8,0,-2544,1630,-7072,-444,1964,-4794
9,0,673,3072,-9018,-423,2009,-4686
10,0,1984,3337,-9140,-579,1728,-4610
11,0,1689,2746,-8308,-886,1157,-4626
12,0,-74,2080,-6369,-1228,469,-4743
13,0,-1551,552,-4979,-1561,-62,-4909
14,0,-2739,-567,-3540,-1864,-497,-4836
15,0,-3753,-2350,-1483,-1985,-698,-4781
16,0,-3948,-3014,-546,-1878,-549,-4776
17,0,-4316,-2962,-26,-1643,-233,-4867
18,0,-5226,-3073,332,-1341,182,-4895
19,0,-4827,-2399,-651,-1073,697,-4765
20,0,-3210,-1250,-2334,-842,1193,-4729
21,0,-1012,113,-4393,-651,1560,-4806
22,0,1570,1742,-6273,-548,1749,-4838
23,0,3559,2575,-7101,-567,1753,-4776
24,0,4338,2753,-7257,-694,1562,-4746
25,0,3679,2338,-6675,-947,1140,-4786
26,0,2059,1407,-5623,-1278,577,-4917
27,0,5,294,-4420,-1637,-7,-4981
28,0,-1715,-1071,-2724,-1937,-475,-4975
29,0,-2790,-2627,-1072,-2049,-663,-4958
30,0,-3569,-3453,-224,-1924,-511,-4973
31,0,-4327,-3493,276,-1662,-163,-5038
32,0,-4700,-3148,473,-1358,285,-5029
33,0,-4279,-2427,-560,-1094,788,-4931
34,0,-2824,-1172,-2782,-884,1248,-4874
35,0,-611,83,-4601,-699,1567,-4957
36,0,2304,1617,-6052,-585,1743,-4941
37,0,4179,2625,-6828,-572,1790,-4885
38,0,4618,2822,-7083,-664,1657,-4865
39,0,4264,2541,-6623,-851,1336,-4885
40,0,3213,1790,-5310,-1115,881,-4962
41,0,1574,840,-4431,-1445,356,-5029
42,0,-590,-452,-2888,-1758,-185,-5035
43,0,-1860,-1818,-999,-1897,-470,-4990
44,0,-2446,-2698,493,-1867,-451,-5003
45,0,-3423,-3143,1104,-1680,-187,-5120
46,0,-4425,-3120,1014,-1359,268,-5187
47,0,-4607,-2400,-358,-1031,821,-5082
48,0,-3336,-970,-2680,-793,1332,-4962
49,0,-527,479,-4467,-604,1670,-5095
50,0,2407,1916,-6161,-567,1811,-5085
51,0,3823,2547,-7180,-617,1781,-5084
52,0,3972,2507,-7184,-786,1518,-5078
53,0,3086,1769,-6276,-1077,1042,-5107
54,0,1519,671,-4916,-1397,497,-5189
55,0,-233,-277,-3941,-1672,9,-5148
56,0,-1611,-1065,-2136,-1856,-372,-5053
57,0,-2568,-2353,-100,-1919,-539,-5021
58,0,-3207,-2700,760,-1808,-377,-5039
59,0,-3924,-2644,1018,-1582,-21,-5128
60,0,-4554,-2689,861,-1308,435,-5142
61,0,-4237,-2103,-410,-1055,959,-5046
62,0,-2765,-669,-2762,-839,1455,-4982
63,0,-309,757,-5068,-635,1807,-5094
64,0,2474,2374,-7009,-555,1947,-5052
65,0,3742,3156,-7775,-625,1830,-5005
66,0,3456,2870,-7456,-854,1436,-5033
67,0,2021,2053,-6278,-1179,855,-5123
68,0,132,409,-4919,-1524,251,-5307
69,0,-1558,-838,-3360,-1851,-287,-5273
70,0,-2518,-1818,-1759,-2008,-600,-5161
71,0,-2929,-2573,-415,-1978,-605,-5101
72,0,-3387,-2868,224,-1824,-372,-5132
73,0,-4161,-2868,684,-1602,-11,-5173
74,0,-4458,-2871,516,-1370,423,-5156
75,0,-3722,-2095,-932,-1135,901,-5102
76,0,-2106,-882,-2718,-932,1323,-5061
77,0,432,798,-4617,-747,1629,-5122
78,0,2955,2019,-6030,-682,1774,-5055
79,0,4074,2508,-6750,-722,1721,-5025
80,0,3984,2426,-6652,-903,1408,-5010
81,0,2818,1834,-6045,-1170,875,-5074
82,0,606,1119,-4907,-1494,198,-5143
83,0,-1831,457,-3630,-1787,-429,-5175
84,0,-3335,-508,-2410,-1962,-801,-5102
85,0,-3294,-226,-2212,-2017,-937,-4917
86,0,-3013,472,-2931,-2020,-1011,-4706
87,0,-3645,857,-3475,-1981,-1123,-4414
88,0,-4898,1187,-4069,-1919,-1262,-3961
89,0,-5333,1841,-3813,-1925,-1472,-3703
90,0,-5336,874,-3968,-2042,-1574,-4169
91,0,-5380,1173,-4697,-2087,-1592,-4183
92,0,-5204,1680,-5322,-2083,-1607,-4237
93,0,-5191,1936,-5533,-2102,-1668,-4246
94,0,-5163,2002,-5557,-2136,-1742,-4204
95,0,-5038,2112,-5633,-2170,-1800,-4175
96,0,-4987,2138,-5660,-2207,-1855,-4232
97,0,-4924,2177,-5708,-2239,-1910,-4260
98,0,-4860,2255,-5761,-2270,-1963,-4273
99,0,-4799,2314,-5764,-2302,-2023,-4288
100,0,-4763,2366,-5757,-2333,-2083,-4298
101,0,-4704,2384,-5739,-2362,-2142,-4307
102,0,-4672,2425,-5708,-2388,-2200,-4314
103,0,-4611,2445,-5690,-2415,-2257,-4316
104,0,-4571,2468,-5691,-2441,-2312,-4315
105,0,-4514,2461,-5679,-2468,-2368,-4319
106,0,-4470,2481,-5675,-2492,-2424,-4321
107,0,-4424,2505,-5672,-2516,-2480,-4320
108,0,-4393,2501,-5628,-2542,-2537,-4326
109,0,-4350,2495,-5627,-2566,-2591,-4329
110,0,-4301,2498,-5624,-2589,-2647,-4334
111,0,-4263,2506,-5621,-2613,-2702,-4334
112,0,-4211,2488,-5624,-2639,-2757,-4335
113,0,-4166,2458,-5611,-2666,-2813,-4336
114,0,-4120,2446,-5603,-2690,-2867,-4337
115,0,-4074,2442,-5593,-2713,-2921,-4340
116,0,-4037,2448,-5591,-2735,-2975,-4342
117,1,-2812,-2992,-358,-3831,-4068,-5503
118,1,-3285,-2696,-658,-3364,-3533,-5438
119,1,-1824,-1359,-2031,-2957,-2980,-5308
120,1,668,124,-3722,-2720,-2581,-5259
121,1,3634,1982,-5417,-2562,-2284,-5271
122,1,5904,3373,-7039,-2541,-2219,-5164
123,1,6409,3534,-7254,-2724,-2496,-5138
124,1,5268,2931,-6693,-3112,-3063,-5200
125,1,2829,1476,-5295,-3642,-3812,-5291
126,1,655,-132,-3799,-4087,-4473,-5256
127,1,-1050,-1885,-1033,-4277,-4835,-5239
128,1,-1472,-3241,227,-4128,-4678,-5267
129,1,-1933,-3474,492,-3834,-4272,-5389
130,1,-2823,-3550,468,-3433,-3784,-5487
131,1,-2729,-2975,-415,-3036,-3255,-5395
132,1,-1006,-1447,-2372,-2724,-2764,-5267
133,1,1688,103,-4357,-2542,-2424,-5306
134,1,4579,1788,-6024,-2438,-2239,-5300
135,1,6396,2620,-6896,-2473,-2282,-5232
136,1,5362,1658,-5772,-3058,-3150,-5289
137,1,3398,400,-4353,-3449,-3745,-5305
138,1,1730,-211,-2584,-3690,-4246,-5094
139,1,346,-1358,-109,-3801,-4505,-5069
140,1,-693,-2300,1368,-3716,-4414,-5115
141,1,-1370,-2316,1803,-3489,-4071,-5190
142,1,-2284,-2412,1548,-3148,-3563,-5241
143,1,-2067,-1762,290,-2764,-2971,-5152
144,1,-343,-585,-1617,-2489,-2476,-5073
145,1,1843,792,-3717,-2316,-2138,-5155
146,1,4501,2577,-5654,-2198,-1960,-5130
147,1,6550,3613,-6718,-2187,-1957,-5062
148,1,6945,3672,-6723,-2346,-2219,-5028
149,1,6019,2823,-5754,-2673,-2723,-5101
150,1,3990,1615,-4664,-3117,-3339,-5245
151,1,2039,219,-3714,-3478,-3856,-5287
152,1,591,-1045,-1845,-3697,-4223,-5238
153,1,-390,-2730,31,-3703,-4273,-5233
154,1,-992,-3062,785,-3531,-4040,-5240
155,1,-1754,-3006,1077,-3284,-3658,-5329
156,1,-2284,-2766,701,-2958,-3169,-5330
157,1,-1594,-2054,-745,-2634,-2639,-5274
158,1,109,-648,-2720,-2387,-2200,-5251
159,1,2659,919,-4573,-2220,-1908,-5339
160,1,5573,2398,-6096,-2131,-1776,-5337
161,1,6883,2906,-6729,-2213,-1890,-5316
162,1,6611,2500,-6408,-2463,-2276,-5317
163,1,5025,1871,-5813,-2831,-2855,-5390
164,1,2717,508,-4376,-3240,-3494,-5508
165,1,688,-464,-3116,-3550,-3997,-5483
166,1,-640,-1580,-1791,-3676,-4243,-5445
167,1,-1449,-2563,-575,-3636,-4218,-5417
168,1,-2120,-3053,42,-3462,-3973,-5446
169,1,-2841,-2846,143,-3169,-3548,-5470
170,1,-2715,-2726,114,-2852,-3049,-5442
171,1,-1866,-1982,-954,-2564,-2562,-5367
172,1,-165,-620,-2689,-2345,-2136,-5309
173,1,2153,549,-4329,-2191,-1815,-5409
174,1,4895,1827,-5853,-2081,-1627,-5412
175,1,6751,2688,-6708,-2064,-1608,-5364
176,1,7176,2811,-6785,-2220,-1847,-5355
177,1,6193,2456,-6440,-2551,-2348,-5417
178,1,4067,1543,-5514,-2998,-3000,-5514
179,1,1632,-42,-4034,-3426,-3620,-5564
180,1,-371,-1532,-2338,-3628,-3983,-5485
181,1,-1088,-2342,-1147,-3616,-4014,-5441
182,1,-1521,-2786,-384,-3470,-3822,-5446
183,1,-2305,-2950,140,-3235,-3469,-5493
184,1,-2548,-2884,313,-2946,-3018,-5506
185,1,-2179,-2444,-642,-2647,-2529,-5450
186,1,-655,-1205,-2339,-2392,-2082,-5371
187,1,1509,-110,-3974,-2192,-1736,-5381
188,1,4262,1364,-5223,-2040,-1515,-5343
189,1,6509,2493,-6046,-1989,-1429,-5300
190,1,7296,2930,-6426,-2046,-1506,-5327
191,1,6950,2802,-6273,-2226,-1795,-5367
192,1,5681,2137,-5650,-2533,-2283,-5452
193,1,3237,1064,-4825,-2924,-2919,-5560
194,1,654,-617,-3164,-3277,-3520,-5663
195,1,-890,-2292,-1122,-3409,-3798,-5638
196,1,-1223,-2875,-56,-3299,-3686,-5588
197,1,-1818,-3052,406,-3119,-3410,-5625
198,1,-2533,-3137,431,-2876,-3013,-5641
199,1,-2526,-2760,-279,-2589,-2528,-5558
200,1,-1432,-1911,-1575,-2315,-2032,-5452
201,1,537,-812,-3204,-2110,-1634,-5409
202,1,3067,715,-4873,-1927,-1336,-5392
203,1,5562,2273,-6241,-1833,-1204,-5289
204,1,6728,2882,-6699,-1886,-1292,-5291
205,1,6640,2755,-6559,-2059,-1598,-5384
206,1,5473,1960,-5721,-2350,-2080,-5550
207,1,3658,1058,-4718,-2685,-2621,-5670
208,1,1464,-151,-3355,-3014,-3145,-5723
209,1,-164,-1422,-1916,-3218,-3486,-5708
210,1,-827,-2439,-572,-3249,-3566,-5674
211,1,-1402,-2949,21,-3116,-3396,-5693
212,1,-2122,-2899,357,-2907,-3093,-5731
213,1,-2942,-3186,571,-2639,-2684,-5794
214,1,-3012,-2761,-454,-2319,-2180,-5693
215,1,-1791,-1310,-2448,-2030,-1669,-5547
216,1,755,172,-4499,-1829,-1291,-5538
217,1,3889,2029,-6045,-1684,-1066,-5569
218,1,5702,3084,-6863,-1669,-1069,-5485
219,1,6074,3193,-6874,-1791,-1306,-5487
220,1,5211,2694,-6146,-2032,-1751,-5578
221,1,3474,1653,-4895,-2384,-2323,-5765
222,1,1306,140,-3417,-2748,-2895,-5863
223,1,-517,-854,-2027,-3013,-3331,-5868
224,1,-960,-1853,-769,-3149,-3536,-5842
225,1,-1144,-1695,-847,-3100,-3469,-5773
226,1,-652,-236,-2189,-3039,-3374,-5707
227,1,-772,543,-2864,-3060,-3438,-5599
228,1,-1188,1100,-3226,-3048,-3538,-5421
229,1,-2194,1612,-3435,-2989,-3732,-5145
230,1,-3446,1836,-3213,-2930,-3994,-4932
231,1,-3570,792,-2164,-3043,-4184,-4861
232,1,-3505,1686,-2837,-3074,-4179,-5044
233,1,-3397,1952,-3492,-3140,-4200,-5263
234,1,-3305,2253,-4102,-3138,-4227,-5218
235,1,-3200,2344,-4551,-3114,-4264,-5052
236,1,-3137,2549,-4754,-3135,-4327,-4950
237,1,-3105,2568,-4751,-3221,-4397,-5016
238,1,-3028,2532,-4731,-3296,-4453,-5063
239,1,-2903,2636,-4734,-3384,-4544,-5089
240,1,-2834,2686,-4761,-3412,-4581,-5095
241,1,-2771,2777,-4795,-3429,-4621,-5087
242,1,-2726,2855,-4775,-3449,-4668,-5083
243,1,-2689,2909,-4737,-3473,-4716,-5078
244,1,-2664,2934,-4688,-3502,-4767,-5072
245,1,-2636,2933,-4660,-3534,-4814,-5070
246,1,-2579,2917,-4640,-3568,-4865,-5071
247,1,-2532,2881,-4620,-3600,-4912,-5075
248,1,-2494,2854,-4627,-3622,-4959,-5072
249,1,-2478,2854,-4605,-3642,-5004,-5078
250,1,-2454,2869,-4601,-3665,-5051,-5074
251,1,-2412,2844,-4590,-3691,-5096,-5077
252,1,-2385,2823,-4582,-3718,-5141,-5080
253,1,-2345,2778,-4586,-3746,-5185,-5081
254,1,-2311,2759,-4589,-3772,-5229,-5080
255,1,-2290,2717,-4570,-3799,-5274,-5076
256,1,-2263,2707,-4564,-3824,-5317,-5074
257,2,878,-2743,328,-4271,-5611,-5970
258,2,843,-2252,-192,-3798,-5053,-5882
259,2,2133,-733,-2088,-3393,-4517,-5704
260,2,4687,615,-4064,-3178,-4145,-5735
261,2,7195,2236,-5637,-3036,-3946,-5748
262,2,8710,3290,-6449,-2991,-3951,-5635
263,2,9346,3511,-6469,-3073,-4108,-5586
264,2,8984,3089,-5863,-3272,-4428,-5622
265,2,7621,2170,-4600,-3637,-4916,-5753
266,2,5601,889,-3221,-4097,-5473,-5896
267,2,3527,-178,-2180,-4460,-5973,-5879
268,2,1629,-1515,-296,-4646,-6255,-5858
269,2,908,-2951,948,-4597,-6222,-5858
270,2,208,-3307,1493,-4367,-5957,-5906
271,2,-723,-3179,1637,-3996,-5511,-5971
272,2,-948,-2741,1298,-3573,-4982,-5908
273,2,16,-1670,-151,-3217,-4480,-5756
274,2,1779,-396,-2114,-2989,-4074,-5710
275,2,4265,898,-3935,-2825,-3784,-5772
276,2,6962,2418,-5355,-2703,-3627,-5742
277,2,8406,3182,-6127,-2717,-3680,-5685
278,2,8467,3132,-5953,-2886,-3961,-5681
279,2,7476,2401,-4836,-3181,-4413,-5745
280,2,5654,1164,-3484,-3583,-4937,-5920
281,2,3771,-341,-2133,-3931,-5392,-5994
282,2,2339,-1740,-454,-4115,-5678,-5992
283,2,1521,-2918,882,-4087,-5682,-5986
284,2,1020,-3069,1468,-3895,-5455,-5976
285,2,358,-3070,1639,-3632,-5096,-6004
286,2,135,-2862,1387,-3327,-4670,-5965
287,2,655,-2276,408,-3021,-4215,-5882
288,2,1979,-942,-1216,-2750,-3781,-5787
289,2,3883,351,-3088,-2560,-3430,-5795
290,2,6318,1671,-4508,-2409,-3196,-5803
291,2,8311,2780,-5498,-2333,-3089,-5756
292,2,9225,3095,-6035,-2373,-3142,-5740
293,2,9080,2997,-6009,-2503,-3359,-5763
294,2,8184,2420,-5413,-2746,-3738,-5848
295,2,6420,1592,-4563,-3090,-4233,-5994
296,2,3809,474,-3331,-3514,-4798,-6146
297,2,1449,-895,-2125,-3901,-5325,-6151
298,2,-59,-2064,-1121,-4080,-5593,-6139
299,2,-95,-2169,-880,-4066,-5616,-6081
300,2,-810,-2572,-367,-3985,-5528,-6123
301,2,-1853,-3083,-34,-3762,-5264,-6178
302,2,-2382,-2878,156,-3412,-4835,-6088
303,2,-2625,-2784,320,-3057,-4327,-5981
304,2,-1714,-2108,-650,-2724,-3792,-5817
305,2,16,-783,-2388,-2490,-3334,-5772
306,2,2180,539,-4418,-2320,-3007,-5836
307,2,4971,2314,-6085,-2163,-2804,-5851
308,2,7252,3592,-6832,-2084,-2770,-5782
309,2,8009,4034,-6854,-2146,-2923,-5771
310,2,7752,3733,-6152,-2345,-3256,-5852
311,2,6682,2786,-4915,-2672,-3709,-6020
312,2,5119,1296,-3674,-3046,-4188,-6186
313,2,3069,320,-3151,-3367,-4668,-6236
314,2,1128,-1049,-1855,-3629,-5082,-6325
315,2,139,-1764,-811,-3708,-5265,-6314
316,2,-192,-1966,-147,-3679,-5250,-6275
317,2,-909,-2321,402,-3576,-5085,-6256
318,2,-2020,-2622,826,-3379,-4759,-6199
319,2,-2660,-2673,825,-3108,-4303,-6115
320,2,-2191,-2191,78,-2812,-3787,-6030
321,2,-891,-1237,-1261,-2527,-3290,-5948
322,2,899,317,-3222,-2291,-2870,-5887
323,2,3573,1907,-5167,-2121,-2567,-5980
