,0,1,2,3,4,5,6
0,0,3582,-3240,-873,-301,-1442,-1752
1,0,2998,-2918,-2423,-30,-1426,-1448
2,0,1860,-979,-3262,422,-1434,-1149
3,0,81,269,-3097,910,-1601,-701
4,0,-2484,1184,-2625,1350,-1954,-420
5,0,-3396,2308,-3312,1500,-2200,-709
6,0,-3717,2709,-3066,1477,-2276,-737
7,0,-4938,3479,-2148,1213,-2283,-871
8,0,-5690,3908,-1334,863,-2076,-943
9,0,-5417,2548,-1148,457,-1855,-1184
10,0,-4313,3478,-594,345,-1587,-1648
11,0,-3216,3535,-2912,394,-1164,-1902
12,0,-1160,2873,-5044,507,-781,-1799
13,0,1584,1714,-5627,669,-502,-1732
14,0,2936,734,-4259,661,-569,-1507
15,0,3764,298,-2744,576,-913,-1516
16,0,4533,136,-1029,400,-1266,-1687
17,0,3623,-2414,234,127,-1524,-1838
18,0,2314,-3273,516,244,-1481,-2026
19,0,1460,-2825,-360,578,-1112,-2159
20,0,1835,-1463,-2353,901,-633,-2063
21,0,3402,42,-4356,1060,-283,-1881
22,0,4699,246,-4847,1024,-243,-1776
23,0,5031,-148,-3813,882,-423,-1766
24,0,4706,-1273,-1941,675,-804,-1699
25,0,4497,-2145,-145,538,-1066,-1753
26,0,4291,-3633,523,484,-1118,-2019
27,0,3677,-4221,783,634,-1061,-2100
28,0,3081,-3119,243,860,-812,-2154
29,0,2312,-2244,-1456,1094,-420,-2238
30,0,2947,-834,-4009,1273,-39,-2168
31,0,5008,-597,-4732,1293,50,-2069
32,0,5381,-935,-3920,1198,-28,-1992
33,0,4802,-1669,-2647,976,-348,-1957
34,0,4222,-2941,-910,786,-729,-2017
35,0,4023,-3145,89,686,-903,-2110
36,0,3251,-4421,131,666,-948,-2226
37,0,2580,-4708,444,846,-880,-2260
38,0,2149,-4139,-23,1120,-573,-2374
39,0,1869,-3187,-1427,1423,-133,-2395
40,0,2859,-1693,-3596,1632,262,-2255
41,0,4751,-342,-5550,1653,397,-2197
42,0,5014,-1117,-4906,1485,256,-2246
43,0,4821,-2424,-3457,1243,-14,-2187
44,0,4839,-2995,-2157,1105,-283,-2101
45,0,4046,-3561,-739,1018,-496,-2063
46,0,3705,-4394,768,1058,-518,-2188
47,0,3490,-3531,863,1263,-316,-2402
48,0,3245,-3512,-224,1460,-44,-2590
49,0,2504,-2819,-1777,1701,275,-2529
50,0,3112,-960,-3946,1859,607,-2345
51,0,4740,-677,-4861,1840,696,-2361
52,0,5212,-1293,-4075,1723,599,-2180
53,0,4940,-2121,-2498,1579,348,-2093
54,0,4817,-2623,-736,1505,69,-2101
55,0,4716,-2946,570,1493,-90,-2210
56,0,4481,-3252,577,1554,-110,-2316
