,0,1,2,3,4,5,6
0,1,6800,-2330,2804,-2846,-10488,9742
1,1,8408,-2668,3155,-2829,-10448,9669
2,1,9364,-2856,3413,-2799,-10464,9525
3,1,9655,-3089,3459,-2791,-10593,9240
4,1,9151,-2714,3335,-2470,-10850,8950
5,1,8035,-1745,3229,-2066,-11188,8556
6,1,6239,-699,3269,-1571,-11570,8064
7,1,3903,-41,2809,-600,-12014,7560
8,1,1105,643,2362,419,-12516,6807
9,1,-123,1355,2205,1566,-12852,6292
10,1,-307,1623,2338,1822,-13008,5849
11,1,-45,1760,2560,2038,-13057,5635
12,1,195,1637,2529,1933,-12996,5693
13,1,18,1403,2357,1572,-12846,6034
14,1,-695,1301,2033,976,-12605,6569
15,1,-1583,1271,1730,278,-12283,7240
16,1,-1990,1431,1663,-379,-11908,7920
17,1,-1781,1782,1893,-985,-11475,8510
18,1,-564,1584,1868,-1609,-11014,8977
19,1,1165,834,1897,-2343,-10618,9302
20,1,3107,-538,1987,-3059,-10303,9392
21,1,5199,-1893,2225,-3321,-10104,9412
22,1,7333,-2824,2613,-3343,-10044,9332
23,1,8660,-2840,3055,-3169,-10083,9233
24,1,9064,-2760,3308,-3114,-10175,8978
25,1,8915,-2327,3185,-2829,-10362,8703
26,1,8279,-1409,2998,-2470,-10614,8391
27,1,7031,-484,2986,-2204,-10924,8016
28,1,5339,277,3014,-1764,-11273,7649
29,1,3436,822,2845,-1029,-11644,7277
30,1,1448,1330,2601,-264,-12030,6718
31,1,545,1703,2726,113,-12288,6217
32,1,527,1701,2700,249,-12397,5917
33,1,670,1477,2571,321,-12389,5922
34,1,637,999,2376,172,-12304,6073
35,1,102,1095,2144,-6,-12136,6476
36,1,-1073,1569,1878,-371,-11844,7215
37,1,-1923,1935,1721,-1144,-11454,7931
38,1,-2085,2272,1582,-1958,-11017,8513
39,1,-1250,1973,1554,-2805,-10554,8959
40,1,412,749,1682,-3481,-10137,9246
41,1,2523,-717,1785,-3965,-9839,9300
42,1,4747,-2252,2037,-4105,-9674,9289
43,1,6857,-2734,2239,-4136,-9656,9145
44,1,7991,-2857,2559,-4051,-9716,9042
45,1,8148,-2735,2845,-3865,-9889,8850
46,1,7695,-2101,2783,-3585,-10149,8547
47,1,6537,-1018,2825,-3223,-10477,8201
48,1,4902,-121,2763,-2750,-10849,7815
49,1,2943,604,2509,-1996,-11253,7490
50,1,891,981,2355,-1139,-11673,7054
51,1,45,1591,2247,-328,-11951,6655
52,1,127,1601,2081,-166,-12047,6386
53,1,359,1453,1992,-195,-12058,6286
54,1,372,1197,1884,-354,-11998,6371
55,1,-92,1053,1684,-671,-11841,6678
56,1,-1052,1145,1488,-1164,-11583,7170
57,1,-1973,1348,1313,-1795,-11231,7745
58,1,-2132,1611,1249,-2426,-10831,8312
59,1,-1449,1843,1329,-3069,-10422,8803
