,0,1,2,3,4,5,6
0,0,-502,2542,-1111,70,-639,-259
1,0,-820,2566,-1125,91,-633,-254
2,0,-820,2440,-1143,102,-635,-246
3,0,-1318,2257,-1214,126,-660,-236
4,0,-684,1323,-1397,154,-691,-219
5,0,-671,1501,-1312,161,-672,-269
6,0,-673,1611,-1217,160,-676,-242
7,0,-825,1657,-1147,128,-679,-192
8,0,-912,1777,-1088,86,-675,-151
9,0,-789,1907,-1057,54,-654,-127
10,0,-701,2041,-985,27,-637,-98
11,0,-632,2174,-939,-11,-606,-63
12,0,-384,2240,-1031,-56,-572,-16
13,0,-25,2408,-1403,-103,-573,62
14,0,274,2544,-1801,-140,-641,126
15,0,409,2749,-1649,-160,-762,186
16,0,275,2873,-1284,-167,-850,213
17,0,98,2996,-1269,-167,-901,230
18,0,-31,3051,-1427,-164,-932,234
19,0,-140,2879,-1648,-146,-961,266
20,0,-325,2751,-1902,-105,-1005,300
21,0,-653,2675,-2149,-45,-1071,343
22,0,-1016,2720,-2363,14,-1159,395
23,0,-1395,2679,-2468,68,-1246,403
24,0,-1862,2607,-2432,106,-1324,413
25,0,-2263,2298,-2708,139,-1393,400
26,0,-2595,1785,-2875,149,-1449,391
27,0,-2763,1545,-3100,190,-1497,414
28,0,-2926,1092,-3532,267,-1556,422
29,0,-3232,834,-3941,390,-1668,482
30,0,-3591,823,-4283,529,-1820,563
31,0,-3905,564,-4566,647,-1955,568
32,0,-4115,195,-4841,768,-2068,615
33,0,-4314,-45,-5112,853,-2169,675
34,0,-4388,-327,-5341,867,-2241,651
35,0,-4439,-616,-5572,851,-2291,644
36,0,-4450,-833,-5798,825,-2334,642
37,0,-4454,-1039,-5972,792,-2377,634
38,0,-4407,-1193,-6091,770,-2425,624
39,0,-4339,-1277,-6143,766,-2482,598
40,0,-4312,-1319,-6155,781,-2545,562
41,0,-4282,-1329,-6169,807,-2611,541
42,0,-4247,-1314,-6197,832,-2672,534
43,0,-4247,-1320,-6227,850,-2728,546
44,0,-4190,-1317,-6246,854,-2780,559
45,0,-4134,-1359,-6245,854,-2829,548
46,0,-4096,-1367,-6226,861,-2881,542
47,0,-4055,-1375,-6192,866,-2932,526
48,0,-4021,-1377,-6158,871,-2982,508
49,0,-3989,-1383,-6109,878,-3029,490
50,0,-3945,-1400,-6072,886,-3072,484
51,0,-3896,-1402,-6043,896,-3118,483
52,0,-3844,-1412,-6022,904,-3167,482
53,0,-3776,-1415,-5991,911,-3222,473
54,0,-3742,-1403,-5929,918,-3281,458
55,0,-3702,-1393,-5851,922,-3337,438
56,0,-3693,-1344,-5793,923,-3386,421
57,0,-3695,-1211,-5717,908,-3423,401
58,0,-3652,-1160,-5641,860,-3448,342
59,0,-3539,-1186,-5616,831,-3473,310
60,1,5124,-825,-2816,-557,-5858,-1689
61,1,6180,721,-3332,-301,-5970,-1810
62,1,6670,2586,-2523,-98,-6278,-1805
63,1,6449,3758,-797,-36,-6658,-1683
64,1,5567,4767,1761,-189,-6995,-1416
65,1,5117,4206,3443,-699,-7062,-1158
66,1,5154,3348,3981,-1246,-6835,-1054
67,1,5539,2363,3440,-1569,-6481,-1095
68,1,5615,1078,1850,-1646,-6134,-1248
69,1,5819,206,201,-1544,-5924,-1431
70,1,6297,257,-1098,-1367,-5833,-1613
71,1,7009,1155,-2072,-1199,-5889,-1721
72,1,7773,2327,-2159,-1084,-6119,-1778
73,1,7586,3653,-951,-1017,-6486,-1663
74,1,6775,4571,685,-1155,-6865,-1417
75,1,5441,4875,1980,-1653,-7177,-1099
76,1,4559,4461,2692,-2348,-7283,-789
77,1,4410,3805,3353,-2923,-7157,-552
78,1,4898,2531,3225,-3237,-6853,-440
79,1,5477,1284,2205,-3371,-6521,-495
80,1,6010,226,1096,-3385,-6278,-679
81,1,6917,-343,-221,-3332,-6090,-869
82,1,7675,-357,-1713,-3221,-5976,-1052
83,1,8354,262,-3006,-3069,-5986,-1192
84,1,8501,1404,-3209,-2928,-6188,-1254
85,1,8326,3187,-1949,-2774,-6479,-1168
86,1,7813,4485,-400,-2738,-6786,-924
87,1,6806,5037,1041,-2992,-7123,-634
88,1,5836,4920,2071,-3534,-7358,-298
89,1,5219,4252,3084,-4110,-7353,11
90,1,5207,3066,3387,-4558,-7119,173
91,1,5727,1445,2874,-4786,-6815,170
92,1,6320,-298,1867,-4824,-6528,-44
93,1,6868,-1100,462,-4707,-6299,-295
94,1,7253,-1142,-1168,-4575,-6163,-511
95,1,7910,-830,-2561,-4436,-6126,-695
96,1,8712,210,-3457,-4301,-6265,-811
97,1,8486,2027,-2668,-4219,-6606,-823
