,0,1,2,3,4,5,6
0,1,2471,3538,-5370,-2576,-6253,1740
1,1,3838,2862,-4573,-2760,-6215,1804
2,1,4149,2058,-4133,-2647,-6201,1739
3,1,2740,3405,-3936,-2383,-6253,1742
4,1,2846,3138,-3483,-2548,-6247,1836
5,1,3870,2663,-3149,-2529,-6203,1914
6,1,4730,3000,-2908,-2171,-6187,1899
7,1,4894,4462,-3102,-1670,-6155,1865
8,1,4393,6790,-2589,-1463,-6025,1973
9,1,4374,7083,-2417,-1713,-5744,1941
10,1,4913,5850,-2649,-2050,-5448,1709
11,1,5573,4141,-2991,-2151,-5238,1355
12,1,6108,3292,-3901,-1915,-5121,1136
13,1,5709,4983,-5136,-1547,-5101,1143
14,1,5606,5241,-5673,-1656,-5142,1313
15,1,6346,4512,-5752,-1900,-5211,1548
16,1,6516,3390,-4531,-1978,-5337,1916
17,1,6388,3118,-3827,-1785,-5512,2285
18,1,5660,4313,-3922,-1457,-5744,2489
19,1,4558,6954,-3710,-1473,-5908,2684
20,1,4656,6860,-3568,-2055,-5848,2901
21,1,5129,5014,-3555,-2634,-5735,2968
22,1,5508,2993,-3326,-2797,-5702,2815
23,1,4798,2204,-3084,-2530,-5767,2667
24,1,3026,2786,-2801,-2174,-5883,2620
25,1,2382,2762,-2672,-2351,-5850,2760
26,1,3311,2296,-2463,-2441,-5778,2864
27,1,4527,2328,-2366,-2227,-5730,2873
28,1,4847,2989,-2595,-1826,-5698,2834
29,1,4118,4913,-2568,-1461,-5626,2877
30,1,3664,6217,-2300,-1452,-5418,2945
31,1,4239,5581,-2471,-1690,-5125,2800
32,1,5114,4169,-2771,-1901,-4863,2522
33,1,5772,2813,-3388,-1842,-4704,2257
34,1,5654,3011,-4638,-1521,-4676,2209
35,1,4702,4491,-4931,-1403,-4729,2355
36,1,5036,4306,-5394,-1653,-4736,2544
37,1,5829,2988,-4655,-1821,-4792,2871
38,1,6078,2309,-3995,-1705,-4950,3245
39,1,5446,2727,-3700,-1439,-5219,3409
40,1,4286,5610,-3201,-1343,-5416,3617
41,1,4156,6193,-2897,-1822,-5347,3741
42,1,4736,4511,-2814,-2407,-5189,3768
43,1,5101,2483,-2773,-2628,-5117,3623
44,1,3897,2027,-2986,-2387,-5198,3471
45,1,2358,2529,-3271,-2140,-5269,3575
46,1,2337,1895,-3061,-2394,-5206,3620
47,1,4115,1505,-2554,-1937,-5209,3701
48,1,4048,3672,-2491,-1435,-5241,3775
49,1,3325,5456,-2059,-1325,-5090,3919
50,1,3520,5258,-2116,-1602,-4790,3826
51,1,4251,3744,-2423,-1906,-4504,3559
52,1,4972,2450,-2593,-1929,-4339,3223
53,1,5394,1858,-3746,-1670,-4270,3069
54,1,4872,3446,-4769,-1347,-4312,3158
55,1,4583,3957,-4972,-1446,-4321,3273
56,1,5247,3215,-5095,-1729,-4296,3475
57,1,5832,1736,-4192,-1856,-4328,3758
58,1,5790,1168,-3579,-1689,-4469,4069
59,1,5194,2191,-3374,-1342,-4724,4279
60,1,4336,4784,-3119,-1303,-4859,4429
61,1,4372,5192,-3054,-1750,-4741,4553
62,1,4790,3567,-3098,-2295,-4569,4578
63,1,5228,1936,-3002,-2539,-4500,4468
64,1,4895,934,-3000,-2405,-4570,4382
65,1,2954,1337,-2599,-2131,-4712,4326
66,1,2211,1321,-2455,-2210,-4670,4454
67,1,2681,830,-2450,-2256,-4587,4520
68,1,3809,942,-2443,-2015,-4584,4578
69,1,4207,1640,-2671,-1564,-4636,4596
70,1,3566,4351,-2481,-1242,-4614,4680
71,1,3115,5181,-2155,-1389,-4365,4684
72,1,3616,4220,-2350,-1746,-4033,4493
73,1,4359,2319,-2673,-1995,-3782,4162
74,1,4971,1049,-3308,-1875,-3692,3902
75,1,4958,1541,-4837,-1554,-3719,3901
76,1,4225,2860,-5186,-1434,-3784,4009
77,1,4732,3042,-5626,-1646,-3743,4165
78,1,5504,1709,-4773,-1834,-3742,4440
79,1,5638,934,-3522,-1765,-3853,4820
80,1,5209,742,-2731,-1512,-4057,5065
81,1,4042,1372,-2822,-1177,-4268,5174
82,1,2519,1253,-3385,-818,-4475,5138
83,1,752,1272,-4056,-363,-4662,5154
84,1,-793,1221,-4888,116,-4839,5274
85,1,-1783,835,-5324,422,-5014,5275
86,1,-2413,33,-5541,487,-5107,5246
87,1,-2763,-615,-5627,524,-5169,5282
88,1,-3053,-1118,-5667,551,-5224,5321
89,1,-3263,-1558,-5655,551,-5279,5325
90,1,-3378,-1925,-5646,566,-5333,5338
91,1,-3445,-2162,-5671,605,-5390,5355
92,1,-3493,-2308,-5691,658,-5453,5367
93,1,-3508,-2395,-5696,718,-5520,5384
94,1,-3518,-2420,-5694,777,-5584,5406
95,1,-3510,-2459,-5684,820,-5643,5429
