,0,1,2,3,4,5,6
0,1,4164,-1647,-1583,3746,-8079,299
1,1,4617,-1696,-1026,3780,-8140,371
2,1,4373,-1603,-78,3854,-8231,434
3,1,3618,-1489,804,3938,-8338,496
4,1,2647,-1259,1663,4057,-8448,544
5,1,1730,-1169,2396,4110,-8529,521
6,1,862,-1219,3310,4142,-8527,463
7,1,157,-1219,3550,4126,-8431,379
8,1,-117,-1071,3239,4090,-8285,330
9,1,199,-1027,2658,4013,-8120,284
10,1,1075,-1091,1967,3935,-7961,235
11,1,2278,-1191,1096,3875,-7822,218
12,1,3579,-1279,456,3840,-7725,215
13,1,4600,-1316,68,3798,-7670,195
14,1,5126,-1359,-100,3766,-7668,185
15,1,5191,-1462,117,3781,-7710,213
16,1,4779,-1383,544,3831,-7783,263
17,1,4029,-1303,988,3884,-7881,299
18,1,3124,-1023,1462,3980,-7995,328
19,1,1931,-934,1950,4044,-8098,311
20,1,1010,-1028,2560,4055,-8147,273
21,1,216,-1251,2952,4034,-8104,214
22,1,-327,-1334,2837,4038,-7999,156
23,1,-415,-1260,2537,4032,-7861,116
24,1,7,-1106,2189,4009,-7707,81
25,1,868,-972,1538,3976,-7549,62
26,1,2160,-898,465,3937,-7418,95
27,1,3510,-876,-193,3875,-7337,109
28,1,4433,-995,-614,3805,-7311,92
29,1,4854,-1187,-327,3778,-7333,91
30,1,4650,-1118,148,3835,-7397,139
31,1,4115,-1095,873,3874,-7473,165
32,1,3351,-1088,1407,3930,-7552,160
33,1,2563,-920,1801,4012,-7625,157
34,1,1767,-822,2425,4048,-7668,131
35,1,966,-953,3195,4102,-7647,76
36,1,503,-913,3191,4085,-7544,68
37,1,368,-842,2860,4047,-7410,42
38,1,756,-845,2320,3983,-7260,23
39,1,1561,-802,1767,3925,-7108,21
40,1,2680,-814,1013,3861,-6969,38
41,1,3859,-884,144,3796,-6863,44
42,1,4798,-1008,-666,3746,-6821,51
43,1,5291,-1052,-793,3749,-6845,60
44,1,5091,-1009,-345,3795,-6914,87
45,1,4424,-832,302,3857,-7010,117
46,1,3522,-689,881,3901,-7113,123
47,1,2585,-638,1386,3946,-7208,136
48,1,1689,-575,1947,3999,-7272,149
49,1,793,-580,2822,4014,-7276,110
50,1,195,-653,3038,3994,-7195,61
51,1,-88,-709,2721,3967,-7071,6
52,1,155,-737,2243,3948,-6933,-26
53,1,858,-693,1673,3919,-6786,-26
54,1,1883,-643,835,3862,-6648,-6
55,1,3143,-718,13,3794,-6540,-6
56,1,4235,-817,-454,3743,-6478,-21
57,1,4911,-960,-561,3728,-6466,-29
58,1,5019,-955,-345,3761,-6497,-13
59,1,4652,-805,-24,3808,-6554,12
60,1,4036,-897,512,3828,-6636,-13
61,1,3217,-908,1049,3883,-6722,-27
62,1,2349,-752,1359,3942,-6799,-34
63,1,1622,-719,1661,3981,-6856,-50
64,1,772,-690,2416,3987,-6857,-88
65,1,177,-976,2760,3964,-6781,-152
66,1,-38,-1096,2515,3950,-6656,-146
67,1,221,-914,2085,3934,-6511,-121
68,1,943,-709,1482,3895,-6360,-98
69,1,2019,-592,768,3836,-6220,-55
70,1,3246,-640,-54,3762,-6103,-34
71,1,4371,-757,-903,3709,-6034,-34
72,1,5048,-787,-1147,3686,-6033,-54
73,1,4583,-646,-346,3773,-6177,-27
74,1,3756,-490,128,3829,-6278,1
75,1,2920,-406,603,3897,-6374,46
76,1,2000,-291,1132,3967,-6465,47
77,1,340,-112,1975,4053,-6540,-38
78,1,-324,-181,2249,4047,-6478,-43
79,1,-676,-227,2212,4008,-6365,-66
80,1,-531,-254,1847,3944,-6217,-70
81,1,162,-255,1236,3889,-6058,-64
82,1,1281,-332,361,3823,-5912,-22
83,1,2692,-535,-469,3744,-5793,-9
84,1,3901,-678,-1207,3705,-5734,-19
85,1,4641,-697,-1367,3717,-5742,-29
86,1,4631,-742,-932,3768,-5790,-23
87,1,4255,-607,-570,3844,-5878,-10
88,1,3391,-456,20,3919,-5984,-26
89,1,2373,-238,369,4002,-6096,-18
90,1,1501,-83,540,4078,-6192,19
91,1,623,91,837,4114,-6282,11
92,1,-172,99,1669,4122,-6328,-47
93,1,-971,11,2163,4156,-6289,-69
94,1,-1514,87,2075,4153,-6184,-46
95,1,-1502,78,1599,4090,-6042,-21
96,1,-833,77,965,4007,-5888,17
97,1,290,0,364,3919,-5736,62
98,1,1624,-181,-347,3841,-5603,110
99,1,2901,-309,-1180,3761,-5493,155
100,1,4058,-541,-1704,3686,-5438,145
101,1,4699,-616,-1742,3674,-5448,134
102,1,4744,-605,-1219,3715,-5508,154
103,1,4325,-475,-585,3780,-5606,169
104,1,3424,-308,25,3887,-5745,186
105,1,2250,-62,268,4041,-5884,249
106,1,1032,261,12,4280,-6026,359
107,1,-200,516,-438,4532,-6169,455
108,1,-1136,701,-1093,4778,-6293,536
109,1,-1758,811,-1831,5014,-6399,637
110,1,-2184,781,-2520,5201,-6490,691
111,1,-2418,643,-3120,5288,-6555,749
112,1,-2642,402,-3565,5285,-6599,784
113,1,-2775,175,-3983,5244,-6631,840
114,1,-2775,-16,-4352,5210,-6661,881
115,1,-2751,-176,-4588,5210,-6705,889
116,1,-2730,-221,-4682,5254,-6759,886
117,1,-2799,-211,-4712,5295,-6818,865
118,1,-2771,-212,-4730,5326,-6868,866
119,1,-2758,-174,-4766,5350,-6915,879
120,1,-2727,-184,-4792,5367,-6964,888
121,1,-2710,-217,-4811,5381,-7014,890
122,1,-2691,-252,-4816,5406,-7067,889
123,1,-2672,-272,-4791,5431,-7119,887
124,1,-2650,-272,-4758,5458,-7170,884
125,1,-2636,-260,-4751,5482,-7218,885
126,1,-2612,-267,-4750,5504,-7268,883
127,1,-2570,-273,-4721,5527,-7317,884
128,1,-2536,-294,-4689,5547,-7364,883
129,1,-2513,-303,-4671,5570,-7411,882
130,1,-2476,-318,-4649,5591,-7460,874
131,1,-2445,-308,-4639,5617,-7507,874
132,1,-2432,-294,-4614,5641,-7555,878
133,1,-2403,-312,-4574,5663,-7603,879
134,1,-2371,-333,-4552,5685,-7650,884
135,1,-2351,-355,-4541,5712,-7697,883
136,1,-2327,-354,-4518,5741,-7745,879
137,1,-2304,-333,-4497,5771,-7792,878
138,2,3430,-1036,-1831,4713,-7636,-274
139,2,4425,-1140,-1326,4702,-7637,-321
140,2,4806,-1110,-759,4765,-7675,-297
141,2,4577,-997,-73,4821,-7742,-272
142,2,3995,-949,677,4875,-7831,-262
143,2,3251,-945,1550,4950,-7908,-248
144,2,2488,-750,2200,4987,-7951,-270
145,2,1727,-976,3032,4935,-7936,-392
146,2,1236,-1124,3231,4936,-7855,-426
147,2,1067,-1149,3075,4917,-7737,-471
