,0,1,2,3,4,5,6
0,1,1554,3038,-5820,-356,-4895,-1476
1,1,3201,2385,-5925,-477,-4930,-1388
2,1,3466,1590,-5811,-656,-5072,-1217
3,1,2366,1134,-4954,-766,-5338,-864
4,1,354,1096,-3669,-639,-5670,-475
5,1,-2071,2558,-1854,-179,-5978,-139
6,1,-2945,5077,82,206,-6143,111
7,1,-3156,6784,721,36,-6094,350
8,1,-3615,7703,-204,-509,-5949,673
9,1,-3353,7753,-1628,-1170,-5801,988
10,1,-2518,6341,-2654,-1763,-5674,1318
11,1,-1032,3797,-3197,-2236,-5578,1639
12,1,1271,95,-2438,-2503,-5491,1845
13,1,3448,-2152,-2275,-2426,-5407,1718
14,1,4204,-1989,-2464,-2102,-5427,1499
15,1,4152,-895,-2706,-1676,-5505,1304
16,1,3492,854,-3038,-1198,-5616,1155
17,1,2237,2008,-3877,-614,-5775,1026
18,1,-45,3643,-4179,26,-6041,805
19,1,-1901,5278,-2533,385,-6299,594
20,1,-3244,5675,-694,239,-6304,584
21,1,-5243,5836,-188,-264,-6143,623
22,1,-5827,4874,-90,-784,-5919,313
23,1,-5023,3403,-517,-935,-5729,-307
24,1,-4100,1763,-1502,-654,-5565,-880
25,1,-2093,2030,-3700,-124,-5394,-974
26,1,1406,3375,-5489,92,-5317,-933
27,1,3575,3534,-5704,25,-5331,-862
28,1,4143,2733,-5563,-182,-5424,-702
29,1,3606,1547,-4828,-436,-5599,-424
30,1,2556,691,-3679,-504,-5833,-11
31,1,979,869,-2553,-150,-6096,408
32,1,-1243,2478,-2232,542,-6333,674
33,1,-2740,4788,-1585,1136,-6527,807
34,1,-3414,6193,-736,1091,-6541,1013
35,1,-4417,7090,-1395,552,-6390,1470
36,1,-3954,6864,-2884,-184,-6206,1906
37,1,-2886,6191,-3646,-847,-6045,2292
38,1,-1498,4054,-3980,-1386,-5901,2662
39,1,540,570,-3362,-1734,-5776,2922
40,1,3142,-2272,-2701,-1757,-5703,2872
41,1,4216,-2629,-2710,-1503,-5741,2619
42,1,4363,-1450,-3164,-1044,-5853,2394
43,1,3831,22,-3819,-474,-6008,2217
44,1,2081,1359,-4344,243,-6254,1967
45,1,-721,3661,-4383,1037,-6564,1737
46,1,-1971,5212,-3464,1386,-6778,1512
47,1,-3139,5417,-2038,1110,-6779,1407
48,1,-5313,5760,-1210,503,-6623,1401
49,1,-6122,5157,-981,-200,-6386,1158
50,1,-5044,3244,-1275,-510,-6188,443
51,1,-4083,2117,-2331,-153,-6034,-250
52,1,-1994,2678,-4355,424,-5904,-316
53,1,1725,3303,-5944,538,-5838,-268
54,1,3364,2929,-6349,417,-5875,-192
55,1,3538,1828,-6265,182,-6011,64
56,1,3165,885,-5153,86,-6241,463
57,1,1716,985,-3780,488,-6535,940
58,1,-1053,2085,-2542,1200,-6853,1156
59,1,-2958,4160,-1504,1928,-7102,1241
60,1,-3088,5658,-917,1966,-7156,1402
61,1,-3869,6951,-1402,1514,-7052,1802
62,1,-3954,6975,-2444,726,-6865,2303
63,1,-3041,6459,-3221,-15,-6655,2715
64,1,-1776,4999,-3834,-621,-6449,3116
65,1,-25,1252,-3469,-1017,-6290,3534
66,1,2563,-1805,-2393,-1083,-6221,3543
67,1,4288,-2432,-2478,-957,-6217,3227
68,1,4797,-2240,-3029,-596,-6325,2918
69,1,4356,-688,-3682,15,-6499,2699
70,1,2862,608,-4603,804,-6744,2422
71,1,-314,3188,-5352,1818,-7076,2170
72,1,-1978,5121,-4026,2207,-7291,1845
73,1,-2995,5958,-2858,1934,-7267,1962
74,1,-4872,6431,-2027,1207,-7121,1981
75,1,-5151,5899,-1719,411,-6881,1741
76,1,-3721,3827,-1770,-27,-6697,914
77,1,-3547,1996,-2032,273,-6576,141
78,1,-1408,2402,-4537,929,-6429,145
79,1,2238,2966,-6763,1094,-6359,287
80,1,4122,2427,-7049,1032,-6417,374
81,1,4266,1462,-6693,809,-6576,486
82,1,3372,218,-5886,597,-6811,796
83,1,1690,312,-4624,1004,-7121,1335
84,1,-1168,2361,-3036,1904,-7471,1621
85,1,-2999,4498,-1488,2705,-7736,1650
86,1,-2944,5937,-796,2705,-7765,1826
87,1,-3585,6764,-1170,2171,-7634,2167
88,1,-3745,7053,-2028,1424,-7395,2655
89,1,-3150,6880,-2975,711,-7121,3173
90,1,-2190,5207,-3931,66,-6871,3707
91,1,-593,1302,-3191,-384,-6690,4225
92,1,1914,-2896,-1793,-465,-6601,4212
93,1,3537,-3022,-1954,-169,-6666,3882
94,1,3960,-1781,-2459,275,-6817,3585
95,1,3955,-260,-3029,843,-7014,3331
96,1,3117,1782,-3212,1503,-7250,3058
97,1,1857,3669,-3539,2231,-7457,2885
98,1,667,4017,-3468,2701,-7621,2717
99,1,-379,3854,-3551,3045,-7762,2576
100,1,-911,3004,-3717,3084,-7826,2531
101,1,-1217,2073,-4012,3048,-7846,2598
102,1,-1492,1249,-4286,3003,-7867,2677
103,1,-1662,604,-4386,2964,-7903,2722
104,1,-1745,212,-4409,2945,-7949,2721
105,1,-1786,5,-4440,2966,-8001,2707
106,1,-1839,-67,-4459,3013,-8055,2692
107,1,-1874,-99,-4475,3054,-8108,2686
108,1,-1901,-145,-4490,3080,-8152,2701
109,1,-1883,-226,-4495,3094,-8192,2723
110,1,-1865,-286,-4500,3114,-8234,2740
111,1,-1860,-319,-4471,3131,-8277,2746
112,1,-1847,-335,-4439,3147,-8319,2758
113,1,-1813,-347,-4417,3168,-8360,2768
114,1,-1788,-330,-4396,3191,-8400,2782
115,1,-1754,-333,-4372,3212,-8440,2800
116,1,-1726,-322,-4344,3236,-8481,2814
117,1,-1712,-303,-4315,3258,-8522,2829
118,1,-1688,-287,-4251,3279,-8560,2847
119,1,-1665,-292,-4239,3298,-8596,2869
120,1,-1634,-303,-4240,3323,-8638,2884
121,1,-1611,-292,-4188,3349,-8679,2896
122,1,-1595,-262,-4133,3377,-8719,2913
123,1,-1578,-226,-4102,3403,-8756,2928
124,1,-1547,-221,-4096,3424,-8793,2943
125,1,-1519,-210,-4076,3449,-8832,2957
126,1,-1494,-216,-4034,3472,-8871,2970
127,1,-1484,-219,-4012,3494,-8909,2983
128,2,4536,2279,-5250,2272,-8625,496
129,2,5347,1485,-4887,2036,-8728,714
130,2,4960,334,-4266,1923,-8885,1241
131,2,3702,-134,-3235,2211,-9133,1883
132,2,1088,1009,-1644,3034,-9466,2353
133,2,-1557,3063,192,4009,-9750,2438
134,2,-2164,4547,1733,4208,-9792,2603
135,2,-2326,5945,1366,3697,-9595,3034
136,2,-2639,6580,200,2873,-9279,3643
137,2,-2410,5952,-872,2059,-8928,4244
138,2,-1128,3866,-1613,1429,-8597,4803
139,2,1183,276,-1729,986,-8361,5130
140,2,4213,-2649,-1263,991,-8309,5079
141,2,5528,-2847,-1115,1253,-8423,4738
142,2,5466,-2068,-1465,1696,-8611,4363
143,2,4627,-461,-2339,2362,-8892,3965
144,2,2686,1202,-3042,3238,-9284,3479
145,2,-153,4096,-2276,4131,-9685,3011
146,2,-1363,4889,110,4095,-9788,2740
147,2,-3037,5228,1283,3480,-9585,2784
148,2,-4759,4963,1511,2591,-9248,2639
149,2,-4222,3393,764,1897,-8978,1926
150,2,-3232,2009,-187,1911,-8843,983
151,2,-693,1989,-2430,2357,-8740,584
152,2,2956,2382,-3895,2497,-8702,553
153,2,4823,1776,-4422,2538,-8736,766
154,2,4924,1095,-3998,2522,-8862,1122
155,2,4100,445,-3193,2664,-9047,1698
156,2,2482,858,-1765,3349,-9328,2142
157,2,-205,2982,-222,4409,-9652,2188
158,2,-1484,5288,1458,4959,-9822,2146
159,2,-1773,6363,1639,4643,-9710,2484
160,2,-2102,7020,733,3900,-9474,3055
161,2,-1831,6981,-451,3093,-9167,3664
