,0,1,2,3,4,5,6
0,1,-3686,-2862,4110,2697,-5428,8102
1,1,-3854,-2891,3141,2834,-5504,7271
2,1,-2856,-1684,1171,3312,-5637,6893
3,1,484,-441,-1452,3492,-5588,6714
4,1,2758,57,-2847,3377,-5566,6793
5,1,3504,-810,-2353,3157,-5497,7057
6,1,3735,-1518,-1378,2990,-5458,7454
7,1,3327,-2337,-100,2930,-5508,7879
8,1,2339,-2004,1442,3111,-5695,8335
9,1,1847,-2321,2886,3351,-5932,8574
10,1,690,-222,2119,3839,-6228,8765
11,1,321,119,1964,3762,-6280,8650
12,1,191,1699,2376,3507,-6040,8671
13,1,-889,3366,1976,2929,-5528,8690
14,1,-1137,2886,784,2149,-4945,8673
15,1,-877,450,-388,1488,-4475,8746
16,1,-149,-3885,-1112,1146,-4266,8705
17,1,1154,-5884,-1403,1284,-4381,8643
18,1,1676,-5143,-1126,1789,-4732,8697
19,1,2100,-3213,-666,2357,-5167,8732
20,1,1649,-1484,-107,2870,-5600,8793
21,1,1183,-43,1072,3275,-5952,8921
22,1,932,1619,781,3545,-6164,8986
23,1,281,1263,1242,3381,-6064,8930
24,1,-746,577,3438,3176,-5824,8774
25,1,-1760,158,4156,2922,-5473,8367
26,1,-1816,-180,3830,2704,-5202,7741
27,1,-914,-750,2062,2644,-5108,7024
28,1,1294,138,-396,2814,-5167,6648
29,1,3280,809,-2618,2889,-5173,6742
30,1,3910,103,-2733,2767,-5155,7087
31,1,3511,-1129,-1465,2657,-5217,7545
32,1,2966,-2044,453,2731,-5395,7959
33,1,2125,-1646,2095,2986,-5618,8297
34,1,1438,-1524,3066,3290,-5867,8441
35,1,225,-846,3556,3530,-6087,8518
36,1,515,883,3419,3546,-6088,8557
37,1,460,1823,3345,3322,-5860,8524
38,1,-367,3158,2334,2795,-5396,8539
39,1,-1225,3999,1230,2072,-4846,8576
40,1,-1883,1689,251,1247,-4259,8563
41,1,-1297,-2993,-829,770,-3889,8527
42,1,-157,-5800,-1219,913,-4028,8489
43,1,650,-5583,-1096,1445,-4468,8505
44,1,1118,-2982,-488,2096,-4974,8591
45,1,1081,-862,111,2541,-5391,8575
46,1,1044,153,860,2875,-5666,8732
47,1,1360,36,1137,3151,-5823,8880
48,1,940,726,2122,3506,-5972,9053
49,1,443,1028,2116,3277,-5860,8928
50,1,-231,1056,3582,2926,-5589,8743
51,1,-1374,480,4792,2518,-5238,8238
52,1,-1014,-808,2255,2385,-5096,6855
53,1,1291,-209,40,2659,-5183,6518
54,1,3421,705,-2097,2747,-5191,6597
55,1,3869,-32,-2217,2550,-5127,6870
