,0,1,2,3,4,5,6
0,1,-933,5208,-4485,258,-6087,2975
1,1,1019,4349,-4529,-387,-5939,3421
2,1,3067,2950,-4598,-826,-5870,3574
3,1,4156,1620,-4467,-873,-5922,3630
4,1,4335,978,-4229,-628,-6100,3580
5,1,4024,2071,-2559,-400,-6301,3376
6,1,3509,2589,-940,-453,-6218,3530
7,1,3654,2589,-792,-778,-5944,3804
8,1,4692,1124,-1912,-1207,-5680,3767
9,1,6273,53,-1948,-1339,-5537,3655
10,1,8938,-362,-1148,-1330,-5385,3360
11,1,10101,-696,-1279,-1450,-5236,2857
12,1,10471,-850,-1726,-1500,-5157,2264
13,1,10467,-209,-2320,-1365,-5130,1760
14,1,10178,253,-3082,-1130,-5114,1428
15,1,9298,833,-3745,-761,-5136,1190
16,1,8086,3487,-3723,-396,-5238,979
17,1,7585,4920,-3751,-542,-5174,1223
18,1,7832,5208,-3893,-866,-5060,1622
19,1,8003,4084,-3892,-1250,-4930,2070
20,1,8101,2562,-3455,-1542,-4796,2564
21,1,8631,638,-2569,-1684,-4639,3026
22,1,10311,-2022,-1912,-1693,-4428,3397
23,1,11599,-3465,-2630,-1731,-4292,3609
24,1,11418,-3378,-3523,-1651,-4326,3725
25,1,9460,-2824,-3447,-1372,-4576,3778
26,1,7671,-1615,-2856,-1033,-4898,3663
27,1,6471,-323,-1039,-901,-5010,3647
28,1,5229,407,-51,-1047,-4812,3795
29,1,4941,331,-548,-1352,-4485,3970
30,1,5526,-282,-1839,-1635,-4227,3940
31,1,7226,-1051,-1670,-1759,-4107,3881
32,1,9005,-2136,-1196,-1819,-4001,3602
33,1,9565,-2312,-1148,-1818,-3877,3146
34,1,9702,-1935,-1391,-1753,-3841,2511
35,1,9091,-1446,-2068,-1492,-3841,2018
36,1,8033,-103,-3452,-1023,-3888,1712
37,1,6906,2421,-3918,-564,-4005,1479
38,1,6611,4135,-3695,-505,-3988,1513
39,1,6223,4873,-4068,-773,-3849,1796
40,1,6450,4559,-4526,-1177,-3708,2139
41,1,6636,3095,-4476,-1580,-3571,2442
42,1,6931,1047,-3938,-1834,-3449,2902
43,1,8655,-1404,-2894,-1922,-3268,3347
44,1,10226,-2593,-3072,-2014,-3110,3630
45,1,10480,-2640,-3766,-2018,-3039,3866
46,1,9641,-2508,-3781,-1871,-3141,4000
47,1,7485,-1833,-3488,-1526,-3420,4015
48,1,5920,-505,-1932,-1254,-3723,3915
49,1,5027,-145,-525,-1262,-3717,3951
50,1,4114,374,163,-1407,-3513,4066
51,1,3971,664,-391,-1660,-3218,4180
52,1,4403,172,-1602,-1952,-2959,4097
53,1,5444,-640,-2663,-2135,-2768,3940
54,1,6901,-1295,-3175,-2168,-2663,3763
55,1,8910,-1883,-2693,-2149,-2551,3549
56,1,9438,-2722,-2762,-2240,-2429,3120
57,1,9250,-2995,-3160,-2174,-2410,2596
58,1,9010,-2421,-3870,-1877,-2438,2250
59,1,7989,-1265,-4448,-1471,-2534,2022
60,1,6770,864,-4670,-1066,-2699,1863
61,1,5944,2693,-4383,-972,-2722,1861
62,1,5874,3125,-4676,-1249,-2651,2045
63,1,6100,2588,-4615,-1544,-2657,2123
64,1,6094,1914,-4257,-1739,-2744,2326
65,1,6054,1785,-3646,-1765,-2921,2653
66,1,4895,1707,-2811,-1632,-3221,2914
67,1,3364,2040,-2149,-1385,-3580,3005
68,1,1729,2477,-1872,-1084,-3909,2986
69,1,228,2370,-2447,-753,-4172,2985
70,1,-1179,2840,-2899,-386,-4342,3149
71,1,-1719,2283,-3684,-328,-4385,3208
72,1,-2119,1743,-4219,-309,-4439,3236
73,1,-2475,1267,-4409,-265,-4490,3308
74,1,-2732,933,-4628,-244,-4533,3348
75,1,-2898,648,-4860,-237,-4583,3359
76,1,-3020,426,-5002,-217,-4631,3385
77,1,-3092,241,-5115,-191,-4680,3410
78,1,-3143,156,-5178,-160,-4731,3437
79,1,-3146,107,-5209,-130,-4779,3467
80,1,-3140,72,-5244,-103,-4827,3494
81,1,-3128,27,-5253,-82,-4876,3517
82,1,-3115,-17,-5271,-66,-4927,3534
83,1,-3101,-45,-5260,-49,-4980,3552
84,1,-3097,-77,-5249,-33,-5030,3571
85,1,-3071,-104,-5250,-16,-5081,3589
86,1,-3050,-122,-5240,2,-5129,3607
87,1,-3029,-128,-5234,19,-5178,3626
88,1,-2992,-137,-5220,36,-5229,3642
89,1,-2952,-135,-5211,53,-5280,3659
90,1,-2924,-138,-5181,69,-5329,3679
91,1,-2897,-150,-5161,85,-5377,3698
92,1,-2860,-151,-5144,102,-5425,3715
93,1,-2818,-155,-5124,120,-5473,3732
94,1,-2782,-167,-5105,137,-5521,3750
95,1,-2746,-169,-5080,156,-5569,3770
96,1,-2713,-170,-5069,174,-5616,3791
97,1,-2686,-180,-5043,193,-5661,3812
98,1,-2653,-181,-5021,214,-5708,3834
99,1,-2621,-170,-4992,235,-5754,3857
100,2,3741,915,-3250,-1904,-5228,5758
101,2,6270,-331,-2962,-2253,-5092,5849
102,2,6983,-1223,-2982,-2400,-5045,5852
103,2,6765,-1709,-2844,-2217,-5178,5861
104,2,6609,-1874,-2659,-1950,-5440,5739
105,2,5733,-901,-1117,-1758,-5747,5480
106,2,4797,-380,326,-1835,-5607,5605
107,2,4559,-36,593,-2017,-5268,5815
108,2,4966,-538,-135,-2285,-4939,5904
109,2,5954,-1037,-1005,-2510,-4671,5839
110,2,8300,-2313,-1217,-2663,-4529,5592
111,2,9810,-3071,-1008,-2766,-4433,5150
112,2,10080,-3007,-899,-2824,-4405,4580
113,2,9805,-2356,-1201,-2673,-4420,4018
114,2,9096,-1025,-2625,-2273,-4424,3703
115,2,7878,1082,-3519,-1866,-4547,3446
116,2,7658,2992,-3810,-1763,-4574,3329
117,2,7412,3862,-4083,-1965,-4411,3520
118,2,7279,3528,-4422,-2284,-4206,3899
119,2,7318,2135,-4518,-2694,-4026,4154
120,2,7340,264,-4303,-2964,-3874,4497
121,2,8377,-1310,-3067,-2998,-3742,4919
122,2,10188,-2525,-1998,-2994,-3549,5268
123,2,10901,-3402,-2330,-3139,-3408,5461
124,2,10579,-3779,-2557,-3164,-3384,5563
125,2,9463,-3842,-2575,-3011,-3494,5635
126,2,7621,-3506,-2192,-2692,-3738,5674
127,2,5967,-1552,-952,-2362,-4089,5570
128,2,5154,-858,596,-2368,-4087,5620
129,2,4451,-229,883,-2546,-3813,5718
130,2,4161,-181,399,-2815,-3479,5761
131,2,4680,-719,-786,-3073,-3190,5681
132,2,6284,-1254,-1989,-3250,-3007,5520
133,2,8129,-2686,-2386,-3371,-2888,5307
134,2,9194,-3861,-2173,-3489,-2819,4898
135,2,9460,-4014,-2291,-3482,-2824,4392
136,2,9219,-3487,-2710,-3303,-2892,3938
137,2,8496,-2512,-3500,-2940,-2988,3644
138,2,7430,-566,-4764,-2489,-3143,3507
139,2,6933,1597,-4238,-2270,-3245,3476
140,2,6462,2718,-4488,-2478,-3097,3602
141,2,6434,2829,-4652,-2827,-2898,3866
142,2,6699,1711,-4580,-3236,-2705,4057
143,2,6655,205,-4233,-3525,-2555,4354
144,2,7269,-1308,-3237,-3661,-2423,4737
145,2,8848,-3226,-2029,-3732,-2246,5043
146,2,9649,-3893,-2514,-3839,-2114,5161
147,2,9612,-3867,-2716,-3859,-2098,5271
148,2,8823,-3267,-3121,-3713,-2234,5420
149,2,4931,-2343,-1265,-3241,-2872,5422
150,2,3634,-1420,105,-3263,-2888,5473
151,2,2720,-984,511,-3438,-2637,5589
152,2,2594,-651,210,-3649,-2325,5632
153,2,3272,-608,-845,-3864,-2056,5567
154,2,4432,-1171,-2039,-4025,-1872,5376
155,2,6432,-2082,-2412,-4053,-1770,5114
156,2,7692,-2690,-1936,-4018,-1714,4707
157,2,8056,-2838,-2181,-3952,-1647,4269
158,2,8130,-2581,-2976,-3729,-1669,3926
159,2,7620,-1966,-3836,-3376,-1779,3738
160,2,6132,-460,-4562,-2936,-1987,3629
161,2,5500,1303,-3983,-2735,-2122,3593
162,2,4935,2165,-4101,-2933,-2032,3732
163,2,4852,2089,-4338,-3255,-1978,3870
164,2,4658,1019,-4160,-3528,-1997,3975
165,2,4442,285,-3775,-3560,-2156,4201
166,2,3453,889,-2845,-3297,-2456,4507
167,2,2120,1631,-2037,-2944,-2816,4665
168,2,772,2118,-2282,-2573,-3154,4670
169,2,-882,2078,-2806,-2332,-3486,4476
170,2,-1793,1611,-3308,-2138,-3675,4530
171,2,-2378,1265,-3720,-2044,-3722,4691
172,2,-2825,572,-4205,-2040,-3735,4762
173,2,-3164,30,-4583,-2038,-3775,4775
174,2,-3381,-281,-4826,-2003,-3826,4812
175,2,-3498,-457,-4972,-1962,-3875,4853
176,2,-3574,-575,-5094,-1921,-3924,4886
177,2,-3630,-672,-5160,-1893,-3975,4907
178,2,-3645,-765,-5209,-1864,-4026,4931
179,2,-3676,-830,-5224,-1838,-4074,4955
180,2,-3676,-923,-5230,-1812,-4124,4976
181,2,-3651,-946,-5225,-1780,-4173,5002
182,2,-3630,-964,-5207,-1752,-4223,5024
183,2,-3596,-982,-5179,-1726,-4272,5047
184,2,-3557,-983,-5164,-1702,-4323,5064
185,2,-3528,-993,-5160,-1681,-4376,5077
186,2,-3509,-977,-5108,-1661,-4429,5093
187,2,-3470,-996,-5112,-1647,-4484,5099
188,2,-3439,-1012,-5091,-1630,-4540,5105
189,2,-3393,-1003,-5072,-1615,-4596,5112
190,2,-3362,-1019,-5061,-1601,-4649,5116
191,2,-3321,-1056,-5054,-1589,-4704,5121
192,2,-3287,-1043,-5036,-1573,-4758,5129
193,2,-3250,-1019,-5006,-1565,-4812,5133
194,2,-3224,-1046,-5013,-1559,-4865,5134
195,2,-3198,-1108,-5019,-1552,-4916,5138
196,2,-3171,-1154,-5029,-1536,-4961,5158
197,2,-3131,-1042,-4930,-1512,-5014,5177
198,2,-3115,-1004,-4916,-1505,-5066,5185
199,3,2763,400,-3829,-3704,-4494,6570
200,3,4781,-684,-3188,-4083,-4386,6626
201,3,5393,-1694,-3016,-4151,-4426,6570
202,3,4983,-1676,-3161,-3830,-4663,6537
203,3,3975,-1200,-1886,-3583,-4988,6358
204,3,3536,-154,-455,-3535,-4955,6433
205,3,2987,-99,66,-3755,-4619,6586
206,3,3745,-596,-621,-4021,-4246,6584
207,3,4830,-1338,-1524,-4198,-3986,6495
208,3,7098,-2238,-1558,-4288,-3838,6292
209,3,8980,-2691,-1263,-4420,-3726,5841
210,3,9223,-2292,-1302,-4483,-3649,5285
211,3,8786,-1829,-2113,-4340,-3650,4744
212,3,8168,-896,-3483,-3932,-3795,4377
213,3,7114,1787,-3750,-3556,-4043,4080
214,3,6886,2989,-3713,-3547,-4014,4072
215,3,6589,3693,-3732,-3777,-3814,4335
216,3,6420,3245,-3823,-4181,-3581,4629
217,3,6317,1739,-3405,-4579,-3355,4937
218,3,6726,76,-2545,-4835,-3179,5273
219,3,8277,-2359,-1534,-4975,-2947,5640
220,3,8995,-3625,-1788,-5059,-2793,5831
221,3,8914,-3930,-2042,-5035,-2839,5950
222,3,8060,-3475,-1801,-4861,-3067,6040
223,3,6984,-3093,-1643,-4633,-3347,6048
224,3,5201,-2284,-64,-4597,-3617,5796
225,3,4051,-2112,984,-4626,-3465,5909
226,3,3177,-1466,1121,-4711,-3177,6052
227,3,3589,-1569,343,-4926,-2830,6035
228,3,4700,-1629,-778,-5121,-2528,5900
229,3,5622,-2133,-1818,-5269,-2347,5621
230,3,7709,-2729,-2529,-5394,-2297,5227
231,3,8762,-4167,-2709,-5468,-2262,4804
232,3,9009,-4693,-3329,-5355,-2301,4339
233,3,8836,-4092,-4065,-5032,-2405,4074
234,3,8228,-2495,-4979,-4609,-2605,3962
235,3,7659,132,-4707,-4289,-2788,3941
236,3,7031,1765,-4517,-4394,-2739,3965
237,3,6663,2115,-4444,-4715,-2550,4199
238,3,6611,1305,-4353,-5133,-2346,4381
239,3,6726,-109,-3944,-5471,-2149,4592
240,3,7175,-1801,-3250,-5692,-1945,4853
241,3,8342,-3799,-2778,-5823,-1734,5081
242,3,8985,-4636,-2891,-5819,-1631,5293
