,0,1,2,3,4,5,6
0,1,809,-2909,44,535,-2334,1492
1,1,699,-2878,20,544,-2334,1458
2,1,681,-2851,43,544,-2331,1408
3,1,654,-2894,26,539,-2322,1357
4,1,680,-2955,27,548,-2319,1348
5,1,612,-2815,62,557,-2314,1338
6,1,600,-2600,111,530,-2284,1341
7,1,613,-2415,107,479,-2236,1361
8,1,295,-1873,-88,397,-2160,1476
9,1,512,-1205,-74,233,-2067,1603
10,1,905,-934,-206,45,-1986,1706
11,1,1130,-786,-329,-62,-1948,1849
12,1,1320,-759,-575,-98,-1918,2048
13,1,1516,-560,218,-148,-1894,2071
14,1,1816,-340,-128,-89,-1898,2096
15,1,1765,-394,-606,95,-2028,2142
16,1,1008,91,-281,351,-2222,2101
17,1,148,980,-525,665,-2331,2261
18,1,-920,2205,-824,914,-2438,2433
19,1,-1825,1932,-1839,1134,-2547,2645
20,1,-2713,1569,-2287,1349,-2727,2767
21,1,-3196,1187,-3075,1587,-2900,2934
22,1,-3194,930,-3905,1724,-2999,2987
23,1,-3129,576,-4518,1760,-3053,2978
24,1,-3447,200,-5049,1789,-3099,2981
25,1,-3681,-150,-5310,1831,-3157,3013
26,1,-3884,-468,-5430,1840,-3219,3003
27,1,-4143,-688,-5494,1829,-3277,2968
28,1,-4207,-730,-5559,1816,-3321,2959
29,1,-4246,-757,-5593,1813,-3361,2964
30,1,-4261,-744,-5596,1823,-3404,2980
31,1,-4217,-716,-5595,1840,-3454,3001
32,1,-4225,-694,-5549,1861,-3509,3023
33,1,-4216,-676,-5489,1884,-3562,3051
34,1,-4191,-621,-5460,1904,-3617,3068
35,1,-4220,-501,-5419,1911,-3672,3070
36,1,-4210,-488,-5303,1884,-3712,3045
37,1,-4121,-488,-5256,1882,-3746,3049
38,1,-4059,-367,-5153,1887,-3789,3039
39,1,-4002,-415,-5043,1890,-3830,3027
40,1,-3882,-411,-4987,1917,-3871,3045
41,1,-3812,-403,-4927,1949,-3924,3052
42,1,-3763,-396,-4840,1978,-3983,3057
43,1,-3723,-393,-4770,1997,-4035,3064
44,1,-3691,-444,-4759,2012,-4085,3071
45,1,-3678,-522,-4772,2035,-4138,3083
46,1,-3661,-583,-4723,2069,-4195,3102
47,1,-3637,-589,-4698,2107,-4248,3125
48,1,-3588,-586,-4700,2139,-4301,3146
49,1,-3554,-606,-4712,2164,-4353,3164
50,1,-3505,-602,-4689,2191,-4409,3182
51,1,-3498,-604,-4683,2216,-4466,3194
52,1,-3464,-626,-4717,2237,-4523,3203
53,1,-3448,-650,-4747,2258,-4581,3214
54,1,-3431,-644,-4760,2283,-4642,3233
55,1,-3408,-622,-4748,2305,-4699,3253
56,1,-3393,-600,-4753,2324,-4749,3273
57,1,-3340,-598,-4820,2341,-4791,3290
58,1,-3307,-573,-4811,2369,-4842,3310
59,2,3834,-1364,-3343,2219,-5582,3476
60,2,3770,-375,-1681,2490,-5909,3556
61,2,3017,457,-195,2741,-6281,3550
62,2,2137,844,1042,2897,-6535,3562
63,2,1507,855,2022,2942,-6637,3585
64,2,839,1155,3243,2896,-6574,3574
65,2,-62,1587,3590,2790,-6326,3567
66,2,-659,1721,3067,2573,-6009,3421
67,2,-405,1291,1660,2333,-5684,3241
68,2,800,201,181,2142,-5412,3039
69,2,2259,-875,-1207,2084,-5208,2968
70,2,3479,-1515,-2411,2107,-5085,3041
71,2,4439,-1706,-3183,2144,-5068,3169
72,2,5234,-1029,-2024,2376,-5342,3383
73,2,4634,-337,-656,2576,-5668,3424
74,2,3583,467,664,2774,-5946,3509
75,2,2613,585,1736,2884,-6135,3544
76,2,1655,728,3070,2936,-6184,3538
77,2,732,1323,4198,2887,-6018,3534
78,2,-138,2206,3675,2718,-5707,3484
79,2,-185,1846,2399,2467,-5364,3316
80,2,642,931,568,2257,-5078,3106
81,2,2042,-94,-1085,2158,-4863,3018
82,2,3286,-1111,-2232,2124,-4712,3063
83,2,4285,-1756,-3309,2135,-4652,3175
84,2,5146,-1817,-3105,2185,-4734,3236
85,2,5096,-1268,-2277,2320,-4903,3334
86,2,4579,-552,-1021,2531,-5179,3436
87,2,3897,257,299,2731,-5446,3499
88,2,3065,786,1523,2874,-5647,3518
89,2,2272,1008,2324,2937,-5739,3520
90,2,1424,1294,3170,2909,-5672,3519
91,2,526,1645,3606,2799,-5425,3511
92,2,97,1766,2792,2613,-5104,3459
93,2,431,1353,1414,2394,-4781,3333
94,2,1509,421,-198,2197,-4516,3172
95,2,2858,-714,-1553,2082,-4318,3078
96,2,3972,-1557,-2536,2036,-4178,3110
97,2,4674,-2110,-3409,2017,-4122,3189
98,2,5305,-2264,-3361,2043,-4186,3240
99,2,5635,-1837,-2566,2179,-4359,3357
100,2,4922,-1092,-1321,2392,-4659,3438
101,2,3925,-191,-193,2632,-4976,3536
102,2,2853,428,1249,2768,-5241,3539
103,2,1927,710,2718,2834,-5338,3558
104,2,1068,1213,3418,2801,-5220,3576
105,2,271,1973,3530,2668,-4948,3549
106,2,-267,2051,2704,2447,-4621,3436
107,2,101,991,784,2225,-4289,3262
108,2,1278,-340,-1123,2091,-4027,3190
109,2,2558,-1209,-2520,2038,-3872,3190
110,2,3511,-1924,-3925,2037,-3852,3242
111,2,4336,-1896,-3620,2104,-3933,3315
112,2,4712,-1214,-2275,2262,-4129,3437
113,2,4299,-518,-1161,2415,-4412,3486
114,2,3467,-5,142,2568,-4719,3500
115,2,2550,341,1988,2687,-4935,3495
116,2,1614,600,3378,2737,-4950,3482
117,2,424,715,4259,2706,-4755,3402
118,2,-365,825,3389,2633,-4432,3392
119,2,-153,601,1592,2462,-4099,3315
120,2,844,-201,-154,2301,-3821,3223
121,2,2057,-987,-1783,2183,-3581,3232
122,2,3224,-2019,-3300,2097,-3413,3308
123,2,4201,-2450,-4397,2125,-3408,3384
124,2,4525,-1993,-3827,2233,-3560,3490
125,2,4216,-1294,-2455,2404,-3900,3557
126,2,3229,-336,-951,2586,-4273,3630
127,2,2072,308,93,2759,-4577,3753
128,2,1003,802,813,2869,-4788,3840
129,2,762,827,927,2963,-4874,3982
130,2,498,1203,548,3112,-4940,4123
131,2,-130,1434,-704,3250,-4986,4242
132,2,-643,1268,-1473,3298,-5024,4303
133,2,-1018,1185,-2145,3328,-5053,4350
134,2,-1254,1088,-2626,3360,-5084,4394
135,2,-1440,1013,-3001,3397,-5115,4445
136,2,-1564,983,-3311,3429,-5146,4486
137,2,-1670,948,-3520,3457,-5179,4520
138,2,-1746,907,-3673,3480,-5210,4551
139,2,-1789,860,-3777,3501,-5240,4586
140,2,-1832,834,-3855,3525,-5275,4613
141,2,-1862,799,-3904,3555,-5310,4645
142,2,-1886,789,-3942,3579,-5348,4665
143,2,-1880,741,-3968,3595,-5378,4693
144,2,-1874,717,-3970,3612,-5407,4725
145,2,-1865,702,-3952,3631,-5441,4753
146,2,-1859,695,-3962,3648,-5473,4781
147,2,-1864,654,-3953,3667,-5506,4812
148,2,-1846,631,-3962,3690,-5540,4845
149,2,-1828,594,-3978,3737,-5618,4896
150,2,-1815,572,-3970,3760,-5659,4915
151,2,-1811,540,-3947,3781,-5699,4934
152,2,-1803,532,-3968,3803,-5737,4954
153,2,-1810,469,-3990,3823,-5774,4976
154,2,-1799,439,-3974,3847,-5810,5001
155,2,-1760,413,-3946,3871,-5847,5027
156,2,-1730,438,-3850,3887,-5871,5063
157,2,-1728,407,-3865,3897,-5895,5090
158,2,-1740,353,-3861,3912,-5925,5113
159,3,3601,-2144,-4441,2891,-4728,4588
160,3,4024,-1777,-2830,3033,-4939,4702
161,3,3747,-982,-1094,3270,-5286,4781
162,3,2880,-56,318,3532,-5624,4839
163,3,2108,403,1764,3674,-5847,4857
164,3,1255,516,3070,3695,-5872,4855
165,3,236,1227,3913,3613,-5675,4823
166,3,-657,1148,3340,3399,-5342,4715
167,3,-449,558,2102,3215,-4990,4637
168,3,438,-130,254,3030,-4675,4568
169,3,1726,-1267,-1517,2888,-4445,4546
170,3,3054,-2054,-3315,2844,-4338,4605
171,3,4026,-2166,-4054,2891,-4445,4646
172,3,4060,-1750,-2657,3042,-4695,4716
173,3,3698,-818,-586,3257,-5057,4751
174,3,2912,-259,1042,3424,-5349,4781
175,3,2266,-173,2669,3522,-5502,4776
176,3,1518,294,3593,3549,-5465,4757
177,3,760,712,3767,3465,-5263,4694
178,3,382,422,2902,3314,-4993,4575
179,3,729,128,1974,3182,-4725,4463
180,3,1593,-526,807,3034,-4464,4366
181,3,3618,-2075,-2424,2842,-4081,4362
182,3,4656,-2441,-3466,2848,-4095,4433
183,3,4879,-2262,-2493,2933,-4247,4497
184,3,4591,-1659,-1185,3076,-4509,4596
185,3,3843,-1118,-103,3229,-4792,4666
186,3,3136,-855,1294,3370,-5050,4673
187,3,1977,-553,2948,3464,-5190,4656
188,3,972,-258,4208,3442,-5083,4615
189,3,118,406,3891,3365,-4816,4583
190,3,-2,407,2663,3221,-4509,4472
191,3,693,-100,1182,3054,-4214,4354
192,3,1777,-1002,-365,2918,-3967,4259
193,3,2886,-2041,-1885,2824,-3779,4265
194,3,3923,-2798,-3262,2793,-3695,4385
195,3,4661,-2869,-3675,2846,-3767,4451
196,3,4763,-2110,-2534,2964,-3983,4529
197,3,4378,-1266,-1014,3132,-4277,4621
198,3,3404,-619,333,3297,-4569,4656
199,3,2619,-271,1718,3413,-4788,4662
200,3,1690,116,2778,3461,-4858,4624
201,3,834,122,3124,3413,-4741,4571
202,3,87,336,3557,3345,-4530,4478
203,3,-95,383,2891,3210,-4228,4327
204,3,370,-188,1432,3069,-3923,4141
205,3,1307,-864,-410,2955,-3642,4082
206,3,2527,-2121,-2360,2842,-3426,4070
207,3,3836,-2733,-3484,2805,-3314,4134
208,3,4606,-2709,-3441,2816,-3313,4266
209,3,5121,-2632,-2890,2893,-3470,4358
210,3,4957,-2050,-1818,3046,-3742,4418
211,3,4047,-1397,-386,3220,-4085,4440
212,3,3197,-1149,1841,3363,-4359,4460
213,3,2165,-614,3306,3432,-4411,4461
214,3,1265,-129,3854,3418,-4274,4429
215,3,657,92,3465,3316,-4038,4289
216,3,646,-180,2385,3193,-3777,4077
217,3,1160,-1011,1188,3108,-3538,3888
218,3,1879,-1749,-466,3045,-3292,3822
219,3,2742,-2552,-2518,2975,-3077,3899
220,3,3899,-3002,-3644,2908,-2992,3986
221,3,4421,-3108,-3662,2932,-3047,4099
222,3,3736,-1879,-1461,3295,-3650,4324
223,3,2502,-1121,-285,3519,-4021,4406
224,3,1243,-409,334,3708,-4309,4494
225,3,408,-151,523,3841,-4488,4625
226,3,-105,-157,164,3985,-4648,4695
227,3,-937,-136,-180,4188,-4807,4795
228,3,-1433,168,-1013,4255,-4867,4874
229,3,-1820,-85,-2041,4262,-4900,4882
230,3,-2113,-443,-2617,4279,-4929,4940
231,3,-2331,-641,-3030,4333,-4964,5032
232,3,-2444,-678,-3348,4389,-5017,5068
233,3,-2531,-585,-3571,4435,-5069,5097
234,3,-2588,-625,-3737,4456,-5110,5120
235,3,-2634,-722,-3874,4475,-5149,5132
236,3,-2648,-746,-3991,4504,-5192,5152
237,3,-2645,-750,-4029,4532,-5236,5175
238,3,-2645,-771,-4075,4556,-5277,5193
239,3,-2623,-752,-4096,4582,-5320,5208
240,3,-2627,-749,-4122,4603,-5363,5212
241,3,-2621,-802,-4136,4621,-5403,5213
242,3,-2587,-818,-4122,4644,-5440,5220
243,3,-2574,-840,-4046,4668,-5471,5243
244,3,-2515,-851,-4081,4696,-5506,5264
245,3,-2493,-858,-3983,4727,-5549,5290
246,3,-2471,-828,-3947,4756,-5592,5313
247,3,-2445,-840,-3928,4782,-5630,5336
248,3,-2409,-793,-3936,4811,-5669,5360
249,3,-2384,-798,-3952,4833,-5707,5379
250,3,-2361,-802,-3946,4859,-5746,5398
251,3,-2344,-796,-3952,4883,-5784,5418
252,3,-2314,-787,-3936,4907,-5821,5437
253,3,-2292,-771,-3905,4931,-5858,5453
254,3,-2227,-808,-3903,4953,-5894,5468
255,3,-2206,-717,-3832,4976,-5929,5489
256,3,-2175,-678,-3820,4994,-5965,5506
257,4,3043,-2540,-4451,3806,-4602,4744
258,4,3945,-2078,-3500,3961,-4762,4882
259,4,3908,-1287,-2031,4185,-5082,4949
260,4,3295,-413,-530,4433,-5400,5052
261,4,2542,257,627,4651,-5668,5111
262,4,1797,870,1923,4754,-5829,5097
263,4,939,1222,3339,4675,-5761,5066
264,4,-2,2053,3736,4509,-5470,5068
265,4,-622,1970,2628,4235,-5106,4985
266,4,-58,1036,1190,3979,-4766,4831
267,4,973,-43,-405,3788,-4477,4731
268,4,2266,-1521,-2383,3668,-4262,4694
269,4,3728,-2359,-3842,3658,-4217,4723
270,4,4208,-2195,-3466,3747,-4336,4816
271,4,4600,-1847,-2433,3908,-4614,4879
272,4,4163,-1047,-769,4121,-4946,4941
273,4,3209,-482,939,4321,-5243,4976
274,4,2452,-151,2082,4438,-5421,4983
275,4,1733,146,3059,4457,-5455,4930
276,4,944,405,3737,4429,-5315,4931
277,4,12,780,4035,4272,-5023,4808
278,4,-326,703,2725,4085,-4666,4696
279,4,390,-175,749,3888,-4319,4551
280,4,1751,-1272,-1411,3746,-4055,4485
281,4,3198,-2246,-2944,3682,-3922,4502
282,4,4388,-2661,-3547,3672,-3902,4553
283,4,5059,-2547,-3172,3721,-3983,4660
284,4,4979,-1983,-2366,3856,-4234,4784
285,4,4276,-1225,-986,4065,-4567,4917
286,4,3472,-525,790,4249,-4867,4958
287,4,2558,-1,2435,4366,-5047,4952
288,4,1674,352,3481,4390,-5042,4952
289,4,783,833,3992,4280,-4817,4873
290,4,294,1201,3402,4113,-4498,4801
291,4,489,741,2048,3901,-4161,4658
292,4,1301,-253,281,3719,-3864,4508
293,4,2535,-1544,-1654,3622,-3651,4443
294,4,3696,-2336,-3269,3611,-3569,4500
295,4,4482,-2663,-3576,3635,-3626,4544
296,4,4846,-2311,-3154,3747,-3824,4667
297,4,4262,-1645,-1840,3916,-4147,4736
298,4,3444,-993,-144,4073,-4459,4808
299,4,2605,-665,1836,4189,-4684,4835
300,4,1788,-229,3409,4236,-4737,4800
301,4,1095,108,3770,4200,-4596,4741
302,4,455,510,3679,4121,-4340,4658
303,4,335,410,2578,3994,-4040,4532
304,4,836,-287,782,3854,-3741,4418
305,4,1920,-1247,-986,3731,-3500,4398
306,4,3034,-2205,-2505,3653,-3344,4446
307,4,3939,-2775,-3455,3654,-3351,4480
308,4,4103,-2440,-3120,3742,-3502,4585
309,4,4351,-1659,-1972,3911,-3786,4684
310,4,3607,-858,-354,4112,-4114,4753
311,4,2727,-479,1332,4280,-4392,4736
312,4,1745,198,3141,4370,-4492,4718
313,4,812,426,3746,4302,-4340,4632
314,4,136,546,3401,4192,-4070,4589
315,4,92,474,2362,4030,-3761,4494
316,4,611,-270,608,3864,-3460,4358
317,4,1623,-1454,-1155,3739,-3215,4297
318,4,2735,-2333,-2697,3652,-3057,4343
319,4,3513,-2907,-3790,3616,-3036,4385
320,4,3893,-2661,-3848,3680,-3146,4519
321,4,3711,-1809,-2603,3863,-3474,4664
322,4,2795,-741,-803,4100,-3897,4772
323,4,1482,-20,388,4289,-4249,4850
324,4,500,241,988,4427,-4470,4969
325,4,-65,243,764,4494,-4547,5045
326,4,-353,276,102,4603,-4625,5122
327,4,-940,149,-558,4754,-4736,5178
328,4,-1394,126,-1319,4837,-4794,5289
329,4,-1768,-85,-1985,4871,-4837,5332
330,4,-1996,-360,-2471,4903,-4885,5356
331,4,-2209,-459,-2896,4953,-4944,5395
332,4,-2372,-522,-3198,5002,-5001,5436
333,4,-2462,-608,-3452,5029,-5044,5461
334,4,-2535,-650,-3654,5055,-5088,5479
335,4,-2569,-719,-3776,5073,-5128,5496
336,4,-2599,-762,-3864,5099,-5170,5514
337,4,-2602,-795,-3935,5125,-5212,5531
338,4,-2595,-801,-3986,5155,-5255,5553
339,4,-2582,-823,-4027,5181,-5296,5572
340,4,-2564,-836,-4039,5208,-5338,5591
341,4,-2556,-852,-4041,5232,-5380,5610
342,4,-2537,-868,-4044,5257,-5423,5627
343,4,-2509,-853,-4043,5283,-5467,5641
344,4,-2496,-853,-4060,5307,-5508,5659
345,4,-2482,-882,-4053,5332,-5550,5676
346,4,-2457,-878,-4045,5357,-5593,5689
347,4,-2442,-881,-4048,5381,-5635,5702
348,4,-2399,-889,-4028,5407,-5678,5714
349,4,-2384,-893,-4028,5430,-5718,5729
350,4,-2367,-916,-4009,5454,-5758,5747
351,4,-2344,-916,-3994,5478,-5797,5763
352,4,-2313,-900,-3973,5502,-5836,5782
353,4,-2303,-893,-3963,5525,-5875,5795
354,4,-2272,-906,-3940,5549,-5916,5808
355,4,-2235,-877,-3917,5574,-5954,5826
356,4,-2207,-846,-3883,5595,-5990,5838
357,4,-2114,-259,-3216,5591,-6020,5822
358,4,-2354,807,-1846,5431,-5937,5716
359,4,-3028,1435,-578,5201,-5693,5604
360,4,-3893,2118,111,4916,-5328,5419
361,4,-3688,1493,-722,4649,-4954,5149
362,4,-2270,123,-1812,4494,-4662,4925
363,4,-493,-1022,-3011,4422,-4431,4862
364,4,1423,-1915,-4161,4357,-4280,4905
365,4,3010,-2520,-4075,4338,-4251,4950
366,4,4040,-2532,-3434,4426,-4370,5096
367,4,4111,-2025,-2087,4626,-4669,5178
368,4,3745,-1154,-240,4842,-5014,5212
369,4,3040,-685,1749,4974,-5267,5172
370,4,2240,-293,3722,5019,-5308,5147
371,4,1451,229,4269,4966,-5130,5080
372,4,737,214,3902,4847,-4862,4948
373,4,678,-206,2660,4711,-4556,4796
374,4,1479,-989,851,4569,-4245,4717
375,4,2568,-1958,-1103,4446,-3991,4720
376,4,3849,-2989,-2772,4392,-3872,4788
377,4,4580,-3031,-3181,4398,-3894,4862
378,4,5341,-2673,-2222,4488,-4049,4970
379,4,5015,-1887,-909,4653,-4349,5004
380,4,4132,-1179,705,4849,-4673,5028
381,4,3316,-656,2377,4979,-4895,4999
382,4,2319,-141,4083,5001,-4914,4931
383,4,1477,64,4284,4931,-4704,4890
384,4,997,30,3480,4806,-4429,4762
