,0,1,2,3,4,5,6
0,1,-3462,3260,4823,1572,-8668,4454
1,1,-4225,2108,2250,1334,-8155,4523
2,1,-2409,223,-433,1125,-7736,4859
3,1,829,-1528,-2415,906,-7525,4951
4,1,3415,-3010,-3674,859,-7537,4949
5,1,4251,-3161,-3984,1119,-7816,4947
6,1,3381,-1829,-2992,1579,-8281,4895
7,1,1694,-1060,-1615,1802,-8700,4772
8,1,463,732,956,2227,-9023,4882
9,1,245,3044,3523,2304,-9047,4880
10,1,-1536,4181,5137,1927,-8676,4756
11,1,-2859,3134,2782,1600,-8167,4770
12,1,-1658,1636,198,1346,-7748,5047
13,1,1107,-1000,-2175,1075,-7481,5174
14,1,3228,-2693,-3580,1138,-7518,5220
15,1,3587,-2847,-3739,1426,-7851,5136
16,1,2571,-555,-2199,1923,-8312,4992
17,1,1575,346,-471,2219,-8639,4994
18,1,965,2074,1529,2419,-8800,4979
19,1,432,4037,4148,2308,-8675,4911
20,1,-1225,4205,4490,1946,-8243,4860
21,1,-1783,2915,2001,1668,-7779,4949
22,1,-108,1040,-564,1447,-7422,5214
23,1,2522,-1343,-2558,1223,-7226,5330
24,1,4109,-2657,-3560,1288,-7341,5318
25,1,4211,-2700,-3237,1638,-7699,5284
26,1,2887,-932,-2441,2164,-8146,5204
27,1,1423,239,-969,2578,-8478,5226
28,1,848,2761,309,2910,-8645,5281
29,1,841,4581,1941,2875,-8541,5364
30,1,-607,5934,3045,2432,-8179,5358
31,1,-1758,4358,1413,1960,-7724,5345
32,1,-520,2249,-1057,1678,-7358,5554
33,1,2016,-432,-2766,1390,-7100,5720
34,1,3937,-2172,-3812,1356,-7137,5708
35,1,4273,-2766,-3837,1652,-7433,5683
36,1,3215,-1104,-2487,2247,-7894,5635
37,1,1627,-46,-1762,2694,-8246,5665
38,1,608,2426,346,3049,-8524,5613
39,1,250,4596,1991,3070,-8479,5653
40,1,-1143,5697,3099,2631,-8138,5626
41,1,-2500,4212,2000,2138,-7687,5532
42,1,-1645,2030,-254,1926,-7276,5743
43,1,923,-323,-2227,1640,-6982,5941
44,1,3220,-2326,-3763,1529,-6923,5923
45,1,4009,-2927,-4223,1727,-7184,5859
46,1,3148,-2155,-3213,2182,-7636,5834
47,1,1647,-649,-1952,2647,-8052,5852
48,1,545,1216,-231,3092,-8365,5916
49,1,307,3631,1497,3218,-8402,5956
50,1,-463,5242,2532,2952,-8159,5965
51,1,-1958,5005,2091,2490,-7731,5977
52,1,-1902,3079,140,2071,-7322,5998
53,1,-15,894,-1629,1711,-6974,6133
54,1,2644,-1835,-3338,1544,-6819,6150
55,1,3680,-2806,-3920,1766,-7016,6142
56,1,3295,-2278,-3437,2203,-7412,6159
57,1,1741,-1334,-2304,2659,-7872,6082
58,1,443,572,106,3034,-8220,6058
59,1,69,3215,2218,3214,-8310,6069
60,1,-1183,4904,3799,2906,-8017,6008
