,0,1,2,3,4,5,6
0,1,-11236,1948,-1281,970,-747,854
1,1,-9986,3392,-4554,1289,-328,881
2,1,-5724,3250,-8012,1372,-42,830
3,1,-2074,2467,-9919,1322,106,931
4,1,-623,1727,-10484,1216,-21,1066
5,1,-1474,1097,-9173,1111,-438,1124
6,1,-3169,1014,-7195,994,-982,1244
7,1,-5441,659,-4587,975,-1596,1433
8,1,-6536,366,-1731,1004,-2105,1577
9,1,-5996,1119,-836,955,-2346,1423
10,1,-4954,2955,-1451,774,-2450,1145
11,1,-5132,5336,-2439,430,-2466,924
12,1,-6789,6167,-3306,-103,-2402,834
13,1,-6771,6290,-4673,-707,-2306,849
14,1,-4992,3746,-5332,-1228,-2231,792
15,1,-3001,1588,-4439,-1471,-2229,733
16,1,-1915,220,-4259,-1416,-2232,694
17,1,-1656,-257,-4654,-1067,-2351,673
18,1,-1868,242,-5464,-515,-2446,842
19,1,-2672,3496,-6533,145,-2502,1267
20,1,-3608,5165,-6601,653,-2650,1517
21,1,-3977,4969,-4781,888,-2817,1621
22,1,-4741,3016,-2860,991,-2776,1685
23,1,-6899,733,-1244,1134,-2561,1693
24,1,-9088,-146,-255,1424,-2279,1478
25,1,-10650,205,-1055,1837,-1939,1312
26,1,-8820,1187,-4743,2111,-1524,1553
27,1,-4234,1573,-7386,2133,-1267,1453
28,1,-601,1449,-9144,2063,-1148,1520
29,1,804,1022,-9914,1942,-1259,1691
30,1,-242,683,-9313,1789,-1656,1798
31,1,-2353,41,-7478,1617,-2233,1841
32,1,-5105,-261,-4969,1488,-2849,1885
33,1,-6713,-1347,-2928,1391,-3321,1901
34,1,-6338,-2298,-1980,1325,-3599,1858
35,1,-5820,-1438,-1846,1236,-3700,1734
36,1,-5107,1301,-2273,1039,-3687,1615
37,1,-5539,4076,-3292,578,-3624,1499
38,1,-6160,5620,-4384,-52,-3506,1499
39,1,-5323,4369,-5606,-691,-3357,1507
40,1,-3212,2087,-5720,-1116,-3256,1477
41,1,-1581,359,-4255,-1301,-3253,1426
42,1,-570,-702,-3620,-1232,-3263,1354
43,1,-466,-1139,-4094,-887,-3389,1237
44,1,-536,95,-5504,-306,-3547,1344
45,1,-1146,2836,-6377,416,-3674,1694
46,1,-2364,5104,-6501,1004,-3833,2078
47,1,-2581,5036,-5846,1355,-3994,2243
48,1,-2527,4512,-5468,1564,-4057,2472
49,1,-2789,3437,-4849,1605,-4090,2538
50,1,-4360,1472,-3117,1590,-4001,2458
51,1,-6711,198,-508,1621,-3726,2312
52,1,-8806,204,-286,1766,-3309,1986
53,1,-9614,778,-2158,2072,-2893,1825
54,1,-6845,1630,-5288,2314,-2568,1768
55,1,-2574,2185,-7684,2377,-2379,1677
56,1,897,2088,-9170,2304,-2309,1747
57,1,2059,1747,-9810,2154,-2444,1936
58,1,473,1480,-9381,1982,-2823,2217
59,1,-2508,1527,-6987,1899,-3413,2529
60,1,-4971,254,-3559,1902,-4055,2629
61,1,-6051,-483,-1438,1929,-4508,2661
62,1,-5227,-600,-1070,1822,-4759,2509
63,1,-4723,464,-1269,1648,-4852,2326
64,1,-4006,2460,-1841,1324,-4819,2245
65,1,-4169,4687,-2767,821,-4729,2201
66,1,-4634,5682,-3868,169,-4588,2252
67,1,-3705,3321,-4864,-418,-4389,2273
68,1,-1385,1492,-4934,-725,-4257,2273
69,1,858,247,-3721,-893,-4223,2293
70,1,2101,-645,-2915,-893,-4221,2260
71,1,2006,-1446,-3070,-685,-4303,2138
72,1,1535,-1357,-3866,-224,-4476,2047
73,1,730,948,-4232,467,-4667,2176
74,1,127,2791,-4521,1061,-4773,2428
75,1,-1304,4005,-4700,1647,-4913,2669
76,1,-1546,4243,-4808,2064,-5041,2879
77,1,-1573,3312,-4471,2164,-5150,2898
78,1,-1741,2166,-4649,2181,-5196,2934
79,1,-1759,1365,-4972,2183,-5235,2962
80,1,-1850,683,-5252,2190,-5277,2960
81,1,-1937,163,-5426,2193,-5321,2959
82,1,-1965,-181,-5525,2198,-5369,2943
83,1,-1979,-415,-5639,2209,-5414,2942
84,1,-1969,-616,-5689,2223,-5462,2936
85,1,-1965,-725,-5796,2242,-5509,2935
86,1,-1867,-778,-5835,2261,-5564,2938
87,1,-1895,-914,-5808,2267,-5614,2934
88,1,-1881,-1022,-5756,2282,-5665,2929
89,1,-1866,-1003,-5785,2303,-5710,2927
90,1,-1824,-1008,-5810,2321,-5756,2934
91,1,-1797,-1035,-5811,2338,-5801,2938
92,1,-1763,-1113,-5785,2359,-5849,2938
93,1,-1752,-1091,-5743,2388,-5895,2939
94,1,-1722,-1106,-5731,2407,-5938,2947
95,1,-1684,-1146,-5718,2427,-5981,2955
96,1,-1658,-1157,-5690,2451,-6027,2957
97,1,-1627,-1160,-5657,2472,-6072,2962
98,1,-1605,-1156,-5653,2490,-6117,2964
99,1,-1581,-1188,-5644,2507,-6164,2964
100,1,-1565,-1199,-5612,2526,-6209,2965
101,1,-1533,-1213,-5571,2544,-6252,2970
102,1,-1498,-1212,-5556,2563,-6295,2973
103,1,-1455,-1204,-5554,2583,-6338,2975
104,1,-1429,-1202,-5532,2601,-6382,2980
105,1,-1416,-1200,-5490,2620,-6427,2982
106,1,-1392,-1191,-5468,2638,-6471,2987
107,2,-1796,5025,-3751,1027,-6611,2957
108,2,-1469,4837,-4339,282,-6437,3127
109,2,-660,3035,-4807,-293,-6254,3159
110,2,963,749,-4186,-619,-6132,3122
111,2,1923,-735,-3721,-658,-6105,3099
112,2,2055,-1772,-3900,-378,-6256,2985
113,2,1744,-851,-4532,292,-6474,2963
114,2,934,1784,-5619,1226,-6644,3083
115,2,-1093,4578,-5452,2098,-6790,3253
116,2,-725,5470,-5123,2648,-6899,3492
117,2,-676,4652,-3865,2770,-6923,3614
118,2,-2261,2522,-1867,2844,-6795,3627
119,2,-4645,-57,-69,2927,-6529,3348
120,2,-6637,-697,367,3180,-6228,2799
121,2,-7728,286,-1589,3564,-5905,2399
122,2,-4241,1987,-5003,3812,-5645,2345
123,2,410,2716,-7030,3765,-5449,2364
124,2,3024,2034,-8185,3619,-5422,2596
125,2,3073,1328,-8201,3512,-5641,2924
126,2,650,980,-7170,3455,-6051,3381
127,2,-2000,605,-4111,3551,-6615,3779
128,2,-4158,-548,-1016,3682,-7124,3915
129,2,-3817,-1121,726,3769,-7406,3869
130,2,-3351,-315,782,3644,-7458,3740
131,2,-2302,3170,-1272,2768,-7345,3499
132,2,-3147,5205,-2517,2098,-7202,3589
133,2,-3289,4588,-3406,1285,-6892,3981
134,2,-2266,2271,-4073,573,-6612,4119
135,2,-287,248,-2895,253,-6483,4259
136,2,604,-1593,-2209,223,-6488,4158
137,2,916,-1856,-2842,607,-6701,3920
138,2,1072,-448,-3962,1361,-6960,3822
139,2,-29,2531,-5101,2368,-7154,3947
140,2,-931,4576,-4913,3122,-7352,4100
141,2,-623,4675,-4459,3583,-7450,4307
142,2,-1144,3473,-2533,3732,-7447,4367
143,2,-2744,1247,-558,3784,-7225,4353
144,2,-5130,-271,911,3829,-6898,4011
145,2,-6995,-617,640,3976,-6488,3512
146,2,-6634,354,-2367,4171,-6082,3257
147,2,-2643,1464,-5517,4190,-5806,3217
148,2,1380,1713,-7494,4088,-5668,3278
149,2,3572,1057,-8325,3950,-5711,3475
150,2,3240,506,-7920,3878,-5964,3803
151,2,1090,170,-6405,3847,-6389,4212
152,2,-1571,-737,-4197,3935,-6857,4643
153,2,-3830,-656,-397,4097,-7330,4845
154,2,-3653,-1444,1040,4068,-7608,4751
155,2,-2963,-359,927,3902,-7709,4633
156,2,-2239,1157,484,3460,-7689,4501
157,2,-2203,3106,-314,2897,-7504,4528
158,2,-2733,4426,-1236,2193,-7210,4655
159,2,-2102,3623,-2464,1510,-6848,4828
160,2,-459,903,-3360,997,-6586,4864
161,2,1516,-1016,-2501,793,-6488,4930
162,2,2532,-2438,-1668,790,-6493,4884
163,2,2565,-2981,-2000,1100,-6678,4687
164,2,2248,-1923,-3301,1763,-6946,4578
165,2,1563,993,-4355,2721,-7247,4675
166,2,-12,3691,-3616,3467,-7564,4702
167,2,-317,4044,-2947,3878,-7755,4812
168,2,-364,3253,-2375,4076,-7803,4973
169,2,-1201,1927,-1206,4133,-7702,5094
170,2,-3147,-445,846,4127,-7476,4957
171,2,-5369,-1390,1685,4174,-7167,4453
172,2,-7084,-967,533,4336,-6816,3922
173,2,-5687,288,-2859,4559,-6509,3745
174,2,-1280,900,-5760,4551,-6277,3720
175,2,2380,695,-7683,4462,-6196,3854
176,2,3567,242,-8189,4376,-6346,4091
177,2,2085,-93,-7606,4352,-6707,4447
178,2,-845,-129,-5739,4498,-7237,4942
179,2,-3210,-973,-2144,4700,-7768,5216
180,2,-3949,-1554,144,4733,-8129,5190
181,2,-3194,-1909,753,4592,-8239,5055
182,2,-2663,-593,156,4363,-8231,4878
183,2,-1954,1271,-500,3923,-8130,4821
184,2,-2263,2965,-1192,3303,-7912,4878
185,2,-2417,3983,-2335,2589,-7537,5159
186,2,-1029,1879,-3073,1934,-7174,5418
187,2,1146,-146,-3268,1548,-6976,5501
188,2,2938,-1280,-1913,1397,-6893,5580
189,2,3610,-2056,-806,1429,-6932,5506
190,2,3617,-2528,-832,1722,-7098,5242
191,2,3699,-1503,-2100,2323,-7289,5053
192,2,3179,876,-2790,3058,-7489,5010
193,2,2514,3141,-3353,3727,-7669,5052
194,2,1590,3627,-3131,4130,-7870,4958
195,2,963,2929,-2846,4324,-7986,4985
196,2,785,2023,-2480,4452,-8057,5095
197,2,469,1236,-2621,4535,-8104,5154
198,2,365,746,-2907,4590,-8136,5185
199,2,251,197,-3168,4611,-8169,5178
200,2,141,-187,-3443,4641,-8201,5169
201,2,49,-562,-3640,4666,-8239,5154
202,2,2,-816,-3767,4692,-8270,5161
203,2,-20,-996,-3857,4713,-8304,5161
204,2,-34,-1160,-3891,4736,-8338,5160
205,2,-62,-1226,-3905,4761,-8368,5170
206,2,-69,-1311,-3927,4781,-8400,5175
207,2,-68,-1398,-3919,4804,-8432,5176
208,2,-64,-1445,-3920,4828,-8464,5174
209,2,-48,-1452,-3912,4852,-8496,5176
210,2,-30,-1479,-3932,4875,-8527,5180
211,2,-9,-1489,-3926,4896,-8558,5187
212,2,2,-1495,-3910,4920,-8590,5194
213,2,11,-1503,-3891,4943,-8622,5202
214,2,20,-1485,-3859,4967,-8652,5211
215,2,34,-1476,-3844,4989,-8678,5223
216,2,47,-1501,-3833,5011,-8705,5235
217,2,68,-1499,-3843,5038,-8735,5242
218,2,88,-1507,-3816,5064,-8765,5251
219,2,104,-1473,-3776,5093,-8794,5258
220,2,120,-1454,-3764,5117,-8823,5265
