,0,1,2,3,4,5,6
0,1,1963,8281,-7835,-730,-468,1099
1,1,1929,7288,-8222,-1152,-610,1059
2,1,2021,5637,-7984,-1580,-790,1002
3,1,2339,3484,-6224,-1985,-910,1094
4,1,4815,1292,-3732,-2219,-891,1372
5,1,6643,381,-2436,-2365,-847,1550
6,1,6844,-624,-2593,-2374,-816,1593
7,1,5218,-920,-3945,-2077,-779,1726
8,1,2712,-280,-4986,-1598,-823,1883
9,1,1662,2036,-5119,-1219,-924,2050
10,1,1496,4674,-4689,-1092,-962,2232
11,1,1172,6204,-4669,-1173,-922,2329
12,1,726,6344,-5129,-1461,-849,2344
13,1,688,5707,-6143,-1828,-771,2220
14,1,1302,4139,-6702,-2169,-733,2064
15,1,3296,1650,-5141,-2299,-651,1891
16,1,5230,437,-2635,-2217,-542,1692
17,1,5419,-267,-1610,-2079,-384,1439
18,1,4760,-1332,-2356,-1780,-184,1220
19,1,3351,-1160,-4334,-1317,16,1278
20,1,1891,820,-6210,-814,145,1508
21,1,2011,3463,-7125,-505,151,1700
22,1,2173,6169,-7322,-407,122,1845
23,1,1937,7471,-7473,-565,123,1926
24,1,1624,7297,-7922,-914,93,1877
25,1,1594,5729,-8400,-1332,4,1768
26,1,1410,3964,-8034,-1729,-143,1658
27,1,2853,1196,-5124,-2032,-224,1827
28,1,5190,388,-2816,-2191,-172,2087
29,1,6051,51,-2133,-2354,-151,2182
30,1,5467,-968,-2807,-2308,-123,2195
31,1,3984,-1229,-4097,-1977,-151,2345
32,1,1730,351,-4657,-1463,-276,2465
33,1,501,2238,-4025,-1143,-408,2631
34,1,355,4206,-3453,-1091,-443,2763
35,1,-20,5177,-3486,-1248,-377,2909
36,1,-227,5376,-4178,-1545,-265,2896
37,1,-4,4590,-5277,-1903,-174,2718
38,1,730,2541,-5760,-2190,-134,2491
39,1,2885,298,-3706,-2221,-88,2355
40,1,4283,-6,-1464,-2142,23,2229
41,1,4441,-733,-925,-2052,198,2038
42,1,3919,-1725,-1950,-1803,396,1905
43,1,3134,-1699,-3646,-1416,548,1967
44,1,1757,-329,-5447,-941,605,2238
45,1,1225,2169,-6089,-557,542,2465
46,1,1406,4895,-6391,-406,486,2652
47,1,1291,6638,-6415,-471,472,2756
48,1,941,6715,-7059,-720,463,2725
49,1,771,5995,-7464,-1068,434,2639
50,1,1214,4614,-7358,-1441,373,2536
51,1,2148,2889,-6021,-1782,329,2470
