,0,1,2,3,4,5,6
0,1,-2602,5135,-2703,248,-1623,1604
1,1,-2468,6020,-2072,235,-1630,1676
2,1,-2894,7848,-482,76,-1527,1695
3,1,-4765,7397,-295,-205,-1265,1535
4,1,-4853,5739,-2534,-485,-913,1596
5,1,-3337,3467,-4459,-783,-659,1576
6,1,-1372,1049,-6105,-926,-526,1553
7,1,-166,-415,-6917,-851,-581,1610
8,1,-310,-189,-6911,-537,-820,1786
9,1,-911,1762,-5767,-75,-1167,1930
10,1,-1805,4291,-4265,263,-1453,2113
11,1,-1548,6095,-2951,404,-1600,2225
12,1,-1625,7141,-2203,358,-1580,2297
13,1,-2307,8005,-1295,156,-1446,2247
14,1,-3160,7069,-1941,-131,-1189,2207
15,1,-2902,5381,-3281,-399,-917,2179
16,1,-1538,3077,-4842,-629,-706,2154
17,1,-50,756,-5824,-730,-613,2113
18,1,556,-426,-6362,-600,-689,2165
19,1,331,177,-6442,-274,-924,2333
20,1,-482,2210,-5180,139,-1274,2409
21,1,-1427,4326,-3530,429,-1554,2536
22,1,-1252,5780,-2560,542,-1648,2680
23,1,-1427,6798,-1824,480,-1611,2737
24,1,-2256,7844,-834,248,-1450,2655
25,1,-3450,6532,-1526,-29,-1176,2491
26,1,-2802,4754,-3168,-261,-875,2486
27,1,-1298,2427,-4539,-463,-655,2460
28,1,179,292,-5809,-527,-564,2484
29,1,754,-895,-6384,-399,-668,2557
30,1,302,-159,-5700,-80,-942,2709
31,1,-626,1592,-4885,309,-1273,2854
32,1,-1481,3716,-3831,602,-1553,3001
33,1,-1371,5291,-2816,745,-1684,3116
34,1,-1481,6400,-1918,702,-1661,3181
35,1,-2396,7654,-935,475,-1493,3147
36,1,-3613,6543,-1476,160,-1182,3146
37,1,-3257,4740,-3044,-155,-879,3110
38,1,-1749,2390,-4558,-386,-670,3025
39,1,-45,-25,-5641,-468,-579,2979
40,1,799,-1227,-6252,-356,-653,2990
41,1,695,-893,-6140,-53,-893,3119
42,1,-79,821,-5230,330,-1240,3220
43,1,-837,3350,-3771,613,-1530,3355
44,1,-734,5031,-2375,752,-1663,3520
45,1,-853,6204,-1496,699,-1624,3571
46,1,-1642,6794,-950,491,-1454,3544
47,1,-2385,6102,-1290,212,-1173,3515
48,1,-2122,4259,-2761,-80,-883,3486
49,1,741,-29,-5451,-429,-542,3361
50,1,1561,-1396,-5954,-351,-616,3360
51,1,1363,-1090,-5710,-85,-874,3472
52,1,563,257,-4422,252,-1241,3529
53,1,27,1898,-2570,468,-1507,3614
54,1,-462,2495,-2080,614,-1658,3734
