,0,1,2,3,4,5,6
0,1,-4428,187,-7209,521,-2224,1018
1,1,-4372,175,-7100,531,-2276,1033
2,1,-4311,209,-7159,548,-2326,1083
3,1,-4278,164,-7205,560,-2382,1098
4,1,-4234,194,-7196,589,-2437,1165
5,1,-4201,117,-7149,595,-2492,1173
6,1,-4161,196,-7157,610,-2547,1206
7,1,-4134,144,-7164,608,-2603,1198
8,1,-4075,175,-7171,620,-2659,1207
9,1,-4059,166,-7169,624,-2718,1210
10,1,-3986,226,-7139,634,-2776,1224
11,1,-3940,214,-7137,633,-2830,1226
12,1,-3897,190,-7109,634,-2883,1233
13,1,-3799,233,-7069,639,-2989,1248
14,2,-3610,3881,-471,1437,-5699,2652
15,2,-6279,3642,-1376,1019,-5055,2909
16,2,-6538,1448,-3812,609,-4595,3211
17,2,-4302,-1293,-5734,194,-4350,3279
18,2,-1639,-4360,-7327,49,-4251,3310
19,2,-514,-5039,-7922,365,-4456,3329
20,2,-348,-1745,-6120,1031,-4928,3327
21,2,-742,2010,-4238,1474,-5338,3168
22,2,-268,3820,-1816,1672,-5543,3176
23,2,283,5471,101,1685,-5510,3262
24,2,-693,7182,2320,1462,-5244,3310
25,2,-2504,6326,523,1041,-4785,3404
26,2,-2071,4261,-2022,665,-4423,3553
27,2,-164,750,-4204,332,-4153,3671
28,2,1817,-2169,-5724,288,-4087,3705
29,2,2466,-2782,-6186,578,-4318,3673
30,2,1559,-810,-5394,1121,-4762,3647
31,2,617,2508,-3219,1587,-5161,3585
32,2,712,4290,-1281,1818,-5363,3605
33,2,956,6005,321,1865,-5368,3645
34,2,146,7384,2249,1646,-5125,3678
35,2,-1393,6654,1234,1310,-4693,3778
36,2,-1430,4507,-1141,924,-4308,3914
37,2,90,1940,-3168,589,-4054,3970
38,2,1978,-1179,-4787,452,-3918,4026
39,2,2827,-2445,-5746,636,-4051,4044
40,2,2692,-1220,-5100,1083,-4394,4125
41,2,1778,974,-3318,1526,-4782,4091
42,2,1779,3685,-1962,1862,-4980,4220
43,2,1862,5702,-400,1941,-5013,4238
44,2,1168,7261,1327,1738,-4819,4224
45,2,-96,6778,620,1407,-4428,4258
46,2,-199,4352,-1879,1047,-4060,4362
47,2,975,1467,-3472,686,-3778,4390
