,0,1,2,3,4,5,6
0,1,7795,-1656,-8315,410,4504,-779
1,1,7718,-1640,-8282,425,4614,-804
2,1,7635,-1620,-8243,441,4725,-830
3,1,7556,-1611,-8192,453,4834,-853
4,1,7478,-1583,-8152,471,4943,-879
5,1,7403,-1583,-8108,486,5052,-907
6,1,7321,-1566,-8066,503,5159,-932
7,1,7252,-1545,-8028,520,5267,-956
8,1,7185,-1536,-7981,535,5375,-980
9,1,7097,-1516,-7937,551,5482,-1002
10,1,7025,-1506,-7881,568,5589,-1023
11,1,6960,-1483,-7829,587,5696,-1047
12,1,6898,-1472,-7793,604,5801,-1071
13,1,6824,-1450,-7739,625,5906,-1097
14,1,6749,-1433,-7701,645,6010,-1123
15,1,6671,-1439,-7654,662,6114,-1149
16,1,6594,-1420,-7606,682,6216,-1172
17,1,6526,-1422,-7558,703,6318,-1199
18,1,6462,-1406,-7501,726,6420,-1223
19,1,6396,-1386,-7455,748,6522,-1250
20,1,6327,-1386,-7406,772,6622,-1279
21,1,6258,-1385,-7353,796,6721,-1308
22,1,6198,-1388,-7296,822,6819,-1339
23,1,6135,-1377,-7244,846,6918,-1366
24,1,6071,-1368,-7193,872,7016,-1396
25,1,6012,-1364,-7133,896,7112,-1427
26,1,5952,-1342,-7076,920,7208,-1457
27,1,5891,-1341,-7019,947,7304,-1488
28,1,5835,-1329,-6958,974,7398,-1517
29,1,5781,-1322,-6901,1002,7492,-1549
30,1,5729,-1302,-6844,1030,7586,-1580
31,1,5670,-1300,-6795,1058,7677,-1613
32,1,5613,-1295,-6737,1086,7770,-1646
33,1,5569,-1285,-6684,1110,7860,-1675
34,1,5516,-1258,-6627,1138,7951,-1706
35,1,5461,-1250,-6567,1169,8042,-1740
36,2,7674,-510,308,2371,10440,-3491
37,2,8156,1461,2347,1878,10321,-3461
38,2,8369,4028,3555,1591,10184,-3734
39,2,7896,5797,2958,1512,10074,-4443
40,2,6832,5317,1722,1235,9955,-5318
41,2,7266,2127,870,804,9828,-6010
42,2,7873,-1327,175,859,9833,-6298
43,2,8237,-1337,-510,820,10020,-5894
44,2,8449,-96,-766,1107,10294,-5282
45,2,8631,1400,436,1108,10438,-4507
46,2,8465,1885,2721,1359,10477,-4004
47,2,8095,2077,4377,1848,10578,-3561
48,2,7750,1779,4115,2664,10799,-3013
49,2,7361,529,2976,3749,11031,-2188
50,2,6754,-718,2223,4742,11250,-1084
51,2,7303,-370,961,5098,11378,-238
52,2,7730,-741,488,4853,11403,-507
53,2,8055,-971,237,4175,11385,-1180
54,2,8256,-1190,-106,3426,11311,-1947
55,2,8434,-1059,-141,2571,11182,-2286
56,2,7857,471,1513,1825,11030,-1974
57,2,8199,2405,4111,1501,10848,-1912
58,2,8467,5066,3641,1349,10797,-2348
59,2,7439,7231,2487,1272,10756,-3233
60,2,7140,5349,610,951,10675,-4223
61,2,7709,1355,29,950,10623,-4964
62,2,8095,-405,-99,914,10666,-5056
63,2,8346,-1145,-421,1068,10778,-4788
64,2,8499,-1727,-618,1211,10947,-4164
65,2,8562,-274,-376,1500,11137,-3111
66,2,8414,2311,-393,1733,11289,-1698
67,2,8433,2705,-919,1704,11356,-594
68,2,8255,2271,-1531,1366,11435,331
69,2,7165,1600,-1719,1169,11483,1210
70,2,5831,1047,-2183,1393,11487,1738
71,2,5234,77,-2686,1388,11529,1827
72,2,4849,-837,-3138,1360,11596,1847
73,2,4465,-1487,-3441,1364,11659,1837
74,2,4187,-1982,-3664,1377,11718,1772
75,2,3988,-2435,-3711,1494,11773,1653
76,2,3820,-2723,-3895,1545,11837,1573
77,2,3709,-2882,-4010,1571,11904,1501
78,2,3631,-3024,-4059,1625,11966,1403
79,2,3586,-3166,-4045,1688,12026,1315
80,2,3504,-3191,-4086,1704,12087,1253
81,2,3454,-3221,-4101,1699,12148,1195
82,2,3443,-3235,-4069,1688,12208,1143
83,2,3415,-3202,-4070,1706,12270,1088
84,2,3385,-3211,-4054,1721,12331,1024
85,2,3364,-3205,-4040,1738,12391,953
86,2,3342,-3191,-4009,1753,12450,886
87,2,3323,-3151,-3973,1765,12509,820
88,2,3316,-3117,-3952,1797,12567,745
89,2,3296,-3087,-3908,1840,12624,660
90,2,3284,-3077,-3883,1888,12680,575
91,2,3271,-3043,-3843,1920,12736,498
92,2,3257,-3017,-3813,1963,12790,416
93,2,3246,-2997,-3774,1997,12845,327
94,2,3232,-2967,-3741,2031,12899,244
95,2,3216,-2937,-3706,2067,12951,154
96,2,3204,-2937,-3675,2103,13005,59
97,2,3201,-2872,-3632,2130,13056,-19
98,2,3191,-2862,-3586,2176,13108,-116
99,2,3183,-2835,-3559,2225,13158,-227
100,3,6771,534,4225,5155,13907,-5235
101,3,7211,3193,6022,4462,13720,-5383
102,3,6987,5360,4252,4652,13238,-8393
103,3,7286,3900,3231,4367,12906,-9608
104,3,7671,749,2836,4354,12652,-10312
105,3,7920,-1166,2529,4055,12609,-10374
106,3,8053,-1399,2047,3800,12787,-9893
107,3,8109,-1213,1422,3642,13104,-8863
108,3,8081,2298,2945,3199,13447,-6925
109,3,8141,2926,5455,3517,13588,-5402
110,3,8179,2345,5637,4496,13735,-4496
111,3,8055,1078,5133,6025,13929,-3213
112,3,7560,-424,5224,7385,14037,-1103
113,3,7624,-2262,5199,8438,14033,1394
114,3,7545,-2434,4352,9290,13947,4284
115,3,7745,-2102,2606,8988,13984,5213
116,3,7877,-2172,1761,8505,14120,3883
117,3,7976,-2083,1167,7398,14219,965
118,3,8072,-2397,1373,5738,14100,-1550
119,3,8094,-1469,3090,3154,13836,-2115
120,3,8191,1060,5031,1529,13630,-1717
121,3,8263,4079,5757,1094,13490,-2368
122,3,8200,6342,5063,973,13311,-4276
123,3,7806,3663,3103,1306,13056,-6324
124,3,7886,1307,1621,1624,12959,-7361
125,3,8034,-359,1205,1506,13024,-7315
126,3,8118,-784,921,1248,13194,-6377
127,3,8166,587,1530,915,13391,-4547
128,3,8213,1490,1871,543,13488,-2727
129,3,8247,1742,1499,165,13565,-1257
130,3,8106,1675,1074,-199,13598,385
131,3,7565,1708,393,-753,13625,2019
132,3,6673,1555,-123,-1061,13605,3224
133,3,5843,869,-437,-1144,13560,3955
134,3,5155,21,-846,-1075,13541,4345
135,3,4657,-647,-1229,-1218,13558,4575
136,3,4283,-1202,-1507,-1383,13589,4707
137,3,4006,-1661,-1781,-1534,13629,4756
138,3,3788,-2058,-1955,-1637,13675,4714
139,3,3477,-2637,-2171,-1741,13766,4576
140,3,3395,-2770,-2292,-1782,13815,4528
141,3,3333,-2862,-2346,-1809,13862,4472
142,3,3275,-2929,-2379,-1844,13910,4410
143,3,3240,-2981,-2397,-1847,13956,4339
144,3,3208,-3004,-2415,-1872,14002,4268
145,3,3186,-3012,-2416,-1910,14047,4207
146,3,3177,-3015,-2390,-1958,14093,4140
147,3,3165,-3003,-2395,-2021,14138,4074
148,3,3161,-2967,-2372,-2083,14184,4000
149,3,3153,-2932,-2362,-2103,14227,3920
150,3,3147,-2940,-2340,-2123,14270,3833
151,3,3150,-2919,-2301,-2187,14313,3752
152,3,3168,-2866,-2263,-2272,14355,3671
153,3,3144,-2808,-2280,-2331,14399,3580
154,3,3131,-2827,-2248,-2375,14441,3451
155,3,3122,-2813,-2228,-2451,14481,3359
156,3,3125,-2767,-2202,-2547,14520,3279
157,3,3121,-2737,-2171,-2631,14560,3177
158,3,3119,-2704,-2149,-2672,14598,3076
159,3,3109,-2707,-2141,-2701,14637,2954
160,3,3105,-2692,-2106,-2778,14675,2824
