,0,1,2,3,4,5,6
0,1,7804,-1615,-8185,319,4495,-865
1,1,7736,-1609,-8126,334,4605,-890
2,1,7655,-1574,-8089,350,4714,-913
3,1,7574,-1577,-8044,365,4823,-940
4,1,7497,-1560,-8004,380,4931,-963
5,1,7420,-1544,-7965,397,5039,-987
6,1,7347,-1523,-7923,413,5148,-1011
7,1,7262,-1511,-7881,430,5255,-1036
8,1,7199,-1497,-7833,445,5362,-1056
9,1,7123,-1472,-7788,464,5469,-1080
10,1,7038,-1474,-7746,480,5574,-1107
11,1,6891,-1452,-7645,518,5783,-1155
12,1,6822,-1446,-7608,537,5886,-1184
13,1,6747,-1421,-7555,555,5990,-1209
14,1,6683,-1422,-7512,576,6092,-1236
15,1,6616,-1398,-7468,595,6195,-1259
16,1,6552,-1374,-7420,616,6297,-1285
17,1,6485,-1377,-7368,639,6397,-1313
18,1,6422,-1374,-7326,661,6497,-1342
19,1,6352,-1368,-7272,682,6597,-1367
20,1,6283,-1346,-7215,705,6696,-1395
21,1,6220,-1345,-7166,728,6794,-1424
22,1,6149,-1330,-7116,751,6891,-1453
23,1,6095,-1321,-7071,778,6988,-1484
24,1,6041,-1314,-7022,804,7084,-1513
25,1,5984,-1306,-6962,830,7180,-1544
26,1,5925,-1294,-6921,854,7274,-1575
27,1,5863,-1286,-6873,881,7369,-1606
28,1,5751,-1268,-6742,931,7555,-1665
29,1,5695,-1246,-6684,956,7648,-1694
30,1,5649,-1236,-6643,985,7739,-1727
31,1,5593,-1232,-6580,1013,7829,-1758
32,2,8048,4617,-4367,927,9363,-4425
33,2,8615,5861,-3141,693,9147,-4933
34,2,9045,4483,-2809,621,8965,-5455
35,2,9256,2940,-2841,859,9041,-5576
36,2,8577,2431,-3241,1329,9323,-5379
37,2,8624,2196,-2887,1234,9395,-5337
38,2,8958,1438,-2211,1114,9333,-5615
39,2,9155,805,-1968,1175,9387,-5616
40,2,9155,3682,-1653,1378,10000,-4169
41,2,9129,5899,-241,1391,10263,-3819
42,2,9107,6154,81,1914,10474,-4228
43,2,9073,5183,392,2770,10679,-4848
44,2,9015,3139,-196,3571,10918,-5179
45,2,8933,1666,-1473,4162,11210,-5063
46,2,8878,2909,-2481,4435,11423,-4852
47,2,8889,2406,-2975,4459,11433,-5143
48,2,8929,910,-3062,4309,11347,-5455
49,2,8959,-58,-2912,3837,11281,-5262
50,2,8963,1600,-2594,3125,11288,-4409
51,2,9002,4679,-496,2447,11188,-3622
52,2,9097,5678,-294,2104,10937,-3885
53,2,9162,4557,-1032,2087,10771,-4473
54,2,9151,2798,-1622,2262,10805,-4535
55,2,9030,1958,-1751,2568,10994,-4167
56,2,8564,2752,-1294,2478,11072,-3943
57,2,8725,1996,-691,2167,10987,-4356
58,2,8854,324,-1142,2253,11087,-4569
59,2,8810,1852,-1046,2438,11359,-3674
60,2,8754,4641,-51,2586,11640,-2713
61,2,8704,5537,436,3100,11888,-2663
62,2,8664,4587,630,4135,12089,-3410
63,2,8638,2789,559,5051,12233,-4092
64,2,8598,1002,-236,5682,12418,-4136
65,2,8555,651,-1555,6084,12620,-3658
