,0,1,2,3,4,5,6
30,1,5759,-1859,-6023,1224,7269,-2302
31,2,4265,4210,-3019,2222,9162,-4199
32,2,2363,7978,-2783,2034,9003,-5123
33,2,2595,7219,-3551,1693,8728,-6239
34,2,3469,3382,-5449,1752,8622,-7104
35,2,4531,1209,-5686,1711,8703,-7222
36,2,5888,1124,-4872,1839,8944,-6798
37,2,6823,3105,-3018,2096,9251,-6080
38,2,7481,5174,-595,2317,9544,-5334
39,2,7441,4123,1570,2706,9693,-5064
40,2,6056,3677,2619,3366,9955,-4772
41,2,5559,3472,4535,4362,10253,-4247
42,2,4120,1561,5540,5542,10553,-3482
43,2,3651,2313,2063,6337,10950,-2308
44,2,4989,2736,-2445,6706,11245,-2213
45,2,6043,1623,-4412,6478,11267,-2897
46,2,6537,1160,-4173,5721,11103,-3437
47,2,6477,831,-610,4787,10836,-3480
48,2,6952,1058,1760,3999,10636,-3121
49,2,7565,2390,2913,3620,10514,-2872
50,2,7944,5808,3190,3331,10395,-3039
51,2,6287,8915,3068,2767,10179,-3936
52,2,5440,3570,-37,2118,9780,-6036
53,2,6513,658,-1186,2061,9839,-6202
54,2,7253,-101,-1516,2162,9991,-5762
55,2,7691,1475,-1556,2218,10232,-4837
56,2,8028,3564,-707,2275,10503,-3646
57,2,8231,4442,974,2577,10637,-2853
58,2,6971,3756,2666,3062,10763,-2511
59,2,5840,3524,4259,3844,10993,-2110
60,2,5108,2676,4861,5036,11180,-1545
61,2,4606,1502,3049,6196,11406,-486
62,2,5670,2077,-435,6892,11659,472
63,2,6470,1972,-3225,6815,11800,118
64,2,6798,1034,-2393,6152,11738,-838
65,2,7168,426,-188,5085,11594,-1384
66,2,7063,-12,1693,4147,11435,-1416
67,2,7094,-399,2499,3515,11296,-1221
68,2,6830,-39,2162,3291,11219,-844
69,2,6219,-44,1402,3251,11158,-386
70,2,5932,-334,469,3291,11131,43
71,2,5273,-396,-211,3458,11127,495
72,2,4802,-813,-1086,3663,11130,758
73,2,4544,-1363,-1843,3732,11173,822
74,2,4273,-1862,-2455,3727,11230,841
75,2,4070,-2336,-2876,3759,11288,809
76,2,3907,-2734,-3195,3804,11350,729
77,2,3807,-3004,-3440,3845,11416,643
78,2,3711,-3189,-3617,3890,11480,561
79,2,3646,-3283,-3729,3927,11544,478
80,2,3621,-3310,-3763,3953,11608,414
81,2,3571,-3348,-3796,3993,11670,328
82,2,3543,-3378,-3809,4042,11729,246
83,2,3515,-3372,-3780,4098,11787,174
84,2,3485,-3349,-3737,4147,11845,104
85,2,3466,-3340,-3710,4195,11901,30
86,2,3452,-3327,-3680,4251,11958,-47
87,2,3441,-3299,-3641,4310,12012,-120
88,2,3415,-3283,-3586,4364,12066,-202
89,2,3396,-3275,-3544,4417,12119,-291
90,2,3386,-3259,-3510,4475,12170,-375
91,2,3372,-3245,-3470,4536,12222,-457
92,2,3359,-3219,-3432,4591,12273,-546
93,2,3339,-3189,-3387,4656,12322,-630
94,2,3324,-3175,-3347,4718,12371,-720
95,2,3304,-3162,-3320,4779,12420,-814
96,2,3296,-3153,-3285,4844,12468,-910
97,2,3282,-3131,-3242,4909,12515,-1004
98,2,3270,-3109,-3196,4971,12560,-1097
99,2,3260,-3092,-3157,5039,12606,-1197
100,3,2322,4783,-1245,7054,13148,-5301
101,3,-1323,8547,-1176,7195,12748,-7770
102,3,-1339,5799,-3380,7550,12214,-10045
103,3,461,1319,-4889,8044,12039,-11105
104,3,2442,238,-4292,7999,12172,-10847
105,3,4013,1179,-2905,7832,12498,-9948
106,3,5151,4294,-487,7516,12827,-8616
107,3,5990,4586,2200,7858,13078,-7698
108,3,5787,3508,4509,8518,13263,-6988
109,3,3780,1846,6206,9632,13624,-5136
110,3,1005,566,7387,10870,13894,-1371
111,3,634,2575,3700,12042,13987,3562
112,3,2655,3138,-638,12778,14101,5219
113,3,3829,2699,-1972,12430,14248,3228
114,3,3865,1757,-599,11339,14179,-550
115,3,3856,855,2108,10000,13891,-2587
116,3,4369,1082,4441,8836,13627,-2991
117,3,5468,3188,5568,8119,13413,-3424
118,3,5855,7067,5585,7614,13220,-4801
119,3,4021,9502,4764,6776,12841,-6804
120,3,3594,4436,2762,6718,12414,-8572
121,3,4444,878,1138,6770,12291,-9071
122,3,5479,-407,343,6842,12488,-8522
123,3,6229,1012,315,6766,12818,-7114
124,3,6780,3608,2236,6604,13085,-5329
125,3,7215,2983,4366,6934,13141,-4439
126,3,7054,2567,5109,7854,13302,-3618
127,3,7087,1341,6325,8962,13456,-2228
128,3,6351,-579,7357,9992,13440,-47
129,3,4817,-741,5644,10926,13339,2912
130,3,5768,1323,1038,11630,13360,4854
131,3,6182,1496,-242,11344,13519,3835
132,3,5879,510,835,10359,13577,1294
133,3,5907,-1053,2785,9187,13435,-519
134,3,6132,-1710,3654,8122,13252,-871
135,3,6028,-1143,3760,7438,13122,-312
136,3,5557,-662,3306,7174,13029,701
137,3,5086,-778,2510,7118,12957,1409
138,3,4639,-1093,1648,7121,12908,1946
139,3,4186,-1494,755,7250,12881,2324
140,3,3881,-1873,-29,7387,12892,2442
141,3,3716,-2340,-634,7498,12925,2351
142,3,3615,-2655,-1119,7535,12972,2271
143,3,3484,-2883,-1437,7573,13020,2155
144,3,3413,-3112,-1677,7651,13068,2011
145,3,3350,-3253,-1867,7701,13113,1928
146,3,3277,-3347,-2055,7824,13200,1778
147,3,3276,-3304,-2103,7934,13245,1659
