,0,1,2,3,4,5,6
0,1,7639,-2580,-9132,206,4429,-205
1,1,7553,-2567,-9092,216,4542,-237
2,1,7474,-2559,-9057,224,4655,-268
3,1,7397,-2549,-9006,233,4767,-298
4,1,7307,-2525,-8966,241,4877,-324
5,1,7229,-2501,-8910,250,4988,-352
6,1,7148,-2481,-8866,259,5099,-381
7,1,7070,-2458,-8817,269,5209,-411
8,1,6999,-2437,-8772,279,5319,-440
9,1,6922,-2413,-8729,290,5428,-469
10,1,6841,-2393,-8683,301,5537,-500
11,1,6775,-2376,-8640,313,5645,-530
12,1,6695,-2353,-8601,325,5752,-562
13,1,6621,-2339,-8553,338,5858,-594
14,1,6549,-2315,-8501,351,5965,-625
15,1,6476,-2306,-8454,366,6071,-657
16,1,6399,-2287,-8410,380,6177,-689
17,1,6329,-2270,-8355,396,6282,-723
18,1,6266,-2257,-8302,411,6387,-756
19,1,6200,-2242,-8245,426,6491,-789
20,1,6132,-2220,-8197,441,6594,-823
21,1,6062,-2211,-8143,458,6697,-857
22,1,5997,-2190,-8095,475,6799,-894
23,1,5929,-2177,-8042,495,6901,-929
24,1,5867,-2157,-7988,512,7001,-963
25,1,5809,-2140,-7934,531,7101,-999
26,1,5749,-2120,-7875,550,7201,-1035
27,1,5691,-2108,-7809,568,7301,-1072
28,1,5628,-2085,-7757,587,7398,-1109
29,1,5569,-2070,-7695,608,7496,-1146
30,1,5511,-2048,-7636,628,7594,-1181
31,1,5456,-2028,-7584,650,7689,-1220
32,1,5400,-2008,-7530,673,7784,-1259
33,1,5338,-1994,-7468,696,7880,-1297
34,1,5283,-1981,-7408,719,7973,-1336
35,1,5232,-1966,-7362,743,8067,-1375
36,2,2970,5566,-5899,1473,9611,-3704
37,2,3505,6151,-6342,1373,9482,-4828
38,2,4746,4783,-6154,1202,9356,-5721
39,2,6091,1984,-5561,1182,9324,-6241
40,2,7025,472,-4940,1220,9428,-6190
41,2,7645,888,-4259,1366,9647,-5701
42,2,8062,2071,-3167,1579,9898,-5025
43,2,8346,2864,-2430,1805,10140,-4313
44,2,8477,2996,-1074,2140,10341,-3613
45,2,5600,1799,1456,2756,10497,-2967
46,2,1424,-116,2719,3755,10936,-1819
47,2,1894,-771,1621,4463,11224,-1192
48,2,3620,-740,-699,5107,11498,-507
49,2,4967,198,-2385,5470,11666,-127
50,2,5987,259,-2896,5157,11699,-357
51,2,6667,-323,-2690,4506,11611,-1134
52,2,6678,-1523,-1659,3990,11413,-1917
53,2,5815,-2266,-523,3327,11163,-2247
54,2,5166,-2265,14,2797,10964,-2126
55,2,4668,-1287,311,2484,10840,-1738
56,2,3959,983,1112,2399,10760,-1556
57,2,3790,3352,950,2346,10704,-2058
58,2,3459,6187,-702,2414,10687,-3005
59,2,3408,6824,-2002,2299,10608,-4161
60,2,4391,4842,-2499,2129,10483,-5224
61,2,5705,1562,-2449,2115,10445,-5833
62,2,6631,-630,-2283,2156,10511,-5872
63,2,7120,-816,-2514,2301,10700,-5385
64,2,7147,728,-2855,2520,10976,-4405
65,2,6714,3938,-1517,2639,11201,-3055
66,2,6548,5011,1322,2851,11326,-2093
67,2,5346,4891,3226,3562,11518,-1491
68,2,4019,3536,3001,4580,11771,-850
69,2,3634,1892,1937,5667,12029,119
70,2,4917,850,-77,6380,12275,1171
71,2,5872,621,-1669,6691,12425,1813
72,2,6586,284,-2120,6534,12491,1782
73,2,7122,-43,-1827,6061,12493,1091
74,2,7538,-703,-1187,5556,12414,-87
75,2,7780,-1482,-955,4761,12257,-1106
76,2,7445,-1751,277,3785,12034,-1463
77,2,6522,-862,1401,3066,11859,-1178
78,2,6208,-357,1437,2688,11755,-829
79,2,5859,1363,1488,2418,11695,-463
80,2,6324,5106,1502,2540,11651,-744
81,2,4585,7691,-352,2603,11624,-2002
82,2,4338,6340,-1565,2691,11523,-3650
83,2,5499,3946,-1783,2746,11449,-4730
84,2,6416,1356,-1311,2775,11420,-5338
85,2,7083,-854,-878,2785,11421,-5554
86,2,7538,-2001,-834,2922,11523,-5353
87,2,7849,-1807,-1027,3058,11676,-4737
88,2,8055,-290,-1149,3086,11863,-3771
89,2,8203,1495,-53,3072,12018,-2694
90,2,8253,2056,2759,3386,12070,-1801
91,2,7217,2274,4635,4039,12136,-1069
92,2,6055,2156,4216,5015,12317,-120
93,2,5609,1228,3997,6125,12458,1045
94,2,5815,-12,3663,7205,12532,2284
95,2,6521,-520,2218,8068,12579,3562
96,2,7048,-200,44,8454,12664,4302
97,2,7714,68,-911,7799,12804,3486
98,2,7895,-355,-165,7091,12823,1910
99,2,7644,-1315,892,6216,12736,335
100,2,7590,-2382,1528,5159,12572,-611
101,2,7684,-1758,2655,4244,12439,-633
102,2,7949,959,3729,3622,12378,-454
103,2,8151,3101,4138,3278,12314,-991
104,2,8214,4840,3457,3196,12249,-2172
105,2,8357,4399,2487,3067,12179,-3567
106,2,8478,2628,1605,2952,12067,-4784
107,2,8560,-27,1287,2975,12013,-5456
108,2,8609,-2266,1226,3087,12014,-5632
109,2,8616,-3234,795,3194,12110,-5302
110,2,8592,-2574,171,3333,12291,-4580
111,2,8567,-1052,-98,3325,12456,-3481
112,2,8549,477,405,3317,12580,-2126
113,2,8554,1185,2345,3511,12599,-995
114,2,7977,1423,4496,3972,12585,-88
115,2,6725,1705,5236,4754,12631,808
116,2,5917,1439,4830,5752,12712,1864
117,2,5761,267,4150,7082,12756,3036
118,2,6388,-1116,3346,8229,12756,4272
119,2,6962,-1080,1278,8976,12749,5497
120,2,7364,-270,-612,9134,12821,5951
121,2,7639,-619,-1018,8548,12972,5265
122,2,7840,-1064,-196,7616,13092,3694
123,2,7621,-1450,679,6473,13091,1804
124,2,7156,-2544,1372,5385,12981,250
125,2,6596,-2574,1807,4116,12842,-74
126,2,5835,-1673,1598,3194,12728,671
127,2,4930,-1040,1439,2706,12623,1748
128,2,4032,-1062,378,2216,12544,2839
129,2,3451,-1275,-473,2038,12464,3637
130,2,3347,-1917,-1193,2205,12463,3821
131,2,3246,-2464,-1925,2028,12516,3959
132,2,3129,-3085,-2526,1996,12586,3921
133,2,3105,-3645,-2989,2022,12664,3772
134,2,3068,-4019,-3333,2083,12741,3624
135,2,3023,-4196,-3496,2113,12811,3492
136,2,3001,-4143,-3622,2123,12881,3332
137,2,3049,-4183,-3735,2169,12950,3184
138,2,3016,-4205,-3796,2237,13017,3101
139,2,2987,-4183,-3807,2281,13080,3014
140,2,2987,-4137,-3819,2315,13146,2909
141,2,3007,-4084,-3810,2331,13210,2813
142,2,2998,-4032,-3797,2389,13270,2723
143,2,2995,-4006,-3776,2442,13329,2628
144,2,2995,-3949,-3745,2480,13388,2534
145,2,2983,-3917,-3706,2526,13446,2447
146,2,2972,-3854,-3661,2570,13502,2356
147,2,2974,-3838,-3621,2630,13558,2252
148,2,2958,-3793,-3590,2710,13615,2155
149,2,2954,-3783,-3551,2792,13669,2028
150,2,2949,-3751,-3518,2855,13723,1915
151,2,2938,-3705,-3475,2925,13776,1790
152,2,2933,-3679,-3441,3007,13828,1656
153,2,2925,-3650,-3406,3072,13880,1523
154,2,2910,-3632,-3375,3142,13931,1390
155,2,2906,-3592,-3326,3222,13980,1258
156,2,2895,-3581,-3300,3318,14029,1107
157,2,2881,-3562,-3269,3415,14076,947
158,3,2232,2174,-1504,10618,14570,-11128
159,3,1696,4599,-1618,11435,14192,-12875
160,3,2172,5058,-1756,11900,13687,-14114
161,3,3551,3391,-1495,12119,13191,-14849
162,3,4912,438,-962,12302,12908,-15242
163,3,5865,-861,-307,12288,12910,-15237
164,3,6521,-1129,269,12226,13115,-15007
165,3,6966,-189,796,12219,13479,-14639
166,3,7275,1431,2961,12204,13900,-14006
167,3,7250,2527,5186,12571,14305,-13351
168,3,7453,2919,6295,13367,14715,-12838
169,3,7314,2117,6950,14167,15129,-11519
170,3,6407,704,6884,14895,15503,-2287
171,3,6572,-722,6174,15660,15270,12639
172,3,7025,-1006,4652,16450,14861,15353
173,3,7364,198,2266,17124,16828,16462
174,3,7585,231,1180,17079,16695,16768
175,3,7732,-318,1131,16420,16327,16087
176,3,7813,-1041,1895,15360,15477,9691
177,3,7917,-2621,2941,14195,15352,-5174
178,3,7947,-1956,3881,13033,15150,-5462
179,3,8023,-108,4643,11821,15003,-4149
180,3,8086,1679,5364,10655,14805,-4402
181,3,8009,3158,5497,9881,14583,-5912
182,3,8051,4226,5404,9525,14318,-7695
183,3,7916,4775,4702,9352,14013,-9441
184,3,7706,2620,3935,9150,13667,-10812
