,0,1,2,3,4,5,6
0,1,7669,-2370,-8271,352,4413,-831
1,1,7578,-2321,-8221,368,4521,-865
2,1,7499,-2314,-8171,384,4627,-903
3,1,7418,-2334,-8132,401,4733,-941
4,1,7320,-2306,-8091,424,4839,-973
5,1,7261,-2290,-8041,444,4945,-1005
6,1,7175,-2243,-7998,467,5050,-1039
7,1,7098,-2232,-7962,488,5156,-1073
8,1,7018,-2235,-7909,507,5262,-1110
9,1,6944,-2236,-7853,526,5367,-1146
10,1,6874,-2237,-7823,543,5472,-1179
11,1,6803,-2215,-7771,561,5575,-1213
12,1,6730,-2191,-7721,580,5678,-1249
13,1,6661,-2165,-7674,599,5778,-1285
14,1,6595,-2147,-7631,621,5878,-1323
15,1,6523,-2128,-7589,642,5978,-1362
16,1,6448,-2112,-7541,665,6077,-1400
17,1,6375,-2095,-7491,686,6176,-1437
18,1,6312,-2078,-7458,709,6275,-1472
19,1,6243,-2052,-7408,732,6373,-1509
20,1,6185,-2027,-7356,755,6471,-1545
21,1,6129,-1997,-7312,780,6569,-1582
22,1,6061,-1972,-7258,803,6666,-1620
23,1,6004,-1962,-7198,827,6762,-1660
24,1,5943,-1948,-7142,850,6856,-1699
25,1,5886,-1933,-7090,875,6951,-1737
26,1,5833,-1902,-7033,903,7046,-1775
27,1,5781,-1871,-6984,931,7139,-1815
28,1,5731,-1848,-6935,960,7232,-1855
29,1,5670,-1837,-6887,988,7324,-1897
30,1,5616,-1832,-6833,1016,7414,-1938
31,1,5560,-1814,-6768,1044,7505,-1976
32,1,5511,-1786,-6706,1074,7594,-2014
33,1,5469,-1760,-6657,1104,7684,-2051
34,2,7590,3774,-2003,3734,11159,-8659
35,2,8023,5692,-651,3216,11014,-8480
36,2,8400,5376,-706,3204,10757,-8871
37,2,8635,4106,-791,3384,10679,-9127
38,2,8703,2787,-972,3779,10856,-9110
39,2,8526,2601,-850,3889,11010,-8960
40,2,8687,2279,-382,3878,10973,-9087
41,2,8799,2154,-165,3968,10961,-9194
42,2,8813,2105,-51,4125,11136,-8910
43,2,8759,2669,1078,4341,11456,-8342
44,2,8691,3900,2057,4827,11797,-8053
45,2,8650,4211,2565,5804,12036,-8401
46,2,8621,3275,3419,7012,12214,-8941
47,2,8567,1941,2523,8032,12479,-9143
48,2,8498,1450,562,8783,12808,-8952
49,2,8470,2146,-171,9167,12971,-8926
50,2,8504,1871,-997,9023,12847,-9384
51,2,8563,737,-860,8556,12620,-9612
52,2,8622,453,-66,7608,12409,-9356
53,2,8661,1118,935,6334,12278,-8747
54,2,8700,2216,2236,5336,12142,-8294
55,2,8767,2617,2420,4833,11922,-8350
56,2,8814,2783,1344,4595,11770,-8579
57,2,8795,2149,903,4703,11834,-8582
58,2,8611,1492,533,4884,12040,-8293
59,2,8623,1867,384,4623,12110,-8088
60,2,8675,1807,441,4594,12015,-8412
61,2,8714,1611,163,4709,11948,-8680
62,2,8706,999,402,4912,12015,-8476
63,2,8642,1650,1741,4887,12273,-7693
64,2,8581,2715,2641,5419,12531,-7390
65,2,8539,2563,3360,6677,12721,-7842
66,2,8502,1757,3699,7915,12892,-8220
67,2,8450,791,2926,8937,13144,-8205
68,2,8396,429,1208,9534,13428,-7672
69,2,8365,955,-139,9900,13618,-7174
70,2,8370,1363,-318,9939,13591,-7505
71,2,8408,1085,-425,9547,13385,-8226
72,2,8464,604,138,8901,13108,-8680
73,2,8528,-582,1446,7840,12821,-8678
74,2,8570,-326,2673,6703,12645,-8185
75,2,8610,1000,3650,5860,12490,-7915
76,2,8664,1423,3834,5225,12292,-8138
77,2,8696,1259,3076,5019,12177,-8391
78,2,8675,492,2268,5257,12251,-8427
79,2,8496,232,1642,5696,12489,-8035
80,2,8503,781,1496,5743,12583,-7723
81,2,8550,726,1399,5651,12486,-8026
82,2,8608,570,1602,5709,12373,-8376
83,2,8578,504,2765,5752,12522,-7851
84,2,8518,939,3548,6055,12794,-7173
85,2,8466,1505,4302,6907,13049,-6871
86,2,8426,1213,4721,8109,13256,-6936
87,2,8384,17,4373,9151,13490,-6788
88,2,8339,-343,2830,9934,13771,-6137
89,2,8308,318,645,10437,13985,-5453
90,2,8310,586,-229,10487,13979,-6000
91,2,8337,530,-313,10142,13804,-7003
92,2,8381,242,625,9290,13533,-7408
93,2,8432,36,2425,7924,13268,-7170
94,2,8478,1105,3926,6636,13042,-6901
95,2,8535,1373,4196,5962,12792,-7256
96,2,8574,1464,3289,5618,12633,-7609
97,2,8565,987,2468,5892,12675,-7632
98,2,8525,338,1892,6244,12838,-7266
99,2,8477,263,1692,6397,12925,-7034
100,2,8533,-124,1118,6260,12743,-7882
101,2,8533,-343,1770,6292,12759,-7780
102,2,8506,-73,3124,6233,12889,-7132
103,2,8470,-27,4258,6612,13058,-6642
104,2,8430,211,4605,7561,13262,-6634
105,2,8388,43,4344,8775,13491,-6642
106,2,8347,-567,3613,9904,13739,-6260
107,2,8310,-631,2035,10632,13982,-5265
108,2,8291,-133,790,11047,14130,-4502
109,2,8290,211,116,11107,14135,-5030
110,2,8311,-83,-175,10762,13981,-6236
111,2,8349,-706,627,10059,13731,-7085
112,2,8392,-789,1771,8916,13486,-7329
113,2,8428,-275,2904,7704,13294,-7227
114,2,8478,-219,3287,6739,13049,-7318
115,2,8518,-109,2920,6186,12870,-7507
116,2,8526,-45,2346,6006,12837,-7521
117,2,8506,-128,2002,6087,12925,-7278
118,2,8469,333,1717,6137,13092,-6631
119,2,8487,606,1611,5952,13011,-7077
120,2,8507,390,1220,5998,12918,-7628
121,2,8507,-201,1268,6160,12918,-7702
122,2,8481,-371,2395,6346,13036,-7045
123,2,8439,24,3475,6706,13236,-6244
124,2,8398,94,4266,7658,13451,-5823
125,2,8363,117,4809,8776,13654,-5459
126,2,8331,-284,4566,9724,13853,-4928
127,2,8300,-1023,3268,10508,14069,-4162
128,2,8275,-539,1549,11139,14275,-2861
129,2,8264,63,606,11475,14365,-2451
130,2,8269,-90,-167,11332,14319,-3895
131,2,8288,-341,-486,10813,14167,-5305
132,2,8319,-973,815,9954,13939,-5887
133,2,8345,-1325,2350,8924,13758,-5589
134,2,8346,-1128,2334,8412,13756,-4584
135,2,8339,-716,1844,8029,13797,-2984
136,2,8077,-344,1329,7865,13793,-820
137,2,6892,328,888,7849,13729,1354
138,2,5877,410,253,7858,13660,2933
139,2,5093,-106,-395,7925,13613,3914
140,2,4536,-729,-926,8087,13598,4408
141,2,4092,-1369,-1360,8245,13609,4556
142,2,3796,-1992,-1700,8399,13644,4485
143,2,3529,-2506,-1911,8514,13692,4332
144,2,3369,-2919,-2066,8623,13745,4171
145,2,3250,-3168,-2189,8716,13800,4066
146,2,3194,-3301,-2273,8826,13855,4010
147,2,3132,-3386,-2316,8959,13904,3943
148,2,3106,-3538,-2308,9087,13952,3825
149,2,3092,-3639,-2323,9184,14002,3712
150,2,3036,-3667,-2298,9286,14046,3626
151,2,3022,-3662,-2259,9393,14086,3506
152,2,3033,-3669,-2294,9508,14128,3404
153,2,2979,-3655,-2299,9611,14171,3281
154,2,2937,-3703,-2241,9711,14212,3096
155,2,2918,-3707,-2236,9813,14256,2938
156,2,2917,-3654,-2248,9922,14298,2795
157,2,2917,-3634,-2245,10035,14341,2642
158,2,2907,-3630,-2228,10147,14382,2455
159,2,2888,-3635,-2209,10263,14423,2251
160,2,2885,-3624,-2209,10364,14466,2044
161,2,2877,-3577,-2175,10467,14506,1846
162,2,2892,-3533,-2143,10566,14546,1639
163,2,2890,-3479,-2112,10664,14583,1434
164,2,2886,-3429,-2087,10764,14619,1213
165,2,2885,-3401,-2053,10869,14654,968
166,2,2875,-3368,-2036,10977,14689,714
167,2,2869,-3335,-2009,11088,14722,450
168,2,2868,-3318,-1995,11203,14755,168
169,2,6802,4016,1394,13698,17949,-15952
170,2,7259,4082,1996,13182,13284,-15602
171,2,7581,3712,1941,13061,13229,-15525
172,2,7783,2559,1878,13364,18056,-15714
173,2,7845,1667,1870,13626,17864,-15811
174,2,7820,1380,1928,13451,13495,-15652
175,2,8007,1148,2234,13167,13304,-15542
176,2,8136,1267,2396,12971,13213,-15429
177,2,8197,1344,3073,12943,13320,-15258
178,2,8201,1819,4356,13210,13626,-15162
179,2,8197,2426,5673,13844,13935,-15568
180,2,8204,2674,5855,14675,17301,-16755
181,2,8211,1976,5566,15418,17164,-18325
182,2,8209,1034,4207,16028,16984,-20039
183,2,8205,1280,2250,16450,16821,-21519
184,2,8217,1092,1123,16513,16848,-21724
185,2,8237,751,468,16197,16975,-20504
186,2,8255,154,837,15582,17091,-18755
187,2,8280,2821,3352,13776,14164,-15000
188,2,8323,3419,4051,12764,13866,-14001
189,2,8365,2959,3841,12203,13613,-13753
190,2,8363,2135,3319,12238,13629,-13737
191,2,7984,1844,2632,12428,13780,-13667
192,2,8013,1513,2356,12368,13750,-13687
193,2,8120,826,2174,12224,13644,-13694
194,2,8177,635,2338,12161,13688,-13444
195,2,8182,1531,3891,12220,13970,-12717
196,2,8175,2355,4877,12688,14294,-12304
197,2,8179,1915,5459,13477,14499,-12989
198,2,8181,644,5718,14177,14687,-13943
199,2,8174,-343,4970,14841,14970,-15058
200,2,8171,-251,2965,15447,16153,-17213
201,2,8175,296,1641,15678,16071,-19040
202,2,8187,365,757,15421,16248,-17425
203,2,8207,-221,1283,14833,14889,-15451
204,2,8231,-581,2402,13982,14608,-13749
205,2,8277,875,4388,12203,14221,-11636
206,2,8311,757,4161,11510,13965,-11505
207,2,8326,869,3522,11166,13867,-11322
208,2,8314,1076,2579,11135,13954,-11051
