,0,1,2,3,4,5,6
0,1,7783,-2798,-7657,484,4229,-869
1,1,7705,-2774,-7616,498,4336,-905
2,1,7623,-2754,-7583,513,4443,-942
3,1,7546,-2724,-7540,529,4550,-978
4,1,7470,-2702,-7497,544,4655,-1013
5,1,7397,-2676,-7449,560,4759,-1047
6,1,7325,-2651,-7391,577,4863,-1083
7,1,7250,-2622,-7344,595,4966,-1118
8,1,7180,-2590,-7305,613,5069,-1155
9,1,7108,-2565,-7266,631,5171,-1192
10,1,7033,-2555,-7226,650,5272,-1230
11,1,6965,-2535,-7179,669,5372,-1267
12,1,6901,-2505,-7124,691,5472,-1302
13,1,6833,-2472,-7083,713,5572,-1341
14,1,6762,-2454,-7045,734,5670,-1381
15,1,6688,-2440,-7006,754,5768,-1421
16,1,6615,-2430,-6965,776,5865,-1460
17,1,6552,-2403,-6916,799,5962,-1498
18,1,6484,-2375,-6874,822,6059,-1537
19,1,6424,-2353,-6833,846,6155,-1574
20,1,6355,-2327,-6777,871,6251,-1616
21,1,6298,-2316,-6732,895,6345,-1656
22,1,6234,-2293,-6702,921,6438,-1698
23,1,6172,-2279,-6646,948,6529,-1740
24,1,6105,-2263,-6579,974,6621,-1782
25,1,6054,-2247,-6535,1003,6712,-1825
26,1,5997,-2220,-6504,1030,6803,-1867
27,1,5938,-2197,-6455,1058,6894,-1909
28,1,5879,-2190,-6404,1085,6983,-1952
29,1,5821,-2176,-6344,1114,7071,-1995
30,1,5773,-2162,-6301,1143,7160,-2036
31,2,3281,-1564,-598,2417,9011,-3609
32,2,3503,-1898,-701,2570,9234,-3734
33,2,4817,-2194,-2325,2472,9479,-3781
34,2,6040,-2572,-3973,2202,9648,-3855
35,2,6967,-2753,-4515,2219,9714,-3916
36,2,7267,-2072,-3331,2261,9669,-3612
37,2,6849,-979,411,2385,9576,-3218
38,2,6638,-20,3300,2550,9653,-3176
39,2,6936,-239,2356,2663,9817,-3376
40,2,7567,-1171,413,2639,9969,-3637
41,2,8034,-2059,-1595,2537,10073,-3795
42,2,8398,-2296,-2256,2527,10103,-3751
43,2,8212,-1512,-931,2537,10066,-3378
44,2,7911,-433,2196,2581,9994,-3011
45,2,7612,337,4186,2630,9992,-2919
46,2,7527,507,3910,2758,10108,-3080
47,2,7813,-217,2033,2832,10269,-3340
48,2,8172,-1276,-380,2657,10399,-3565
49,2,8453,-1929,-1265,2624,10455,-3672
50,2,8613,-1818,-1345,2606,10445,-3438
51,2,8302,-803,753,2675,10399,-2980
52,2,7992,427,3587,2750,10344,-2641
53,2,7769,1055,4219,2870,10398,-2683
54,2,7739,725,3440,3033,10523,-2950
